per,pl,iv,rv
1996-04,0.021432229500312178,0.18879999160766603,0.11921915672719123
1996-05,0.010106700769986383,0.15829999923706053,0.12227914371824405
1996-06,0.019322367896212,0.1606999969482422,0.08063573105610843
1996-07,-0.017498597627973695,0.13680000305175782,0.1902967116450903
1996-08,0.021596981279354898,0.19459999084472657,0.12756243631027422
1996-09,0.019060396810943105,0.17010000228881836,0.09936606044174694
1996-10,0.018910146332573992,0.16950000762939454,0.09909644924915734
1996-11,0.024608686766531974,0.18110000610351562,0.09049047156558207
1996-12,0.0019952514561777414,0.1713999938964844,0.16547720825399836
1997-01,0.02572124997082926,0.20920000076293946,0.13432568759691726
1997-02,0.0112367035483633,0.1946999931335449,0.16331375869117437
1997-03,0.011060034468462862,0.21100000381469727,0.18292339145483663
1997-04,0.0014260483973953311,0.22139999389648438,0.21815569875657154
1997-05,0.013226356167582373,0.20059999465942382,0.16435936751453656
1997-06,0.007646927528213013,0.19190000534057616,0.17081769381858586
1997-07,0.019405586933717692,0.2153000068664551,0.16416000128830993
1997-08,0.003042338355892231,0.21479999542236328,0.2075974462211784
1997-09,0.02592596424669308,0.24760000228881837,0.18809518039208178
1997-10,-0.0819270452916045,0.2290999984741211,0.3666249508591127
1997-11,0.08973268651763466,0.3509000015258789,0.18275153775885764
1997-12,0.04418167669980878,0.27430000305175783,0.1762351127737761
1998-01,0.01695521264579193,0.24010000228881836,0.20172456085786541
1998-02,0.03461663687076935,0.21469999313354493,0.10714219607967203
1998-03,0.022957985331367857,0.18549999237060547,0.10701524114875802
1998-04,0.03606711726330043,0.24219999313354493,0.15031207340260055
1998-05,0.026271269428511282,0.2118000030517578,0.13633771255310592
1998-06,0.006544263097644089,0.21319999694824218,0.19725611676469348
1998-07,0.011382037505665358,0.19709999084472657,0.165729806870478
1998-08,-0.06810959770327926,0.24799999237060547,0.3600188799481211
1998-09,0.057273779031526695,0.44279998779296875,0.3725561033695819
1998-10,0.09326542945690007,0.40950000762939454,0.27280913986077177
1998-11,0.0471513278750253,0.28049999237060547,0.17756384160319472
1998-12,0.02009064330382758,0.26010000228881835,0.21808568932145855
1999-01,0.0051138797563950456,0.24420000076293946,0.2334946693529096
1999-02,0.02784097913930876,0.2625,0.20264567811994225
1999-03,0.034623416169197514,0.278799991607666,0.20761989102982673
1999-04,0.01687571695089772,0.23260000228881836,0.19294311108163614
1999-05,0.026546790873716357,0.2506999969482422,0.19053529225876314
1999-06,0.04334438871407142,0.2538999938964844,0.14533003194991523
1999-07,0.026606895838800344,0.2109000015258789,0.13368588109750176
1999-08,0.02909157417699426,0.24639999389648437,0.1778240220419988
1999-09,0.021400069552506104,0.24450000762939453,0.1959086118022071
1999-10,0.0075338837814441645,0.25409999847412107,0.2388156725240288
1999-11,0.03655884079386656,0.22200000762939454,0.1128058624078761
1999-12,0.04362835575687327,0.2418000030517578,0.12181496508621925
2000-01,-0.055411347574945376,0.24639999389648437,0.3407701638452711
2000-02,0.01768932247419861,0.24950000762939453,0.21109460280374134
2000-03,-0.010726711641825072,0.23370000839233399,0.25562160621591057
2000-04,-0.06169725744380618,0.24110000610351562,0.34615960247683647
2000-05,0.004052977523613152,0.2620000076293945,0.25414764699715325
2000-06,0.030596708860708043,0.23649999618530274,0.15917141494294812
2000-07,0.006215096728577833,0.19540000915527345,0.1787905670031367
2000-08,0.033088877575722174,0.20739999771118164,0.09962871812321974
2000-09,0.0016494737214762765,0.16840000152587892,0.1634291491516729
2000-10,-0.031967740969170946,0.20569999694824218,0.2725439959230028
2000-11,0.010371152573801792,0.23629999160766602,0.2132288288669739
2000-12,0.0009376169071199786,0.29649999618530276,0.29491461617011216
2001-01,0.015532855462090454,0.26850000381469724,0.23782219531911225
2001-02,0.008699224599967706,0.22020000457763672,0.19947134484938814
2001-03,-0.015479407482869398,0.28350000381469725,0.3095991919333814
2001-04,-0.006187272273189465,0.28639999389648435,0.297005435601936
2001-05,0.03915324686468287,0.25479999542236326,0.16052971937480445
2001-06,0.03400617765836472,0.22639999389648438,0.13134222313469282
2001-07,-0.0011142285978144664,0.19059999465942382,0.19350086966726235
2001-08,0.017814956787628632,0.216200008392334,0.1700808244371383
2001-09,-0.06450342749159263,0.24920000076293947,0.355814653818307
2001-10,0.06361545080280573,0.3193000030517578,0.19579847074491372
2001-11,0.0817469332216825,0.33560001373291015,0.17572830163592598
2001-12,0.028450748833824344,0.2384000015258789,0.16847495924829517
2002-01,0.023818144524778657,0.23799999237060546,0.18117906016874466
2002-02,0.0020591050876987357,0.2109000015258789,0.20596044658117488
2002-03,0.023354834524745852,0.2159000015258789,0.15250565935114888
2002-04,0.002253309498978142,0.17399999618530274,0.16739978845120213
2002-05,-0.0004043849902211419,0.2190999984741211,0.220020895193118
2002-06,-0.013287088805542413,0.1997999954223633,0.23066670105656517
2002-07,-0.11722817872318715,0.2539999961853027,0.4263146452859917
2002-08,-0.003890730763938366,0.32029998779296875,0.3263170436004137
2002-09,0.028979463206221856,0.3263999938964844,0.2784914591318793
2002-10,0.014026748999107691,0.39689998626708983,0.3788177003516446
