name,per,date,idio,z,mkt,tot,pl,ym
AAPL,2009Q2,2009-05-26,0.042417645339657736,2.756096534712625,0.025289245814099637,0.06540490238192631,-2.756096534712625,2009-05
AAPL,2009Q3,2009-07-22,0.03412702100012913,2.2750977405302937,-0.00020954259651340124,0.03393655230988957,-2.2750977405302937,2009-07
AAPL,2009Q4,2009-10-20,0.05062558792358332,5.366046779504544,-0.005296870932053999,0.04581087203486511,-5.366046779504544,2009-10
AAPL,2010Q1,2010-01-19,0.03015514272531345,2.1662764786350106,0.012418306361690945,0.04328781609212817,-2.1662764786350106,2010-01
AAPL,2010Q2,2010-04-21,0.060019716598486275,5.464736533907541,-0.0018214859132879013,0.058093449131349395,-5.464736533907541,2010-04
AAPL,2010Q3,2010-07-13,-0.037406249008600755,-2.462497675403497,0.014975991039644754,-0.02156875934296343,-2.462497675403497,2010-07
AAPL,2010Q4,2010-10-15,0.038134470995771656,3.883050706542932,0.0020414824942589505,0.04029339041685143,-3.883050706542932,2010-10
AAPL,2011Q1,2011-03-16,-0.03126918075101648,-3.203191995065345,-0.01868623391952262,-0.045667056309112386,-3.203191995065345,2011-03
AAPL,2011Q2,2011-06-23,0.02858764086515857,2.721459334440902,-0.0028796583392542985,0.026368843722996083,-2.721459334440902,2011-06
AAPL,2011Q3,2011-09-19,0.035121441293610875,3.1192400131171474,-0.010007000710795744,0.027410976383221097,-3.1192400131171474,2011-09
AAPL,2011Q4,2011-10-19,-0.048396705190887415,-3.756050780039608,-0.011899443071365035,-0.057565310341075815,-3.756050780039608,2011-10
AAPL,2012Q1,2012-01-25,0.05024813760074766,4.604326066497866,0.00833316737737988,0.06056745680035158,-4.604326066497866,2012-01
AAPL,2012Q2,2012-04-25,0.06818271317395302,4.091457657512896,0.013598732584844342,0.08502260800601702,-4.091457657512896,2012-04
AAPL,2012Q3,2012-07-25,-0.044420879893088495,-3.1668915680439995,0.0002235185695287356,-0.04414408724492125,-3.1668915680439995,2012-07
AAPL,2012Q4,2012-12-05,-0.06871072259000177,-4.7168734477528185,0.0017680534639827883,-0.06652126602078301,-4.7168734477528185,2012-12
AAPL,2013Q1,2013-01-24,-0.13205267123634654,-6.915047692345982,0.00026797358019337025,-0.13188450598016654,-6.915047692345982,2013-01
AAPL,2013Q2,2013-04-17,-0.04732568164811967,-2.050291961445128,-0.01471918290189489,-0.056562618967354705,-2.050291961445128,2013-04
AAPL,2013Q3,2013-09-11,-0.05794813615904952,-3.9615862482263307,0.0031335713116780184,-0.0559816817719927,-3.9615862482263307,2013-09
AAPL,2013Q4,2013-12-23,0.0343152060456827,3.064124681451115,0.005328758533305056,0.03765923736111265,-3.064124681451115,2013-12
AAPL,2014Q1,2014-01-28,-0.0883449112981967,-7.039342346744732,0.0059371839838524565,-0.08330277345073656,-7.039342346744732,2014-01
AAPL,2014Q2,2014-04-24,0.07707391995925322,5.5289743710927075,0.0020254989464252304,0.0787940696001499,-5.5289743710927075,2014-04
AAPL,2014Q3,2014-09-03,-0.042657980588397565,-5.304113748504782,-0.0005485285777391269,-0.043123817037083345,-5.304113748504782,2014-09
AAPL,2014Q4,2014-12-01,-0.027071995893290974,-2.3935282538270903,-0.006973934657056979,-0.032994591517023775,-2.3935282538270903,2014-12
AAPL,2015Q1,2015-01-28,0.06983911563752929,6.52982829541368,-0.012906941792479643,0.05499252836074264,-6.52982829541368,2015-01
AAPL,2015Q2,2015-04-27,0.022821437345920972,1.6709023849846505,-0.004166893462617338,0.01802834627442751,-1.6709023849846505,2015-04
AAPL,2015Q3,2015-08-11,-0.043014850886344436,-4.18165461418771,-0.009064127615890705,-0.053441128768504154,-4.18165461418771,2015-08
AAPL,2015Q4,2015-11-10,-0.034674703858024736,-2.657062331658629,0.0023041996357369143,-0.03202423083775896,-2.657062331658629,2015-11
AAPL,2016Q1,2016-01-27,-0.05691417045940255,-4.529887559350538,-0.01094285411119511,-0.06796457602494366,-4.529887559350538,2016-01
AAPL,2016Q2,2016-04-27,-0.06669746396269079,-5.617555614717577,0.0020558032302746554,-0.06462145534312569,-5.617555614717577,2016-04
