name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,sl,tp,sm,st,gate,kn,kr,kb,h,w
sl-1.0|tp1.5|sm0|st-1000000000.0|breadth_tight|k333|h6|ew,0.4003174543019892,0.12725478443785376,27.30626698641354,0.9624185764694916,-0.49828619285029263,4,0.4308880188906897,0.39897919814733074,0.14492104439496223,1.1167615523816772,28.28278215512551,10,9,10,-1.0,1.5,0,-1000000000.0,breadth_tight,3,3,3,6,ew
sl-1.0|tp1.5|sm0|st0.5|tight|k333|h6|ew,0.4003174543019892,0.12725478443785376,27.30626698641354,0.9624185764694916,-0.49828619285029263,4,0.4308880188906897,0.39897919814733074,0.14492104439496223,1.1167615523816772,28.28278215512551,10,9,10,-1.0,1.5,0,0.5,tight,3,3,3,6,ew
sl-1.0|tp1.5|sm0|st-1000000000.0|tight|k333|h6|ew,0.4003174543019892,0.12725478443785376,27.30626698641354,0.9624185764694916,-0.49828619285029263,4,0.4308880188906897,0.39897919814733074,0.14492104439496223,1.1167615523816772,28.28278215512551,10,9,10,-1.0,1.5,0,-1000000000.0,tight,3,3,3,6,ew
sl-1.0|tp1.5|sm0|st0.55|tight|k333|h6|ew,0.4003174543019892,0.12725478443785376,27.30626698641354,0.9624185764694916,-0.49828619285029263,4,0.4308880188906897,0.39897919814733074,0.14492104439496223,1.1167615523816772,28.28278215512551,10,9,10,-1.0,1.5,0,0.55,tight,3,3,3,6,ew
sl-1.0|tp1.5|sm1|st0.5|breadth_tight|k333|h6|ew,0.39810527595115075,0.12725478443785376,27.0850491513297,0.9599671766784799,-0.49828619285029263,4,0.4284112364352078,0.39897919814733074,0.14492104439496223,1.0919937278268583,28.035103909577323,10,9,10,-1.0,1.5,1,0.5,breadth_tight,3,3,3,6,ew
sl-1.0|tp1.5|sm1|st0.55|breadth_tight|k333|h6|ew,0.39810527595115075,0.12725478443785376,27.0850491513297,0.9599671766784799,-0.49828619285029263,4,0.4284112364352078,0.39897919814733074,0.14492104439496223,1.0919937278268583,28.035103909577323,10,9,10,-1.0,1.5,1,0.55,breadth_tight,3,3,3,6,ew
sl-1.0|tp1.5|sm1|st0.5|tight|k333|h6|ew,0.39810527595115075,0.12725478443785376,27.0850491513297,0.9599671766784799,-0.49828619285029263,4,0.4284112364352078,0.39897919814733074,0.14492104439496223,1.0919937278268583,28.035103909577323,10,9,10,-1.0,1.5,1,0.5,tight,3,3,3,6,ew
sl-1.0|tp1.5|sm1|st-1000000000.0|breadth_tight|k333|h6|ew,0.39810527595115075,0.12725478443785376,27.0850491513297,0.9599671766784799,-0.49828619285029263,4,0.4284112364352078,0.39897919814733074,0.14492104439496223,1.0919937278268583,28.035103909577323,10,9,10,-1.0,1.5,1,-1000000000.0,breadth_tight,3,3,3,6,ew
sl-1.0|tp1.5|sm1|st-1000000000.0|tight|k333|h6|ew,0.39810527595115075,0.12725478443785376,27.0850491513297,0.9599671766784799,-0.49828619285029263,4,0.4284112364352078,0.39897919814733074,0.14492104439496223,1.0919937278268583,28.035103909577323,10,9,10,-1.0,1.5,1,-1000000000.0,tight,3,3,3,6,ew
sl-1.0|tp1.5|sm1|st0.55|tight|k333|h6|ew,0.39810527595115075,0.12725478443785376,27.0850491513297,0.9599671766784799,-0.49828619285029263,4,0.4284112364352078,0.39897919814733074,0.14492104439496223,1.0919937278268583,28.035103909577323,10,9,10,-1.0,1.5,1,0.55,tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm0|st-1000000000.0|tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,0,-1000000000.0,tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm1|st0.5|tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,1,0.5,tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm1|st0.55|tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,1,0.55,tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm0|st-1000000000.0|breadth_tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,0,-1000000000.0,breadth_tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm1|st0.55|breadth_tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,1,0.55,breadth_tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm0|st0.5|breadth_tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,0,0.5,breadth_tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm0|st0.55|tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,0,0.55,tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm0|st0.55|breadth_tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,0,0.55,breadth_tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm1|st-1000000000.0|breadth_tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,1,-1000000000.0,breadth_tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm1|st0.5|breadth_tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,1,0.5,breadth_tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm1|st-1000000000.0|tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,1,-1000000000.0,tight,3,3,3,6,ew
sl-1.0|tp1000000000.0|sm0|st0.5|tight|k333|h6|ew,0.3977406189318511,0.12725478443785376,27.048583449399732,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,-1.0,1000000000.0,0,0.5,tight,3,3,3,6,ew
sl-1.0|tp1.0|sm1|st-1000000000.0|multi|k333|h6|ew,0.39665375300716543,0.12725478443785376,26.939896856931167,0.9505683101443025,-0.49266633571802076,4,0.42785394045591907,0.3952205290294529,0.14492104439496223,1.0004723299179257,27.97937431164845,10,9,10,-1.0,1.0,1,-1000000000.0,multi,3,3,3,6,ew
sl-1.0|tp1.0|sm1|st0.55|multi|k333|h6|ew,0.39665375300716543,0.12725478443785376,26.939896856931167,0.9505683101443025,-0.49266633571802076,4,0.42785394045591907,0.3952205290294529,0.14492104439496223,1.0004723299179257,27.97937431164845,10,9,10,-1.0,1.0,1,0.55,multi,3,3,3,6,ew
sl-1.0|tp1.0|sm1|st0.5|multi|k333|h6|ew,0.39665375300716543,0.12725478443785376,26.939896856931167,0.9505683101443025,-0.49266633571802076,4,0.42785394045591907,0.3952205290294529,0.14492104439496223,1.0004723299179257,27.97937431164845,10,9,10,-1.0,1.0,1,0.5,multi,3,3,3,6,ew
sl-1.0|tp1.0|sm1|st0.5|breadth_tight|k333|h6|ew,0.3930437644835185,0.12725478443785376,26.578898004566476,0.9582835361505934,-0.4982861928502926,4,0.42403654849754274,0.3952205290294529,0.14492104439496223,0.9622984103341627,27.597635115810817,10,9,10,-1.0,1.0,1,0.5,breadth_tight,3,3,3,6,ew
sl-1.0|tp1.0|sm1|st-1000000000.0|breadth_tight|k333|h6|ew,0.3930437644835185,0.12725478443785376,26.578898004566476,0.9582835361505934,-0.4982861928502926,4,0.42403654849754274,0.3952205290294529,0.14492104439496223,0.9622984103341627,27.597635115810817,10,9,10,-1.0,1.0,1,-1000000000.0,breadth_tight,3,3,3,6,ew
sl-1.0|tp1.0|sm1|st-1000000000.0|tight|k333|h6|ew,0.3930437644835185,0.12725478443785376,26.578898004566476,0.9582835361505934,-0.4982861928502926,4,0.42403654849754274,0.3952205290294529,0.14492104439496223,0.9622984103341627,27.597635115810817,10,9,10,-1.0,1.0,1,-1000000000.0,tight,3,3,3,6,ew
sl-1.0|tp1.0|sm1|st0.55|tight|k333|h6|ew,0.3930437644835185,0.12725478443785376,26.578898004566476,0.9582835361505934,-0.4982861928502926,4,0.42403654849754274,0.3952205290294529,0.14492104439496223,0.9622984103341627,27.597635115810817,10,9,10,-1.0,1.0,1,0.55,tight,3,3,3,6,ew
sl-1.0|tp1.0|sm1|st0.55|breadth_tight|k333|h6|ew,0.3930437644835185,0.12725478443785376,26.578898004566476,0.9582835361505934,-0.4982861928502926,4,0.42403654849754274,0.3952205290294529,0.14492104439496223,0.9622984103341627,27.597635115810817,10,9,10,-1.0,1.0,1,0.55,breadth_tight,3,3,3,6,ew
sl-1.0|tp1.0|sm1|st0.5|tight|k333|h6|ew,0.3930437644835185,0.12725478443785376,26.578898004566476,0.9582835361505934,-0.4982861928502926,4,0.42403654849754274,0.3952205290294529,0.14492104439496223,0.9622984103341627,27.597635115810817,10,9,10,-1.0,1.0,1,0.5,tight,3,3,3,6,ew
sl-1.0|tp0.75|sm1|st0.5|multi|k333|h6|ew,0.38371084638606456,0.12725478443785376,25.64560619482108,0.9551722314075007,-0.4926663357180209,4,0.42167897371380647,0.396975544605514,0.12409480505144566,0.9081038296716271,27.361877637437182,10,9,10,-1.0,0.75,1,0.5,multi,3,3,3,6,ew
sl-1.0|tp0.75|sm1|st-1000000000.0|multi|k333|h6|ew,0.38371084638606456,0.12725478443785376,25.64560619482108,0.9551722314075007,-0.4926663357180209,4,0.42167897371380647,0.396975544605514,0.12409480505144566,0.9081038296716271,27.361877637437182,10,9,10,-1.0,0.75,1,-1000000000.0,multi,3,3,3,6,ew
sl-1.0|tp0.75|sm1|st0.55|multi|k333|h6|ew,0.38371084638606456,0.12725478443785376,25.64560619482108,0.9551722314075007,-0.4926663357180209,4,0.42167897371380647,0.396975544605514,0.12409480505144566,0.9081038296716271,27.361877637437182,10,9,10,-1.0,0.75,1,0.55,multi,3,3,3,6,ew
sl-1.0|tp0.75|sm1|st-1000000000.0|breadth_tight|k333|h6|ew,0.38013431192665115,0.12725478443785376,25.28795274887974,0.9639469021229025,-0.4982861928502925,4,0.41803784351360296,0.396975544605514,0.12409480505144566,0.8716925276695928,26.99776461741684,10,9,10,-1.0,0.75,1,-1000000000.0,breadth_tight,3,3,3,6,ew
sl-1.0|tp0.75|sm1|st-1000000000.0|tight|k333|h6|ew,0.38013431192665115,0.12725478443785376,25.28795274887974,0.9639469021229025,-0.4982861928502925,4,0.41803784351360296,0.396975544605514,0.12409480505144566,0.8716925276695928,26.99776461741684,10,9,10,-1.0,0.75,1,-1000000000.0,tight,3,3,3,6,ew
sl-1.0|tp0.75|sm1|st0.55|tight|k333|h6|ew,0.38013431192665115,0.12725478443785376,25.28795274887974,0.9639469021229025,-0.4982861928502925,4,0.41803784351360296,0.396975544605514,0.12409480505144566,0.8716925276695928,26.99776461741684,10,9,10,-1.0,0.75,1,0.55,tight,3,3,3,6,ew
sl-1.0|tp0.75|sm1|st0.5|breadth_tight|k333|h6|ew,0.38013431192665115,0.12725478443785376,25.28795274887974,0.9639469021229025,-0.4982861928502925,4,0.41803784351360296,0.396975544605514,0.12409480505144566,0.8716925276695928,26.99776461741684,10,9,10,-1.0,0.75,1,0.5,breadth_tight,3,3,3,6,ew
sl-1.0|tp0.75|sm1|st0.55|breadth_tight|k333|h6|ew,0.38013431192665115,0.12725478443785376,25.28795274887974,0.9639469021229025,-0.4982861928502925,4,0.41803784351360296,0.396975544605514,0.12409480505144566,0.8716925276695928,26.99776461741684,10,9,10,-1.0,0.75,1,0.55,breadth_tight,3,3,3,6,ew
sl-1.0|tp0.75|sm1|st0.5|tight|k333|h6|ew,0.38013431192665115,0.12725478443785376,25.28795274887974,0.9639469021229025,-0.4982861928502925,4,0.41803784351360296,0.396975544605514,0.12409480505144566,0.8716925276695928,26.99776461741684,10,9,10,-1.0,0.75,1,0.5,tight,3,3,3,6,ew
sl-0.3|tp1.5|sm0|st-1000000000.0|multi|k333|h6|ew,0.389636054927073,0.12725478443785376,26.23812704892192,0.9224561817406867,-0.5464340349232585,4,0.4179745807364534,0.39385930080060905,0.18995665121803595,1.020578920308039,26.99143833970188,10,10,10,-0.3,1.5,0,-1000000000.0,multi,3,3,3,6,ew
sl-0.3|tp1.5|sm0|st0.55|multi|k333|h6|ew,0.389636054927073,0.12725478443785376,26.23812704892192,0.9224561817406867,-0.5464340349232585,4,0.4179745807364534,0.39385930080060905,0.18995665121803595,1.020578920308039,26.99143833970188,10,10,10,-0.3,1.5,0,0.55,multi,3,3,3,6,ew
sl-0.3|tp1.5|sm0|st0.5|multi|k333|h6|ew,0.389636054927073,0.12725478443785376,26.23812704892192,0.9224561817406867,-0.5464340349232585,4,0.4179745807364534,0.39385930080060905,0.18995665121803595,1.020578920308039,26.99143833970188,10,10,10,-0.3,1.5,0,0.5,multi,3,3,3,6,ew
sl-1.0|tp0.75|sm1|st0.5|multi|k222|h6|ew,0.37306035055936304,0.12725478443785376,24.58055661215093,0.8350073867794137,-0.6383796731910626,4,0.4171363004913838,0.2868501313613149,0.22688281401661659,0.9174216205065833,26.907610315194916,10,9,10,-1.0,0.75,1,0.5,multi,2,2,2,6,ew
sl-1.0|tp0.75|sm1|st0.55|multi|k222|h6|ew,0.37306035055936304,0.12725478443785376,24.58055661215093,0.8350073867794137,-0.6383796731910626,4,0.4171363004913838,0.2868501313613149,0.22688281401661659,0.9174216205065833,26.907610315194916,10,9,10,-1.0,0.75,1,0.55,multi,2,2,2,6,ew
sl-1.0|tp0.75|sm1|st-1000000000.0|multi|k222|h6|ew,0.37306035055936304,0.12725478443785376,24.58055661215093,0.8350073867794137,-0.6383796731910626,4,0.4171363004913838,0.2868501313613149,0.22688281401661659,0.9174216205065833,26.907610315194916,10,9,10,-1.0,0.75,1,-1000000000.0,multi,2,2,2,6,ew
sl-1.0|tp1.0|sm0|st0.5|multi|k333|h6|ew,0.3835123210519418,0.12725478443785376,25.6257536614088,0.9181845514851904,-0.49266633571802093,4,0.4093336322076445,0.3872707071504683,0.14492104439496223,0.8922616394762333,26.127343486820983,10,9,10,-1.0,1.0,0,0.5,multi,3,3,3,6,ew
sl-1.0|tp1.0|sm0|st-1000000000.0|multi|k333|h6|ew,0.3835123210519418,0.12725478443785376,25.6257536614088,0.9181845514851904,-0.49266633571802093,4,0.4093336322076445,0.3872707071504683,0.14492104439496223,0.8922616394762333,26.127343486820983,10,9,10,-1.0,1.0,0,-1000000000.0,multi,3,3,3,6,ew
sl-1.0|tp1.0|sm0|st0.55|multi|k333|h6|ew,0.3835123210519418,0.12725478443785376,25.6257536614088,0.9181845514851904,-0.49266633571802093,4,0.4093336322076445,0.3872707071504683,0.14492104439496223,0.8922616394762333,26.127343486820983,10,9,10,-1.0,1.0,0,0.55,multi,3,3,3,6,ew
sl-0.3|tp1.0|sm0|st0.55|multi|k333|h6|ew,0.38597700211370034,0.12725478443785376,25.87222176758466,0.9174604947924702,-0.5464340349232587,4,0.4088303576577859,0.38161253520919225,0.1727681003649233,0.9723467495044265,26.077016031835136,10,10,10,-0.3,1.0,0,0.55,multi,3,3,3,6,ew
sl-0.3|tp1.0|sm0|st-1000000000.0|multi|k333|h6|ew,0.38597700211370034,0.12725478443785376,25.87222176758466,0.9174604947924702,-0.5464340349232587,4,0.4088303576577859,0.38161253520919225,0.1727681003649233,0.9723467495044265,26.077016031835136,10,10,10,-0.3,1.0,0,-1000000000.0,multi,3,3,3,6,ew
sl-0.3|tp1.0|sm0|st0.5|multi|k333|h6|ew,0.38597700211370034,0.12725478443785376,25.87222176758466,0.9174604947924702,-0.5464340349232587,4,0.4088303576577859,0.38161253520919225,0.1727681003649233,0.9723467495044265,26.077016031835136,10,10,10,-0.3,1.0,0,0.5,multi,3,3,3,6,ew
sl-0.3|tp0.75|sm0|st0.55|multi|k333|h6|ew,0.3686584263167756,0.12725478443785376,24.14036418789218,0.9043643705292556,-0.5464340349232587,4,0.4066857813471877,0.41900430209520134,0.1499600833379835,0.7442632661474313,25.86255840077531,10,9,10,-0.3,0.75,0,0.55,multi,3,3,3,6,ew
sl-0.3|tp0.75|sm0|st-1000000000.0|multi|k333|h6|ew,0.3686584263167756,0.12725478443785376,24.14036418789218,0.9043643705292556,-0.5464340349232587,4,0.4066857813471877,0.41900430209520134,0.1499600833379835,0.7442632661474313,25.86255840077531,10,9,10,-0.3,0.75,0,-1000000000.0,multi,3,3,3,6,ew
sl-0.3|tp0.75|sm0|st0.5|multi|k333|h6|ew,0.3686584263167756,0.12725478443785376,24.14036418789218,0.9043643705292556,-0.5464340349232587,4,0.4066857813471877,0.41900430209520134,0.1499600833379835,0.7442632661474313,25.86255840077531,10,9,10,-0.3,0.75,0,0.5,multi,3,3,3,6,ew
sl-1.0|tp1.0|sm0|st0.55|tight|k333|h6|ew,0.3799362997291422,0.12725478443785376,25.268151529128847,0.9248569579186108,-0.4982861928502927,4,0.40572273279271637,0.3872707071504683,0.14492104439496223,0.8561526453269519,25.766253545328176,10,9,10,-1.0,1.0,0,0.55,tight,3,3,3,6,ew
sl-1.0|tp1.0|sm0|st-1000000000.0|tight|k333|h6|ew,0.3799362997291422,0.12725478443785376,25.268151529128847,0.9248569579186108,-0.4982861928502927,4,0.40572273279271637,0.3872707071504683,0.14492104439496223,0.8561526453269519,25.766253545328176,10,9,10,-1.0,1.0,0,-1000000000.0,tight,3,3,3,6,ew
sl-1.0|tp1.0|sm0|st0.5|breadth_tight|k333|h6|ew,0.3799362997291422,0.12725478443785376,25.268151529128847,0.9248569579186108,-0.4982861928502927,4,0.40572273279271637,0.3872707071504683,0.14492104439496223,0.8561526453269519,25.766253545328176,10,9,10,-1.0,1.0,0,0.5,breadth_tight,3,3,3,6,ew
sl-1.0|tp1.0|sm0|st-1000000000.0|breadth_tight|k333|h6|ew,0.3799362997291422,0.12725478443785376,25.268151529128847,0.9248569579186108,-0.4982861928502927,4,0.40572273279271637,0.3872707071504683,0.14492104439496223,0.8561526453269519,25.766253545328176,10,9,10,-1.0,1.0,0,-1000000000.0,breadth_tight,3,3,3,6,ew
