name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits
chr_p70_rk_q0.40,0.4481362715456887,0.12725478443785376,32.08814871078349,1.03558644651507,-0.4982861928502925,4,0.45860399893579257,0.43832658350017706,0.17006813149774525,1.0879351638068608,31.054380159635805,10,10,10
chr_p70_q0.40_k3,0.4481362715456887,0.12725478443785376,32.08814871078349,1.03558644651507,-0.4982861928502925,4,0.45860399893579257,0.43832658350017706,0.17006813149774525,1.0879351638068608,31.054380159635805,10,10,10
chr_p70_q0.4_h6,0.4481362715456887,0.12725478443785376,32.08814871078349,1.03558644651507,-0.4982861928502925,4,0.45860399893579257,0.43832658350017706,0.17006813149774525,1.0879351638068608,31.054380159635805,10,10,10
chr_p70_q0.35_k3,0.44387253025344897,0.12725478443785376,31.66177458155952,1.0284507082670018,-0.4982861928502928,4,0.45860399893579257,0.43832658350017706,0.17006813149774525,1.0879351638068608,31.054380159635805,10,10,10
chr_p90_rk_q0.40,0.43429819609672604,0.12725478443785376,30.70434116588723,1.0107673172086828,-0.49828619285029274,4,0.45800182969056225,0.43000128872072274,0.14930629277931984,1.0879351638068608,30.994163235112772,10,9,10
chr_p90_rk_q0.50,0.43193583431865434,0.12725478443785376,30.468104988080057,1.0038410063733836,-0.4982861928502928,4,0.4569719170601087,0.43008670387458425,0.14129571605893276,1.0879351638068608,30.891171972067404,10,9,10
chr_p70_q0.4_invvol_cap0.5,0.42872097637070805,0.12725478443785376,30.146619193285428,1.0552192838812353,-0.4686374458877959,4,0.45591404858276646,0.41681546862950747,0.22405559062187197,1.0519157493394968,30.785385124333185,10,10,10
chr_p70_q0.4_invvol_cap1.0,0.4282274488095539,0.12725478443785376,30.097266437170013,1.0545396078821012,-0.463825598992783,4,0.4558877292472541,0.41662087599376907,0.22306751890592902,1.0558463428565679,30.78275319078195,10,10,10
chr_p90_rk_q0.20,0.42913149419631225,0.12725478443785376,30.187670975845847,1.0025973805874493,-0.4982861928502928,4,0.45194190868446144,0.4291964652908097,0.17357947969248255,1.0879351638068608,30.388171134502677,10,10,10
chr_p70_rk_q0.20,0.4162022022063343,0.12725478443785376,28.894741776848054,0.9841464735227514,-0.4982861928502928,4,0.45194190868446144,0.4291964652908097,0.17357947969248255,1.0879351638068608,30.388171134502677,10,10,10
chr_p70_rk_q0.50,0.42510860839332354,0.12725478443785376,29.78538239554698,0.9935584074796225,-0.4982861928502927,4,0.4512872834716776,0.41555344265186456,0.13067966642510664,1.0879351638068608,30.322708613224307,10,9,10
chr_p70_q0.50_k3,0.42510860839332354,0.12725478443785376,29.78538239554698,0.9935584074796225,-0.4982861928502927,4,0.4512872834716776,0.41555344265186456,0.13067966642510664,1.0879351638068608,30.322708613224307,10,9,10
chr_p90_rk_q0.60,0.4359211170893622,0.12725478443785376,30.866633265150845,1.0114470736539944,-0.49828619285029274,4,0.45084690047256215,0.4035926213128225,0.12829735232515138,1.1386207018892223,30.278670313312755,10,9,10
chr_p70_rk_q0.30,0.42679737157721,0.12725478443785376,29.954258713935623,0.9983303728287138,-0.4982861928502928,4,0.4496360042119596,0.42049526191304776,0.17357947969248255,1.0879351638068608,30.157580687252494,10,10,10
chr_p70_q0.30_k3,0.42679737157721,0.12725478443785376,29.954258713935623,0.9983303728287138,-0.4982861928502928,4,0.4496360042119596,0.42049526191304776,0.17357947969248255,1.0879351638068608,30.157580687252494,10,10,10
chr_p70_rk_q0.25,0.4177425380030477,0.12725478443785376,29.048775356519396,0.9861829841949461,-0.4982861928502928,4,0.4496360042119596,0.42049526191304776,0.17357947969248255,1.0879351638068608,30.157580687252494,10,10,10
chr_p90_rk_q0.65,0.42770107600829665,0.12725478443785376,30.04462915704429,0.9977235681232559,-0.49828619285029285,4,0.4488792983877931,0.4049499337640172,0.1409356520994416,1.1386207018892223,30.08191010483585,10,9,10
chr_p90_rk_q0.35,0.4251695599823504,0.12725478443785376,29.791477554449664,0.9955449960216857,-0.49828619285029263,4,0.4462765741617335,0.43000128872072274,0.1623792871701415,1.0879351638068608,29.8216376822299,10,10,10
chr_p90_rk_q0.30,0.42467985815160314,0.12725478443785376,29.742507371374938,0.9954808959536113,-0.4982861928502928,4,0.446069270326762,0.43000128872072274,0.1651554067071137,1.0879351638068608,29.800907298732756,10,10,10
chr_p90_rk_q0.45,0.4227674331931073,0.12725478443785376,29.55126487552535,0.9904846984999732,-0.4982861928502928,4,0.44186141050468103,0.4085386229934559,0.13766617875756126,1.0879351638068608,29.38012131652465,10,9,10
chr_p70_rk_q0.65,0.4021667411252745,0.12725478443785376,27.491195668742073,0.9618461277153388,-0.5026303425931405,4,0.4327454673252464,0.44867864437772254,0.09903515127328766,0.8436765392136159,28.468526998581183,10,9,10
chr_p70_rk_q0.55,0.4132272532562884,0.12725478443785376,28.597246881843464,0.9759979228991786,-0.49828619285029263,4,0.43181389104384166,0.41555344265186456,0.12829735232515138,0.9681366118618491,28.375369370440705,10,9,10
chr_peak_rk_q0.40,0.3967854527388741,0.12725478443785376,26.953066830102035,0.9735336293045017,-0.45638710580594116,4,0.4224970764771001,0.40511393047824196,0.05120490334575689,1.0691057921017069,27.443687913766553,10,8,10
chr_peak_rk_q0.30,0.38166717371848513,0.12725478443785376,25.441238928063136,0.945962055944315,-0.45638710580594116,4,0.4156664878066321,0.41501011727430015,0.057509202292941985,1.0505047854600766,26.760629046719753,10,8,10
chr_p70_rk_q0.60,0.38918955398543265,0.12725478443785376,26.193476954757887,0.9354189548708102,-0.5026303425931407,4,0.41373392404634723,0.4046425913008196,0.05531454630448973,0.9399348868773818,26.567372670691263,10,9,10
chr_peak_rk_q0.20,0.38259291842626464,0.12725478443785376,25.533813398841087,0.9475568869928159,-0.45638710580594116,4,0.412796808932005,0.38235943254507865,0.0888981471566268,1.1575616353613176,26.47366115925704,10,8,10
chr_peak_rk_q0.35,0.3820038275851967,0.12725478443785376,25.474904314734292,0.9496551740412099,-0.4563871058059412,4,0.4122749169884763,0.392812649785103,0.057509202292941985,1.0691057921017069,26.421471964904175,10,8,10
chr_peak_rk_q0.25,0.37558519521703704,0.12725478443785376,24.833041077918327,0.932726697980422,-0.45638710580594116,4,0.4046254248012052,0.38235943254507865,0.0888981471566268,1.0505047854600766,25.656522746177057,10,8,10
chr_p50_rk_q0.25,0.359244850675432,0.12725478443785376,23.199006623757825,0.8801151164555391,-0.6422737520951208,4,0.38958534889768315,0.3972941641686898,0.11271370649259693,0.8119194664405196,24.152515155824858,10,9,10
chr_p70_q0.4_h12,0.37512650234067135,0.12725478443785376,24.78717179028176,1.029391373527719,-0.5876047160434915,4,0.3871719618395364,0.37305148599011595,0.11657196237376,0.6453933142449924,23.91117645001018,10,9,10
chr_peak_rk_q0.55,0.3639868859056903,0.12725478443785376,23.673210146783653,0.8912736865307606,-0.6422737520951209,4,0.38162105811117947,0.387949696851019,0.14126467939120602,0.7110169410522791,23.35608607717449,10,10,10
chr_p70_rk_q0.70,0.35824883527084284,0.12725478443785376,23.099405083298908,0.8646050261558369,-0.6727042657263086,4,0.3763265242921581,0.4065024289005694,0.09903515127328766,0.6706110181954832,22.826632695272345,10,9,10
chr_peak_rk_q0.50,0.34691231855297655,0.12725478443785376,21.965753411512278,0.8619250303390743,-0.6422737520951209,4,0.3750642648761326,0.4091261524369393,0.09066034922694644,0.7002311629427278,22.7004067536698,10,8,10
chr_peak_rk_q0.45,0.3496371223316055,0.12725478443785376,22.238233789375172,0.8670411641564065,-0.6422737520951209,4,0.37505061361102215,0.4030871559975622,0.09373964310849248,0.7002311629427278,22.699041627158756,10,8,10
chr_p50_rk_q0.20,0.34366330266155076,0.12725478443785376,21.6408518223697,0.8526564639832418,-0.6422737520951208,4,0.3712708439098538,0.38317335558754706,0.07592256235872474,0.7956305332414466,22.321064657041926,10,8,10
chr_p50_rk_q0.30,0.33562137049042273,0.12725478443785376,20.836658605256897,0.84451313318542,-0.6422737520951208,4,0.36840981156534686,0.37146116105517657,0.10029903191898737,0.6602305189003868,22.03496142259123,10,8,10
