name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_pos,wf_n_beats,wf_n_splits,param,value
H=12,0.35568744158996046,0.1194382410561079,23.624920053385257,0.9943094803469081,-0.5876047160434913,4,0.38911224284584944,0.36838392951310583,0.10619991220641989,0.6596371980921731,24.105204550641496,10,9,10,hold,12
cost=0bp,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,cost_bps,0
cost=5bp,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,cost_bps,5
cost=10bp,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,cost_bps,10
cost=15bp,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,cost_bps,15
cost=20bp,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,cost_bps,20
cost=30bp,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,cost_bps,30
cost=50bp,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,cost_bps,50
gate=tight,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,gate,tight
gate=strict,0.19044535947906893,0.1194382410561079,7.1007118422961035,0.6359764463172892,-0.509820375646046,23,0.1701238606363012,0.18183355681214142,0.051387428404797264,0.2780261489638516,2.206366329686658,10,6,10,gate,strict
gate=ddgate,0.24071437672178697,0.1194382410561079,12.127613566567907,0.6992505431774616,-0.8191498174615551,0,0.28804605850213605,0.32334489850341475,-0.31756138130044687,0.7816227165766676,13.998586116270143,9,7,10,gate,ddgate
w=ew,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,27.994518269377345,10,9,10,weighting,ew
w=conv,0.3406822200641535,0.1194382410561079,22.12439790080456,0.7535113583317441,-0.7074931175762068,4,0.2941248780452055,0.24847350111775435,-0.032952156271357724,0.7462218877412667,14.606468070577085,9,8,10,weighting,conv
w=invvol,0.3813972304007436,0.1194382410561079,26.195898934463568,0.9695106424150287,-0.4638255989927828,4,0.4240895680107781,0.3477814420211862,0.2081844566274158,1.0558463428565679,27.60293706713435,10,9,10,weighting,invvol
w=softmax,0.3021980261374535,0.1194382410561079,18.27597850813456,0.6805218419285719,-0.7472216603341127,4,0.23644053567646636,0.1701203173761866,-0.028439285071707787,0.6439576063314163,8.838033833703172,8,7,10,weighting,softmax
