name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash_months,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_positive,wf_n_beats_spy,wf_n_splits,scorer,k_combo,weighting,gate,hold
mom_12_1|k15_7_7|conv|loose|h3,0.12237204928509637,0.1194382410561079,0.2933808228988477,0.5882481976812401,-0.7849987168886614,24,0.16446207658487152,0.14782607991347196,-0.07506831401435965,0.37233123110430566,1.6401879245436937,9,6,10,mom_12_1,k15_7_7,conv,loose,3
mom_12_1|k15_7_7|conv|loose|h6,0.09682997489175804,0.1194382410561079,-2.2608266164349855,0.49161643037022174,-0.7969157336166003,21,0.1461362603399146,0.17347537978600713,-0.07185620238162249,0.33738573146186557,-0.1923936999520027,9,4,10,mom_12_1,k15_7_7,conv,loose,6
mom_12_1|k15_7_7|conv|none|h1,0.12159708857157936,0.1194382410561079,0.21588475154714626,0.6546712445881326,-0.6509151278013274,0,0.14658740584072344,0.15770352052811876,-0.07952957620007584,0.2927293244022908,-0.14727914987111773,9,6,10,mom_12_1,k15_7_7,conv,none,1
mom_12_1|k15_7_7|conv|none|h3,0.11016662717551529,0.1194382410561079,-0.9271613880592611,0.5696972641716652,-0.736182976148887,0,0.14141860589804048,0.14892120908833417,-0.11160166731991239,0.33722380028989285,-0.6641591441394146,9,5,10,mom_12_1,k15_7_7,conv,none,3
mom_12_1|k15_7_7|conv|none|h6,0.09393061881779796,0.1194382410561079,-2.5507622238309935,0.5082378457452293,-0.7006132611440022,0,0.14109639333375806,0.155967320398553,-0.09204189260379247,0.32043479902109073,-0.6963804005676553,9,5,10,mom_12_1,k15_7_7,conv,none,6
mom_12_1|k15_7_7|invvol|tight|h1,0.12040853696691345,0.1194382410561079,0.0970295910805552,0.6827535313844094,-0.36031996607732897,12,0.11368919846535283,0.10420828390094461,-0.0286158024953842,0.26029430089964745,-3.437099887408177,9,3,10,mom_12_1,k15_7_7,invvol,tight,1
mom_12_1|k15_7_7|invvol|tight|h3,0.14509507082470563,0.1194382410561079,2.5656829768597733,0.71595022840648,-0.3972062478097825,5,0.15244555868254486,0.12709850148717639,0.1111768625817986,0.32541301991201377,0.4385361343110251,10,4,10,mom_12_1,k15_7_7,invvol,tight,3
mom_12_1|k15_7_7|invvol|tight|h6,0.10135377882307761,0.1194382410561079,-1.8084462233030285,0.5375447266091623,-0.4702901925956389,4,0.13752111308156523,0.12526794955581622,-0.022466476961411685,0.4393432660837264,-1.0539084257869369,9,5,10,mom_12_1,k15_7_7,invvol,tight,6
mom_12_1|k15_7_7|invvol|loose|h1,0.1278104514685019,0.1194382410561079,0.8372210412393999,0.7471320968878721,-0.3448947295818531,36,0.13220332575479662,0.12387461225774143,0.004863006334499875,0.28208727617743046,-1.585687158463798,10,5,10,mom_12_1,k15_7_7,invvol,loose,1
mom_12_1|k15_7_7|invvol|loose|h3,0.13525795323085776,0.1194382410561079,1.5819712174749867,0.7288131980568431,-0.5231696091197567,24,0.16626027847383143,0.16148465945065682,-0.02281356564724102,0.378526064592245,1.8200081134396817,9,6,10,mom_12_1,k15_7_7,invvol,loose,3
mom_12_1|k15_7_7|invvol|loose|h6,0.07203772344979664,0.1194382410561079,-4.740051760631125,0.4364714727778905,-0.6141142076873506,21,0.0899118816551463,0.08389063702123356,-0.12248862876618394,0.3477125941505186,-5.814831568428831,8,0,10,mom_12_1,k15_7_7,invvol,loose,6
mom_12_1|k15_7_7|invvol|none|h1,0.11855592231322287,0.1194382410561079,-0.08823187428850243,0.7007771543007284,-0.5516605502722574,0,0.1335049919747619,0.1413677346086225,-0.03434057494039078,0.27414949961423485,-1.455520536467273,9,4,10,mom_12_1,k15_7_7,invvol,none,1
mom_12_1|k15_7_7|invvol|none|h3,0.11239891859797546,0.1194382410561079,-0.7039322458132435,0.6331824993882471,-0.5693480815535705,0,0.13316425195355608,0.13376264155816464,-0.07029349218231373,0.29793930162564974,-1.4895945385878528,9,3,10,mom_12_1,k15_7_7,invvol,none,3
mom_12_1|k15_7_7|invvol|none|h6,0.11327375752299762,0.1194382410561079,-0.6164483533110277,0.6398668376982204,-0.5720755346503964,0,0.14749004060308776,0.136412092752206,-0.08076613673999311,0.3773548141810099,-0.05701567363468509,9,5,10,mom_12_1,k15_7_7,invvol,none,6
mom_12_1|k10_5_5|ew|tight|h1,0.1048535732389575,0.1194382410561079,-1.4584667817150399,0.576415954784997,-0.5442581983086382,12,0.11196411250612692,0.08463629802661554,-0.0719004143217511,0.28488774899865255,-3.609608483330767,9,4,10,mom_12_1,k10_5_5,ew,tight,1
mom_12_1|k10_5_5|ew|tight|h3,0.12781665619015437,0.1194382410561079,0.8378415134046469,0.6157239979404298,-0.5765106224591587,5,0.13308850490944657,0.13429691818465261,0.05178339686635125,0.2729838015125239,-1.4971692429988035,10,4,10,mom_12_1,k10_5_5,ew,tight,3
mom_12_1|k10_5_5|ew|tight|h6,0.10439238151710817,0.1194382410561079,-1.5045859538999728,0.5230327229002815,-0.6574781873834723,4,0.1556643256191399,0.13569881177080734,0.006890323001816245,0.3898929488245386,0.760412827970529,10,6,10,mom_12_1,k10_5_5,ew,tight,6
mom_12_1|k10_5_5|ew|loose|h1,0.11681537282165855,0.1194382410561079,-0.2622868234449349,0.6456788807074241,-0.49704481144056534,36,0.13522246818627703,0.1187488524727992,0.01656478540268358,0.31691207086717355,-1.283772915315757,10,3,10,mom_12_1,k10_5_5,ew,loose,1
mom_12_1|k10_5_5|ew|loose|h3,0.12475528689843052,0.1194382410561079,0.5317045842322621,0.6221847236433574,-0.708906264671425,24,0.15478277406844468,0.1348362378805389,-0.08204902050796481,0.33904978120769425,0.6722576729010079,9,4,10,mom_12_1,k10_5_5,ew,loose,3
mom_12_1|k10_5_5|ew|loose|h6,0.08632899031944552,0.1194382410561079,-3.3109250736662377,0.4679215628174788,-0.7429624533393867,21,0.12222144187436475,0.1350408547396249,-0.08690424636314897,0.2896247321551646,-2.5838755465069854,9,2,10,mom_12_1,k10_5_5,ew,loose,6
mom_12_1|k10_5_5|ew|none|h1,0.11688720680267384,0.1194382410561079,-0.2551034253434059,0.6418504409153934,-0.6075036530333352,0,0.13769335566124455,0.13845393333880307,-0.058097110561486365,0.3087277798590293,-1.0366841678190073,9,5,10,mom_12_1,k10_5_5,ew,none,1
mom_12_1|k10_5_5|ew|none|h3,0.10586755399447645,0.1194382410561079,-1.3570687061631448,0.5580627639458207,-0.7173937325894804,0,0.14311090079247707,0.13481356966002545,-0.10847932566140761,0.3563549803942496,-0.4949296546957549,9,4,10,mom_12_1,k10_5_5,ew,none,3
mom_12_1|k10_5_5|ew|none|h6,0.10959733786257586,0.1194382410561079,-0.9840903193532036,0.5718992755552947,-0.6519993862684343,0,0.15799605518777693,0.1680127324672267,-0.058076962120494735,0.3564987392831005,0.9935857848342312,9,5,10,mom_12_1,k10_5_5,ew,none,6
mom_12_1|k10_5_5|conv|tight|h1,0.11049659937577627,0.1194382410561079,-0.8941641680331625,0.5466710076013249,-0.729412902868661,12,0.13808755555897656,0.08816917895350795,-0.026939359380274475,0.33392087579687013,-0.9972641780458046,9,4,10,mom_12_1,k10_5_5,conv,tight,1
mom_12_1|k10_5_5|conv|tight|h3,0.12866053533852195,0.1194382410561079,0.9222294282414056,0.5671108493987282,-0.8019624997124958,5,0.15581759932035336,0.1599740669467209,0.04270148670320939,0.29397291704636586,0.7757401980918747,10,6,10,mom_12_1,k10_5_5,conv,tight,3
mom_12_1|k10_5_5|conv|tight|h6,0.07727632580512434,0.1194382410561079,-4.216191525098356,0.4075846778060266,-0.8321663376777471,4,0.12892327486216462,0.10655824948977832,-0.006658288722038552,0.30081139228310505,-1.913692247726999,9,4,10,mom_12_1,k10_5_5,conv,tight,6
mom_12_1|k10_5_5|conv|loose|h1,0.12711994043487262,0.1194382410561079,0.7681699378764728,0.6106828256694079,-0.6758073212302795,36,0.16697329280023326,0.1627084585898676,0.005748594394158202,0.3574079097636902,1.8913095460798643,10,6,10,mom_12_1,k10_5_5,conv,loose,1
mom_12_1|k10_5_5|conv|loose|h3,0.10430566131038521,0.1194382410561079,-1.5132579745722685,0.49471899420071164,-0.8760118843798846,24,0.16817591490517725,0.16060264472064034,-0.11881804874541457,0.4644304414397762,2.0115717565742655,9,7,10,mom_12_1,k10_5_5,conv,loose,3
mom_12_1|k10_5_5|conv|loose|h6,0.11252440069337322,0.1194382410561079,-0.691384036273468,0.515463734050048,-0.8584000274213541,21,0.18803251256132308,0.20667951726890765,-0.04165903891675993,0.41142583361710083,3.9972315221888493,9,7,10,mom_12_1,k10_5_5,conv,loose,6
mom_12_1|k10_5_5|conv|none|h1,0.1265369146369386,0.1194382410561079,0.7098673580830717,0.636156736178119,-0.7202330687447368,0,0.15527789755058957,0.1664645149598779,-0.09605111588430759,0.2767335114260083,0.7217700211154978,9,6,10,mom_12_1,k10_5_5,conv,none,1
mom_12_1|k10_5_5|conv|none|h3,0.11392568549421678,0.1194382410561079,-0.5512555561891119,0.5515830046452247,-0.814956347360005,0,0.15429758904205923,0.15962733873482493,-0.13737004574453615,0.3668581615808644,0.6237391702624628,9,7,10,mom_12_1,k10_5_5,conv,none,3
mom_12_1|k10_5_5|conv|none|h6,0.07598777465885154,0.1194382410561079,-4.345046639725636,0.42174690488410993,-0.7836315830315994,0,0.13518205980986744,0.16125165260205476,-0.13887565461237794,0.28909833715645883,-1.2878137529567166,9,5,10,mom_12_1,k10_5_5,conv,none,6
mom_12_1|k10_5_5|invvol|tight|h1,0.10975414857941268,0.1194382410561079,-0.9684092476695216,0.6065983480082241,-0.45205823569338055,12,0.12231430686482714,0.10588759972056294,-0.05666787794790151,0.32468208776842555,-2.574589047460747,9,4,10,mom_12_1,k10_5_5,invvol,tight,1
mom_12_1|k10_5_5|invvol|tight|h3,0.14217792478970104,0.1194382410561079,2.273968373359314,0.692394551166415,-0.43029663850988636,5,0.1371551153677226,0.11874193832501323,0.054709508036965504,0.32827337896558184,-1.0905081971712005,10,3,10,mom_12_1,k10_5_5,invvol,tight,3
mom_12_1|k10_5_5|invvol|tight|h6,0.12332222710564222,0.1194382410561079,0.3883986049534327,0.6109586387294875,-0.4888318191263303,4,0.16858072276779007,0.13203807678264534,-0.009755419284774414,0.5133034893588573,2.052052542835547,9,5,10,mom_12_1,k10_5_5,invvol,tight,6
mom_12_1|k10_5_5|invvol|loose|h1,0.12244084519209797,0.1194382410561079,0.30026041359900724,0.6856776177859183,-0.38754590044808074,36,0.14691157624346404,0.12898028408340334,0.025531238731644423,0.3608168837442576,-0.11486210959705598,10,7,10,mom_12_1,k10_5_5,invvol,loose,1
mom_12_1|k10_5_5|invvol|loose|h3,0.1403818200466349,0.1194382410561079,2.094357899052701,0.7098931376419759,-0.5829361710781085,24,0.16369846130343763,0.13897470981572368,-0.08893547390415246,0.38805143623953975,1.5638263964002994,9,6,10,mom_12_1,k10_5_5,invvol,loose,3
mom_12_1|k10_5_5|invvol|loose|h6,0.09874704990474781,0.1194382410561079,-2.069119115136009,0.5292474591344943,-0.6262878955756871,21,0.12619335909909002,0.12429855279919722,-0.11233912191975581,0.38210150569469237,-2.186683824034459,9,2,10,mom_12_1,k10_5_5,invvol,loose,6
mom_12_1|k10_5_5|invvol|none|h1,0.11932450101223435,0.1194382410561079,-0.011374004387354475,0.6667821053594708,-0.5886410119452103,0,0.13825875238817995,0.12734458361215006,-0.061966092795093575,0.33809316228698205,-0.9801444951254655,9,3,10,mom_12_1,k10_5_5,invvol,none,1
mom_12_1|k10_5_5|invvol|none|h3,0.11564702493710377,0.1194382410561079,-0.3791216119004126,0.6113588468834168,-0.6139908727346212,0,0.1495891972638071,0.12889281396587027,-0.10852735281395154,0.3944656994021065,0.15289999243724636,9,5,10,mom_12_1,k10_5_5,invvol,none,3
mom_12_1|k10_5_5|invvol|none|h6,0.1178763685507449,0.1194382410561079,-0.15618725053629934,0.6249544723734578,-0.5973963442550089,0,0.1595533147675169,0.16567989700842256,-0.08633851003445725,0.3916565035554451,1.149311742808229,9,6,10,mom_12_1,k10_5_5,invvol,none,6
mom_12_1|k7_5_5|ew|tight|h1,0.09773997911789967,0.1194382410561079,-2.169826193820823,0.5419040615188159,-0.6139182137210789,12,0.10664487143754442,0.07242045674363784,-0.08334360018179665,0.2936631555122542,-4.141532590189018,9,3,10,mom_12_1,k7_5_5,ew,tight,1
