date,ret_m,n_picks,scale,picks,pick_ret_min,pick_ret_max,pick_ret_mean,top_w_pick,top_w,reason
2010-01-29,0.0,0,0.0,,,,,,,regime
2010-02-26,0.0,0,0.0,,,,,,,regime
2010-03-31,0.019858125075740113,30,1.0,"CPWR,ETFC,TMUS,ARNC,SYMC,AES,GT,NBR,COG,TXT,HAL,NOV,IP,HP,F,MS,JCP,WU,DVN,PPL,FE,STT,NYT,BHGE,VLO,EOG,DFS,MSI,TAP,EXPE",-0.7142858281912844,0.2081137465699359,0.004330631962364245,PPL,0.05,ok
2010-04-30,-0.07694677961463381,30,1.0,"GNW,X,TGNA,ARNC,NYT,ETFC,AES,PPL,HAL,SLM,BHGE,SYMC,GE,AEE,HIG,FAST,ORLY,TXT,GILD,APA,APH,YUM,ODP,SHW,GHC,AMAT,OMC,DRI,LOW,DO",-0.23108329287310964,0.23019424093334065,-0.08201829357715293,AEE,0.05,ok
2010-05-31,-0.019804950343603155,29,0.5760417557579878,"TGNA,NYT,FCX,CI,HIG,EXPE,KMB,BAX,DUK,NBR,KO,WDC,ADI,HP,HUM,LLY,DGX,DXC,AMGN,PPL,TDC,SLM,NEM,ORLY,GIS,MSI,FE,PG,KR",-0.15588862212523324,0.14920485088777702,-0.04312858983830385,KMB,0.05000000000000002,ok
2010-06-30,0.0,0,0.0,,,,,,,regime
2010-07-30,0.0,0,0.0,,,,,,,regime
2010-08-31,0.0,0,0.0,,,,,,,regime
2010-09-30,-0.001,29,1.0,"CPWR,ETFC,TIE,ODP,PNC,BBBY,ISRG,ZION,COG,ARNC,IP,NYT,FITB,MTB,KEY,URBN,TSN,VTR,HBAN,BHGE,ANTM,EL,ATI,BBY,FLIR,MCK,AVB,ABC,BIG",0.0,0.0,0.0,FLIR,0.05,ok
2010-10-29,0.0,0,0.0,,,,,,,regime
