date,ret_m,n_picks,picks,reason
2012-10-31,0.006736834536253265,30,"MKC,SHW,WMT,PM,MO,PRGO,BF.B,HD,TJX,OKE,ROST,CMCSA,AAPL,AGN,ALXN,V,CCI,DVA,PNW,AMGN,WEC,LYB,BIIB,DTE,DIS,AMT,ABT,T,NEE,VZ",ok
2012-11-30,0.0007528866296537037,30,"MKC,AGN,CMCSA,V,HD,CCI,DVA,LYB,SNA,AMGN,DFS,MAT,SHW,AMT,LSI,SJM,DTE,HSY,PM,VTR,UNP,PPG,ROP,OKE,CMS,WEC,YUM,SPGI,WELL,TJX",ok
2012-12-31,0.03576302637816776,30,"HD,MKC,V,SHW,BF.B,AGN,SJM,CMCSA,BLL,CCI,COST,MAT,AMGN,SNA,HSY,LYB,PPG,MA,CMS,DVA,ACN,ROP,AZO,AMT,DTE,TJX,ECL,BIIB,WEC,CRM",ok
2013-01-31,0.021028571026928265,30,"MKC,HD,V,CCI,SJM,COST,HRL,SHW,PPG,MA,DISCA,LYB,CMS,BLL,TWX,AGN,DVA,ECL,AMT,CMCSA,TRV,SPGI,DTE,SNA,ROP,ACN,EFX,MCK,AMGN,SRE",ok
2013-02-28,-0.001,30,"HRL,HSY,CAG,CMS,LYB,DISCA,V,HD,SHW,PPG,KMB,TRV,TWX,ABC,DVA,DTE,SRE,MCK,CMCSA,WEC,LEG,ROP,MA,EFX,ECL,BMY,CCI,PFE,PSA,ACN",ok
2013-03-28,0.0,0,,regime
2013-04-30,-0.01920449871120825,30,"HSY,HRL,CLX,GIS,ABC,BMY,CMS,TWX,MAT,BIIB,DISCA,DTE,WEC,SHW,NI,VTR,WELL,JNJ,AMGN,GPC,TRV,HD,MCD,V,CINF,LYB,CMCSA,FIS,DIS,ECL",ok
2013-05-31,-0.001,30,"HRL,HSY,KMB,GIS,CMS,ABC,MAT,NI,TWX,BIIB,DISCA,PNW,SHW,DTE,WELL,VTR,DIS,REGN,JNJ,CINF,MCD,V,TRV,BMY,HD,PPG,GWW,ADP,VZ,UNP",ok
2013-06-28,0.0,0,,regime
2013-07-31,-0.001,30,"GIS,HSY,SJM,AGN,ORLY,ABC,BMY,HD,GPC,HRL,MAT,VFC,ECL,SBUX,BIIB,JNJ,FIS,REGN,GWW,V,MA,ADP,UNP,CMS,NEE,NI,NOC,VZ,AXP,SHW",ok
2013-08-30,0.0,0,,regime
2013-09-30,0.049517142745810476,30,"ORLY,HSY,AGN,ECL,NOC,ABC,SJM,SBUX,MYL,HRL,FIS,MCK,BKNG,TJX,FISV,PPG,MA,CI,LB,REGN,HON,LYB,IFF,ADP,TSN,BA,UNH,NI,AMP,CMS",ok
2013-10-31,-0.001,30,"SBUX,ABC,APTV,NOC,AGN,TJX,ECL,HSY,MYL,ORLY,MA,NI,BMY,D,DLTR,MCK,HRL,SJM,LB,FISV,BA,MMM,SRE,DOV,LYB,REGN,FIS,BIIB,AMP,PPG",ok
2013-11-29,0.0,0,,regime
2013-12-31,-0.02505831464261121,30,"TJX,ADS,ABC,ECL,VFC,NOC,MCK,HRL,SBUX,AGN,D,MA,MMM,BKNG,HSY,NI,KMB,FISV,VRSN,UPS,CMG,COST,BIIB,ADP,BMY,FIS,AMP,DIS,JNJ,OKE",ok
2014-01-31,0.05314689096777951,30,"VFC,TJX,ADS,ABC,NOC,TSCO,MCK,PRGO,SPGI,MMM,MA,FISV,AXP,ECL,CTAS,D,BKNG,DIS,MO,PPG,JCI,NI,AZO,VRSN,BMY,KMB,BIIB,OMC,HSY,HRL",ok
2014-02-28,-0.00714908452393935,30,"D,NI,NOC,MCK,VFC,ABC,KMB,AZO,PRGO,HSY,AGN,JCI,MA,SPGI,FISV,UNP,DIS,TJX,CMCSA,PPG,STZ,AXP,ECL,TMO,BKNG,OKE,NEE,MMM,BIIB,HRL",ok
2014-03-31,-0.014638868907892375,30,"AZO,HSY,NOC,MCK,VFC,JCI,ADS,PRGO,NI,AGN,D,PPG,ORLY,TMO,UNP,DIS,FIS,KMB,ECL,AXP,STZ,BKNG,AME,TJX,HRL,FISV,IFF,BIIB,LYB,SPGI",ok
2014-04-30,-0.001,30,"AZO,BF.B,NI,VFC,D,UNP,ORLY,NOC,LYB,APTV,AGN,HRL,WEC,JCI,BLL,MRK,STZ,IFF,HSY,MCK,CTAS,DTE,UNH,TMO,OKE,DIS,INTU,BKNG,KDP,PPG",ok
2014-05-30,0.0,0,,regime
2014-06-30,0.056680208821532,30,"NI,BF.B,LYB,DTE,UNP,D,BLL,COP,MO,AEP,KDP,MCK,KMB,AGN,HRL,AZO,JNJ,IFF,PSA,NOC,OKE,ORLY,ABC,SPG,MAR,PPG,JCI,APTV,AMT,ECL",ok
2014-10-31,0.03273354653638608,30,"MO,NI,DUK,HRL,DTE,HD,SRE,KDP,CVS,UNP,PEP,LLY,SHW,CTAS,SPG,AMT,BLL,ESS,LMT,ABC,AGN,DFS,PSA,UNH,ADP,CB,ORLY,FISV,AAPL,MCK",ok
2014-11-30,0.035398119683618424,30,"MO,DUK,UNP,NI,ADP,PSA,CMS,KDP,CVS,SHW,DTE,HD,COST,ORLY,SPG,GPC,HRL,ESS,LMT,FISV,CTAS,CB,LLY,VFC,WELL,UNH,MAR,TRV,ALL,AAPL",ok
2015-01-31,0.028880321450515146,30,"SHW,MO,CVS,ADP,CMS,ESS,COST,PNW,SPG,DUK,ORLY,KR,PSA,ES,VFC,WELL,CTAS,STZ,AZO,TRV,HD,FISV,UNH,GPC,MAC,NOC,ALL,EFX,CB,MCK",ok
2015-02-28,0.002267506085177938,30,"SHW,MO,CVS,COST,FISV,ADP,KR,STZ,PSA,NOC,ORLY,CTAS,CMS,ESS,HD,DIS,UNH,AZO,SBUX,EFX,FIS,PNW,SPG,ALL,SPGI,PPG,ES,PFE,MCK,MAC",ok
2015-03-31,-0.025112758228874637,30,"SHW,CVS,MO,COST,FISV,ABC,AZO,KR,EFX,HD,CTAS,STZ,NOC,LB,UNH,DIS,ORLY,ADP,PFE,SBUX,ESS,FIS,SPGI,CI,VFC,HBI,TRV,CMCSA,PPG,IFF",ok
2015-04-30,-0.001,30,"SHW,ABC,CVS,FISV,AZO,COST,KR,STZ,SPGI,EFX,HD,DIS,CTAS,LB,HRL,UNH,NOC,ROP,SBUX,ORLY,ESS,LMT,CI,FIS,MCK,ALL,VFC,HBI,PSA,SPG",ok
2015-05-29,0.0,0,,regime
2015-06-30,0.03102506998592581,30,"ABC,EFX,AZO,DIS,APTV,SNA,SBUX,FISV,SHW,ORLY,CVS,MCK,SPGI,AET,STZ,ROP,REGN,KR,MNK,CTAS,ABT,MCO,COST,INTU,MA,HRL,NOC,ACN,NI,AAPL",ok
2015-07-31,-0.06165755767896397,30,"CVS,DIS,SNA,AZO,FISV,SBUX,EFX,ORLY,LLY,ABC,NKE,ABT,CTAS,STZ,AET,KR,UNH,CMCSA,MDLZ,GIS,MCO,TWX,INTU,SHW,BF.B,MA,ACN,ROP,AON,PPG",ok
2015-08-31,0.00030090721401902624,30,"CVS,SNA,FISV,EFX,MDLZ,ORLY,AZO,V,SBUX,MO,GIS,LMT,NWL,BF.B,LLY,CLX,NKE,CTAS,REGN,DIS,HSIC,PSA,UAA,MA,MCO,ACN,AET,CMCSA,EQIX,NEE",ok
2015-09-30,0.0,0,,regime
2015-10-30,0.0,0,,regime
