name,top_k,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale,ratio
4way_highIC K= 30 inv_vol + vt18% + regime_loose,30,0.3561,1.597,-0.1246,0.48,0.2053,179,23,0.02732,0.05925,0.836,0.4611
4way_highIC K= 30 + vt=18% + 200ma_loose,30,0.3561,1.597,-0.1246,0.48,0.2053,179,23,0.02732,0.05925,0.836,0.4611
4way_highIC K= 50 inv_vol + vt18% + regime_loose,50,0.327,1.591,-0.1334,0.469,0.1905,179,23,0.02527,0.055,0.836,0.4594
4way_highIC K= 50 + vt=18% + 200ma_loose,50,0.327,1.591,-0.1334,0.469,0.1905,179,23,0.02527,0.055,0.836,0.4594
4way_highIC K= 30 + vt=15% + 200ma_loose,30,0.3425,1.588,-0.1151,0.48,0.1992,179,23,0.02637,0.05752,0.813,0.4584
4way_highIC K= 40 + vt=18% + 200ma_loose,40,0.3347,1.587,-0.1293,0.475,0.1953,179,23,0.02583,0.05637,0.836,0.4582
4way_highIC K= 40 inv_vol + vt18% + regime_loose,40,0.3347,1.587,-0.1293,0.475,0.1953,179,23,0.02583,0.05637,0.836,0.4582
4way_highIC K= 50 + vt=15% + 200ma_loose,50,0.3143,1.586,-0.1312,0.469,0.1844,179,23,0.02436,0.05323,0.813,0.4577
4way_highIC K= 20 inv_vol + vt18% + regime_loose,20,0.3854,1.581,-0.1421,0.475,0.223,179,23,0.02939,0.06438,0.836,0.4565
4way_highIC K= 40 + vt=15% + 200ma_loose,40,0.3219,1.579,-0.129,0.475,0.1893,179,23,0.02492,0.05466,0.813,0.4559
breakout50+crt50 K= 30 inv_vol + vt18% + regime_loose,30,0.3338,1.568,-0.1444,0.447,0.1975,179,23,0.0258,0.05702,0.836,0.4525
breakout50+crt50 K= 60 inv_vol + vt18% + regime_loose,60,0.2954,1.556,-0.1576,0.453,0.1776,179,23,0.02304,0.05128,0.836,0.4492
breakout50+crt50 K= 40 inv_vol + vt18% + regime_loose,40,0.3136,1.552,-0.1427,0.453,0.1884,179,23,0.02437,0.05439,0.836,0.4481
4way_highIC K= 30 inv_vol + 200ma [no vol_target],30,0.3487,1.547,-0.1217,0.458,0.2087,179,30,0.02691,0.06024,0.832,0.4466
4way_highIC K= 30 + no_vt + 200ma,30,0.3487,1.547,-0.1217,0.458,0.2087,179,30,0.02691,0.06024,0.832,0.4466
breakout50+crt50 K= 50 inv_vol + vt18% + regime_loose,50,0.3014,1.544,-0.1653,0.447,0.1826,179,23,0.0235,0.05271,0.836,0.4458
4way_highIC K= 50 inv_vol + 200ma [no vol_target],50,0.3226,1.54,-0.1329,0.447,0.1952,179,30,0.02505,0.05635,0.832,0.4445
4way_highIC K= 50 + no_vt + 200ma,50,0.3226,1.54,-0.1329,0.447,0.1952,179,30,0.02505,0.05635,0.832,0.4445
4way_highIC K= 40 inv_vol + 200ma [no vol_target],40,0.3289,1.536,-0.1287,0.453,0.1993,179,30,0.02551,0.05754,0.832,0.4433
4way_highIC K= 40 + no_vt + 200ma,40,0.3289,1.536,-0.1287,0.453,0.1993,179,30,0.02551,0.05754,0.832,0.4433
4way_highIC K= 30 + vt=18% + 200ma,30,0.334,1.531,-0.1241,0.458,0.2029,179,30,0.02588,0.05857,0.809,0.4419
4way_highIC K= 50 + vt=18% + 200ma,50,0.3087,1.53,-0.1325,0.447,0.1888,179,30,0.02406,0.05449,0.809,0.4416
4way_highIC K= 20 inv_vol + 200ma [no vol_target],20,0.3746,1.525,-0.1423,0.453,0.2264,179,30,0.02877,0.06535,0.832,0.4403
4way_highIC K= 40 + vt=18% + 200ma,40,0.3146,1.523,-0.1287,0.453,0.1931,179,30,0.0245,0.05574,0.809,0.4396
crt_6m K= 60 inv_vol + vt18% + regime_loose,60,0.2688,1.447,-0.186,0.464,0.1764,179,23,0.02126,0.05091,0.836,0.4177
crt_6m K= 50 inv_vol + vt18% + regime_loose,50,0.275,1.433,-0.1881,0.453,0.1822,179,23,0.02176,0.05259,0.836,0.4137
crt_6m K= 40 inv_vol + vt18% + regime_loose,40,0.2851,1.428,-0.2024,0.48,0.1894,179,23,0.02253,0.05467,0.836,0.4121
crt_6m K= 20 inv_vol + vt18% + regime_loose,20,0.2981,1.42,-0.1626,0.436,0.1987,179,23,0.0235,0.05735,0.836,0.4098
crt_6m K= 30 inv_vol + vt18% + regime_loose,30,0.2877,1.417,-0.2056,0.458,0.1926,179,23,0.02274,0.05561,0.836,0.409
