name,top_k,cagr,sharpe,max_dd,win_rate,ann_vol,n_months,cash_months,mean_m,std_m,avg_scale,ratio
BEST: L=0.70+S12=0.30 K= 40 d200+rs vt=18% loose,40,0.569,1.771,-0.1535,0.475,0.2787,179,23,0.04112,0.08045,0.836,0.5111
K=40 L=0.65+S12=0.35,40,0.5605,1.771,-0.1614,0.48,0.275,179,23,0.04059,0.07939,0.836,0.5113
L=0.70+S12=0.30 K= 40 + d200>0+rs>0 + vt18% + loose,40,0.569,1.771,-0.1535,0.475,0.2787,179,23,0.04112,0.08045,0.836,0.5111
K= 50 L=0.65+S12=0.35 + vt18% + loose,50,0.5284,1.769,-0.1423,0.458,0.2615,179,23,0.03855,0.07548,0.836,0.5107
K= 50 L=0.70+S12=0.20+S5y=0.10 + vt18% + loose,50,0.536,1.768,-0.1459,0.475,0.2649,179,23,0.03903,0.07646,0.836,0.5105
BEST: L=0.70+S12=0.30 K= 40 d200+rs vt=15% loose,40,0.5484,1.766,-0.1402,0.475,0.2704,179,23,0.03981,0.07807,0.813,0.5099
K= 60 L=0.70+S12=0.30 + vt18% + loose,60,0.5116,1.762,-0.1457,0.464,0.2552,179,23,0.03749,0.07368,0.836,0.5088
K= 50 L=0.70+S12=0.30 + vt18% + loose,50,0.536,1.762,-0.15,0.469,0.266,179,23,0.03906,0.0768,0.836,0.5086
K= 30 L=0.65+S12=0.35 + vt18% + loose,30,0.6033,1.76,-0.1598,0.48,0.2955,179,23,0.04333,0.08529,0.836,0.508
K= 60 L=0.70+S12=0.20+S5y=0.10 + vt18% + loose,60,0.502,1.752,-0.141,0.475,0.2527,179,23,0.03689,0.07294,0.836,0.5057
K=40 L=0.65+S12=0.20+MPUV=0.15,40,0.5298,1.749,-0.1629,0.48,0.2655,179,23,0.03871,0.07665,0.836,0.505
K=40 L=0.60+S12=0.40,40,0.5334,1.744,-0.1577,0.486,0.268,179,23,0.03895,0.07736,0.836,0.5035
K=40 L=0.60+S12=0.25+Idio=0.15,40,0.5597,1.741,-0.155,0.486,0.2801,179,23,0.04064,0.08086,0.836,0.5027
L=0.70+S12=0.30 K= 50 + d200>0+rs>0 + vt18% + loose,50,0.52,1.739,-0.1509,0.469,0.263,179,23,0.0381,0.07591,0.836,0.5019
BEST: L=0.70+S12=0.30 K= 50 d200+rs vt=18% loose,50,0.52,1.739,-0.1509,0.469,0.263,179,23,0.0381,0.07591,0.836,0.5019
K= 60 L=0.65+S12=0.35 + vt18% + loose,60,0.4944,1.736,-0.1427,0.464,0.2518,179,23,0.03644,0.07269,0.836,0.5013
BEST: L=0.70+S12=0.30 K= 50 d200+rs vt=15% loose,50,0.5004,1.736,-0.1369,0.469,0.2545,179,23,0.03682,0.07348,0.813,0.5011
K=40 L=0.70+S12=0.15+MPUV=0.15,40,0.5406,1.731,-0.1599,0.48,0.2737,179,23,0.03946,0.079,0.836,0.4996
BEST: L=0.70+S12=0.30 K= 60 d200+rs vt=15% loose,60,0.4636,1.721,-0.1302,0.469,0.2401,179,23,0.03443,0.06931,0.813,0.4968
L=0.70+S12=0.30 K= 60 + d200>0+rs>0 + vt18% + loose,60,0.4817,1.721,-0.1447,0.469,0.2486,179,23,0.03565,0.07176,0.836,0.4968
BEST: L=0.70+S12=0.30 K= 60 d200+rs vt=18% loose,60,0.4817,1.721,-0.1447,0.469,0.2486,179,23,0.03565,0.07176,0.836,0.4968
L=0.70+S12=0.30 K= 20 + d200>0+rs>0 + vt18% + loose,20,0.7039,1.718,-0.1846,0.492,0.3466,179,23,0.04962,0.10007,0.836,0.4959
