feature,n_event,n_ctrl,event_mean,ctrl_mean,event_med,ctrl_med,event_std,ctrl_std,ks_stat,ks_p,auroc,auroc_signed
dd_from_52wh,793,3850,0.3947903437054548,0.3076971549653791,0.3810174504157515,0.25808054453083457,0.24940440721144838,0.2411563350828989,0.16958942696647614,5.3943295146335257e-17,0.6017988568808241,0.6017988568808241
pullback_1y,793,3850,-0.3947903437054548,-0.3076971549653791,-0.3810174504157515,-0.25808054453083457,0.24940440721144838,0.2411563350828989,0.16958942696647614,5.3943295146335257e-17,0.39807897021011773,0.6019210297898823
rs_3m_zscore,793,3850,-0.29310482620627315,-0.11557464799300944,-0.4009935481632853,-0.10865190278377099,1.7886327956752257,1.2827652298081205,0.15742814562486693,1.0725878341489736e-14,0.4360642636052472,0.5639357363947528
rs_3m_spy,793,3850,-0.04686283830721096,-0.01625931810975065,-0.08222271963769245,-0.02228754575037928,0.33915365304353373,0.25686207919751425,0.15402957698039665,4.381232684402055e-14,0.43646026105042496,0.5635397389495751
mom_2y,793,3850,0.22169283045707924,0.14564859733972035,-0.23939388889327728,-0.04449451455837489,1.6275319679929567,1.2593885779155847,0.14930479356708865,2.942984904413094e-13,0.43998526064099835,0.5600147393590016
d_sma200,793,3850,-0.09830491563781298,-0.0661087660705709,-0.1316438317451749,-0.049329233179550624,0.37431721022480025,0.2622306696960577,0.1441499484122435,2.195040388616897e-12,0.44062789669347047,0.5593721033065295
d_sma50,793,3850,-0.04492563551938669,-0.015780490602149085,-0.03762097535831532,-0.0044961277486254,0.19513241572825835,0.13408883075729083,0.14206416534285388,4.849634754633616e-12,0.4307711960170977,0.5692288039829023
rs_6m_spy,793,3850,-0.03781409160308972,-0.05149542739096031,-0.14249058204912657,-0.0690102040692478,0.6881097271184564,0.34765370555168007,0.13271122320302647,1.468418144665463e-10,0.44637297129100406,0.5536270287089959
rsi_14,793,3850,47.56129355001087,50.3156409641807,46.70013484687681,49.92131950930011,12.571270076488924,11.97799919470319,0.12047034932280834,8.941741563389058e-09,0.4334085586544603,0.5665914413455397
mom_3,793,3850,-0.05340648451316173,-0.02458193291941493,-0.07766918496051334,-0.025781138798062042,0.369305668645194,0.2870833348592805,0.11688901262671754,2.7580159895924543e-08,0.44992057123204665,0.5500794287679533
sharpe_5y,760,3706,0.23395293546139204,0.3391848736090259,0.22752097182292255,0.3339975291208973,0.45978370576875655,0.43369962258058914,0.11279220041469026,1.9044959393077777e-07,0.43237459880137474,0.5676254011986253
recovery_rate,791,3804,0.4934307229503184,0.5549223080967205,0.5,0.6,0.28741753959648214,0.2876471380374441,0.09910321293308927,4.70964477681033e-06,0.4374588728878112,0.5625411271121887
tail_ratio_24m,792,3849,1.7730290085370721,1.3341565309749261,1.2245354956297358,1.1241569074918252,6.616611698526911,0.9345737841621685,0.09816107292724596,5.789293839573374e-06,0.5535758336810558,0.5535758336810558
dist_from_low_1y,793,3850,0.8732617906833766,2.044963496743486,0.3011093289667066,0.24208564213827866,5.534715007371238,74.49430883478226,0.09593324708078807,1.0119502129803148e-05,0.5420454954881184,0.5420454954881184
range_pos_1y,792,3849,0.3443140217925295,0.40800735853699266,0.23024712453619464,0.31244385550751486,0.31676343281933206,0.3310665552463837,0.09363904044340521,1.8220923530132958e-05,0.43953696486821975,0.5604630351317803
idio_mom_12_1,793,3850,777.7468573770077,6.529502701954883e+239,-0.2034649356928797,-0.14215612803031663,21889.00033851435,inf,0.09213606066065083,2.603326836885826e-05,0.4718163803409705,0.5281836196590295
rs_12m_spy,793,3850,-0.013244069607308765,-0.07715088300927132,-0.2327795598063236,-0.16176673120969864,1.1097362867459521,0.5907859227655335,0.0912258233569709,3.246520010817309e-05,0.46343066769296276,0.5365693323070373
earnings_drift_proxy,793,3850,0.013088832820399294,-0.004950549765615948,-0.009544911361763608,-0.0003778479959909431,0.31954552365113437,0.17639617577709632,0.08729991320155255,8.205701811390965e-05,0.48719247965149604,0.512807520348504
trend_r2_12m,792,3849,0.457533967486694,0.5076316689173663,0.47897971190794025,0.5532751202897346,0.304380103224032,0.2902918141519381,0.08659175543431194,9.762472993078495e-05,0.4538372160157039,0.5461627839842961
frac_above_50dma_1y,793,3850,0.43919514001481214,0.46613584827870536,0.42063492063492064,0.4365079365079365,0.1766112019781118,0.19051172655169935,0.07865904587216063,0.0005469283399237148,0.4657974812073173,0.5342025187926827
trend_slope_252,793,3850,-0.26188235857301695,-0.2172404928937322,-0.22186877376556507,-0.17101021395510024,0.8722233676163516,0.6468833543534952,0.07610749905831873,0.0009221211401512174,0.4794841224349421,0.5205158775650579
mom_6_1,793,3850,-0.030960877330689602,-0.04746163183428153,-0.09790663677866729,-0.05691541335034611,0.5216761961617977,0.33651721960439424,0.0744281947560636,0.0012882504304895755,0.4773341412685675,0.5226658587314326
mom_consistency_12m,793,3850,0.44603793292317884,0.47410704447068075,0.45454545454545453,0.45454545454545453,0.16030945244997705,0.17217559657160567,0.07151045675635839,0.0022624119371881563,0.46087257005289795,0.539127429947102
acceleration_2y,793,3850,-0.204091516186819,-0.2619208499935206,-0.17796613282412466,-0.22096777302424947,1.5411543200926332,1.659383598109414,0.07050556001375674,0.002732202207871159,0.5181841109709963,0.5181841109709963
multibagger_ratio_24m,792,3849,5.887851622127551,2.754253698683159,2.299551103627,2.1007289408474468,78.24950133589444,2.5478709771248518,0.06958517363817442,0.003263199134053593,0.5313888429632779,0.5313888429632779
mom_accel,793,3850,-0.08334270645285266,0.013834843654758002,0.10785578500380766,0.08045936640758916,1.0184613645842324,0.5594955930847199,0.06631270368975287,0.005835443548037496,0.5073192381389102,0.5073192381389102
near_52wh_60d,793,3850,0.27616645649432536,0.34155844155844156,0.0,0.0,0.4471001507511413,0.4742322980972618,0.06539198506411621,0.006850421604322976,0.30510145592112803,0.694898544078872
mom_per_unit_vol_12,792,3849,0.022447599870562874,0.039355670694839084,-0.31712161740630074,-0.3741138713140501,1.1072554945043764,1.1566103763067028,0.06512907721013722,0.007212659152269917,0.5149425536214313,0.5149425536214313
rsi_zone_score,793,3850,0.5981334241437795,0.6335313395088049,0.6877527662084377,0.7166221861539205,0.33789032916919054,0.32003757585448034,0.05968359509343116,0.017614242984431646,0.4700882723833544,0.5299117276166456
mom_12_1,793,3850,0.01797608134417381,-0.04363820907300528,-0.20191648724077083,-0.14879853899578144,1.0162779166681812,0.5900457158782962,0.05801903015017769,0.02282768980344088,0.48145493850411886,0.5185450614958811
drawdown_age_days,793,3850,154.59899117276166,148.48311688311688,176.0,174.0,84.66148361897592,90.3425765823169,0.05573442950492131,0.03219375839681166,0.5153145215440298,0.5153145215440298
sma50_above_200,793,3850,0.32786885245901637,0.38025974025974024,0.0,0.0,0.4694367561729952,0.48545058471211583,0.052390887800723866,0.05194383468718153,0.3537727845924567,0.6462272154075432
bb_width_contraction,790,3848,1.3608964122622667,1.3134770611181716,1.0606357810784108,1.0842059705187435,1.0647603408202697,0.9824762917688432,0.04765454354061949,0.09818789932950486,0.4939429327087555,0.5060570672912446
vol_expansion_24m,790,3849,2.2240038789659864,1.4010773998460222,1.0591120665053146,1.0793877787479944,21.081707905946494,1.350303876199164,0.042808094162218695,0.17502503045953463,0.4895886158167007,0.5104113841832993
sharpe_1y,792,3849,0.01638845850213874,0.012583228694517121,-0.06707833245149503,-0.13979969871020204,1.0262215676935522,1.071402390382804,0.040954163615893935,0.21375877132809318,0.5092264552513968,0.5092264552513968
sharpe_12m,792,3849,0.01638845850213874,0.012583228694517121,-0.06707833245149503,-0.13979969871020204,1.0262215676935522,1.071402390382804,0.040954163615893935,0.21375877132809318,0.5092264552513968,0.5092264552513968
fip_score,792,3849,-0.06205228776701555,-0.05694706847523294,-0.05803687095166916,-0.05660377358490566,0.08054412610110981,0.068154455362809,0.0381385956210586,0.28654385527519244,0.4841674736452601,0.5158325263547399
vol_contraction,792,3849,1.0481741457561842,1.042283835892096,1.008777733054101,1.0040581402433533,0.28573792637827017,0.27376455804100175,0.02874319972917011,0.6372061340385016,0.5073408808794623,0.5073408808794623
new_52wh,793,3850,0.027742749054224466,0.02961038961038961,0.0,0.0,0.16423485905598362,0.16950992430389009,0.0018676405561651463,1.0,0.6763688770246147,0.6763688770246147
