ticker,status,n_obs,first_date,last_date
BOL,ok,4535,1998-07-29,2018-05-18
BRCM,empty,0,,
BRK.B,empty,0,,
BRL,empty,0,,
BSC,empty,0,,
BT,empty,0,,
BTUUQ,empty,0,,
BVSN,empty,0,,
BXLT,empty,0,,
CA,ok,599,2023-12-15,2026-05-08
CAM,ok,149,2025-10-06,2026-05-08
CBB,empty,0,,
CBE,ok,11457,1972-06-01,2018-01-30
CBH,empty,0,,
CBS,empty,0,,
CBSS,empty,0,,
CCB,ok,1962,2018-07-19,2026-05-08
CCE,ok,138,2019-02-27,2020-04-29
CCEP,ok,9939,1986-11-24,2026-05-08
CCTYQ,empty,0,,
CCU,ok,8464,1992-09-24,2026-05-08
CDAY,empty,0,,
CELG,empty,0,,
CEN,empty,0,,
CEPH,empty,0,,
CERN,empty,0,,
CFL,empty,0,,
CFN,empty,0,,
CGP,empty,0,,
CHA,ok,266,2025-04-17,2026-05-08
CHIR,ok,1318,2018-12-07,2024-03-05
CHK,empty,0,,
CHRS,ok,2892,2014-11-06,2026-05-08
CIN,ok,7451,1988-07-01,2018-01-30
CIT.A,empty,0,,
CITGQ,empty,0,,
CMA,empty,0,,
CMB,ok,507,2019-05-21,2021-11-30
CMCSK,empty,0,,
CMVT,ok,6561,1987-01-27,2013-02-04
CMX,ok,2834,2010-11-10,2022-03-02
CNG,ok,2572,2011-11-23,2022-03-02
CNW,empty,0,,
CNXT,ok,2966,2014-07-24,2026-05-08
COC.B,empty,0,,
COG,empty,0,,
COMS,ok,4460,2008-08-15,2026-05-08
COV,empty,0,,
CPGX,empty,0,,
CPNLQ,empty,0,,
CPQ,ok,2379,2004-10-14,2014-03-27
CPRI,ok,3619,2011-12-15,2026-05-08
CPWR,ok,4887,2006-12-04,2026-05-08
CRR,empty,0,,
CSE,ok,2685,2003-08-07,2014-04-07
CSR,ok,7183,1997-10-17,2026-05-08
CSRA,ok,598,2015-11-16,2018-04-03
CTB,empty,0,,
CTL,empty,0,,
CTLT,empty,0,,
CTX,empty,0,,
CTXS,empty,0,,
CVC,empty,0,,
CVG,ok,6834,1998-08-13,2026-05-08
CVH,empty,0,,
CXO,empty,0,,
CYM,empty,0,,
CYR,empty,0,,
DALRQ,empty,0,,
DAY,empty,0,,
DCNAQ,empty,0,,
DDR,ok,7201,1993-02-02,2021-09-30
DEC,ok,1302,2021-01-04,2026-05-08
DF,empty,0,,
DFS,empty,0,,
DGN,ok,396,2014-07-14,2017-03-13
DI,empty,0,,
DIGI,ok,4022,2010-05-13,2026-05-08
DISCA,empty,0,,
DISCK,empty,0,,
DISH,empty,0,,
DJ,empty,0,,
DNB,empty,0,,
DNR,empty,0,,
DO,empty,0,,
DPHIQ,empty,0,,
DRE,empty,0,,
DTV,empty,0,,
DWD,ok,451,2013-12-16,2017-03-20
DWDP,empty,0,,
DYN,ok,1417,2020-09-17,2026-05-08
EC,ok,4437,2008-09-18,2026-05-08
ECO,ok,687,2023-08-14,2026-05-08
EDS,empty,0,,
EFU,ok,4663,2007-10-25,2026-05-08
EKDKQ,empty,0,,
ENDP,empty,0,,
ENRNQ,empty,0,,
EOP,empty,0,,
EP,ok,6673,1999-10-27,2026-05-08
EQ,ok,1902,2018-10-12,2026-05-08
ERIE,ok,7701,1995-10-02,2026-05-08
ESRX,ok,6676,1992-06-09,2018-12-21
ESV,empty,0,,
ETFC,empty,0,,
ETS,ok,180,2025-08-21,2026-05-08
EVHC,ok,1299,2013-08-14,2018-10-10
FBF,empty,0,,
FBHS,empty,0,,
FBO,empty,0,,
FDC,empty,0,,
FDO,empty,0,,
FG,ok,867,2022-11-22,2026-05-08
FI,empty,0,,
FII,empty,0,,
FJ,empty,0,,
FL,empty,0,,
FLIR,empty,0,,
FLMIQ,empty,0,,
FLT,empty,0,,
FLTWQ,empty,0,,
FMY,ok,5271,2005-05-26,2026-05-08
FOSL,ok,8328,1993-04-08,2026-05-08
FPC,ok,1039,2016-05-04,2022-03-02
FRC,empty,0,,
FRX,empty,0,,
FSH,ok,1953,2007-11-27,2017-05-02
FSL,empty,0,,
FTL.A,empty,0,,
FTR,empty,0,,
FWLT,empty,0,,
GAPTQ,empty,0,,
GAS,empty,0,,
GDT,ok,75,2026-01-22,2026-05-08
GDW,ok,3047,2003-03-05,2016-06-28
GENZ,ok,4602,2008-01-24,2026-05-08
GEV,ok,531,2024-03-27,2026-05-08
GFS.A,empty,0,,
GGP,empty,0,,
GIDL,empty,0,,
GLD,ok,5401,2004-11-18,2026-05-08
GLK,ok,2786,2004-01-30,2017-03-13
GMCR,empty,0,,
GNT,ok,3843,2011-01-27,2026-05-08
GP,ok,1430,2020-08-28,2026-05-08
GPS,empty,0,,
GPU,empty,0,,
GR,ok,4198,2001-01-02,2018-02-22
GRA,empty,0,,
GRN,ok,1669,2019-09-18,2026-05-08
GSX,ok,108,2025-09-16,2026-02-19
GT,ok,16196,1962-01-02,2026-05-08
GTE,ok,5126,2005-12-21,2026-05-08
GTW,empty,0,,
GWF,empty,0,,
GX,empty,0,,
HAR,ok,2285,2013-01-17,2022-03-02
HBI,empty,0,,
HBOC,empty,0,,
HCBK,empty,0,,
HCP,empty,0,,
HCR,empty,0,,
HDLM,empty,0,,
HES,empty,0,,
HET,ok,529,2007-12-28,2020-01-24
HFC,empty,0,,
HFS,empty,0,,
HI,empty,0,,
HM,ok,1284,2012-12-21,2018-01-30
HMA,empty,0,,
HNZ,empty,0,,
HOT,ok,502,2015-01-02,2017-03-20
HPC,ok,840,2007-07-30,2017-03-20
HPH,empty,0,,
HRS,empty,0,,
HSH,empty,0,,
HSP,empty,0,,
I,empty,0,,
IGT,empty,0,,
IKN,empty,0,,
IMNX,empty,0,,
INCLF,empty,0,,
INFO,ok,395,2024-10-10,2026-05-08
IPG,empty,0,,
JAVA,ok,1153,2021-10-05,2026-05-08
JCP,empty,0,,
JEC,empty,0,,
JH,empty,0,,
JHF,empty,0,,
JNPR,empty,0,,
JNS,empty,0,,
JNY,empty,0,,
JOS,empty,0,,
JOY,empty,0,,
JP,empty,0,,
JWN,empty,0,,
K,empty,0,,
KATE,empty,0,,
KBH,ok,10019,1986-08-01,2026-05-08
KG,ok,4531,2008-05-06,2026-05-08
KM,ok,211,2014-07-14,2015-05-26
KMG,ok,5482,1997-01-28,2018-11-15
KORS,empty,0,,
KRB,empty,0,,
KRFT,empty,0,,
KRI,ok,3232,2006-08-02,2019-06-07
KSE,empty,0,,
KSS,ok,8553,1992-05-19,2026-05-08
KSU,empty,0,,
KVUE,ok,756,2023-05-04,2026-05-08
KWP,empty,0,,
LB,ok,467,2024-06-28,2026-05-08
LDG,ok,1639,2015-08-12,2022-03-02
LDW.B,empty,0,,
LEG,ok,11631,1980-03-17,2026-05-08
LEHMQ,empty,0,,
LIFE,ok,70,2026-01-29,2026-05-08
LLL,empty,0,,
LLTC,empty,0,,
LLX,empty,0,,
LM,empty,0,,
LO,empty,0,,
LOR,empty,0,,
LSI,empty,0,,
LUB,empty,0,,
LUMN,ok,11631,1980-03-17,2026-05-08
LVLT,empty,0,,
LXK,empty,0,,
MAY,ok,2609,2005-09-29,2018-03-14
MCIC,ok,7205,1997-09-17,2026-05-08
MD,ok,7709,1995-09-20,2026-05-08
MDP,empty,0,,
MDR,empty,0,,
MEA,empty,0,,
MEDI,ok,870,2022-11-17,2026-05-08
MEE,ok,2217,2007-08-03,2017-08-10
MEL,empty,0,,
MERQ,empty,0,,
MFE,empty,0,,
MHS,ok,1491,2020-02-12,2026-05-08
MI,ok,2627,2015-11-25,2026-05-08
MII,ok,1345,2009-11-16,2016-08-25
MIL,empty,0,,
MIR,ok,1436,2020-08-20,2026-05-08
MJN,empty,0,,
MKG,empty,0,,
MMC,empty,0,,
MNK,empty,0,,
MNR,ok,636,2023-10-25,2026-05-08
MOB,ok,929,2022-08-25,2026-05-08
MOLX,ok,10317,1973-01-02,2013-12-09
MON,empty,0,,
MRO,empty,0,,
MST,ok,256,2025-05-02,2026-05-08
MTL,empty,0,,
MTLQQ,empty,0,,
MUR,ok,11631,1980-03-17,2026-05-08
MWI,ok,363,2014-07-21,2017-03-20
MWV,empty,0,,
MWW,empty,0,,
MXIM,empty,0,,
MYG,empty,0,,
MYL,empty,0,,
MZIAQ,empty,0,,
NAE,empty,0,,
NAV,empty,0,,
NBL,empty,0,,
NC,ok,12324,1977-06-17,2026-05-08
NCC,ok,2342,2012-05-03,2022-03-02
NCE,ok,1705,2009-01-05,2017-05-02
NCR,empty,0,,
NE,ok,1235,2021-06-09,2026-05-08
NFB,empty,0,,
NFX,ok,6345,1993-11-12,2019-02-13
NGH,ok,2517,2004-12-15,2016-08-26
NKTR,ok,8059,1994-05-03,2026-05-08
NLC,empty,0,,
NLOK,empty,0,,
NLSN,empty,0,,
NLV,ok,615,2007-03-14,2017-03-13
NMK,ok,5577,1980-01-02,2002-01-31
NOVL,empty,0,,
NRTLQ,empty,0,,
NSI,ok,606,2023-12-07,2026-05-08
NSM,ok,1610,2012-03-08,2018-07-31
NVLS,empty,0,,
NXPI,ok,3963,2010-08-06,2026-05-08
NXTL,empty,0,,
NYN,empty,0,,
NYX,empty,0,,
OAT,empty,0,,
ODP,empty,0,,
OK,ok,1704,2009-02-09,2018-01-30
OM,ok,1419,2020-09-15,2026-05-08
OMX,empty,0,,
ONE,empty,0,,
ORX,ok,1263,2012-12-20,2018-06-01
OWENQ,empty,0,,
PAC,ok,5082,2006-02-27,2026-05-08
PARA,empty,0,,
PAS,ok,1343,2012-05-07,2018-01-30
PBCT,empty,0,,
PBG,ok,3340,2004-08-03,2020-01-24
PBI,ok,13597,1972-06-01,2026-05-08
PBY,ok,753,2018-06-18,2021-06-14
PCH,empty,0,,
PCL,ok,192,2025-08-05,2026-05-08
PCP,empty,0,,
PDCO,empty,0,,
PDG,ok,169,2014-07-29,2016-07-26
PEAK,empty,0,,
PEL,empty,0,,
PET,empty,0,,
PETM,empty,0,,
PGL,empty,0,,
PGN,empty,0,,
PHA,empty,0,,
PHB,ok,4616,2008-01-02,2026-05-08
PKI,empty,0,,
PLL,empty,0,,
PMCS,empty,0,,
PMI,ok,174,2025-08-29,2026-05-08
PNU,empty,0,,
POM,ok,147,2025-10-08,2026-05-08
PPW,ok,188,2017-05-02,2018-01-30
PRD,empty,0,,
PSFT,empty,0,,
PSKY,ok,5138,2005-12-05,2026-05-08
PTV,ok,1602,2010-12-31,2017-05-31
PVN,too_short,1,2018-10-19,2018-10-19
PVT,empty,0,,
PWER,ok,612,2023-11-29,2026-05-08
PWJ,ok,4616,2008-01-02,2026-05-08
PX,empty,0,,
PXD,empty,0,,
PZE,ok,2174,2009-09-30,2018-05-18
QEP,empty,0,,
QLGC,empty,0,,
QTRN,empty,0,,
RAD,empty,0,,
RAI,empty,0,,
RAL,ok,220,2025-06-25,2026-05-08
RATL,empty,0,,
RBD,empty,0,,
RBK,empty,0,,
RDC,empty,0,,
RDS.A,empty,0,,
RE,empty,0,,
RHT,empty,0,,
RIG,ok,8293,1993-05-28,2026-05-08
RLM,empty,0,,
RML,empty,0,,
RNB,empty,0,,
ROH,empty,0,,
RRD,empty,0,,
RSHCQ,empty,0,,
RTN,empty,0,,
RX,ok,62,2006-02-03,2018-02-22
RYC,ok,1210,2007-07-13,2017-03-20
RYI,empty,0,,
SAF,ok,756,2018-08-29,2021-08-30
SAI,empty,0,,
SAPE,empty,0,,
SB,ok,4514,2008-05-30,2026-05-08
SBL,empty,0,,
SDS,ok,4987,2006-07-13,2026-05-08
SEBL,empty,0,,
SEG,ok,446,2024-07-30,2026-05-08
SFA,empty,0,,
SFS,empty,0,,
SGID,empty,0,,
SGP,ok,64,2026-02-06,2026-05-08
SHN,empty,0,,
SIAL,empty,0,,
SIG,ok,9526,1988-07-14,2026-05-08
SII,ok,4079,2010-02-22,2026-05-08
SIVB,empty,0,,
SK,empty,0,,
SLR,empty,0,,
SMI,ok,954,2021-09-08,2025-06-26
SMS,empty,0,,
SNDK,ok,310,2025-02-13,2026-05-08
SNI,empty,0,,
SNT,ok,8340,1993-03-23,2026-05-08
SNV,empty,0,,
SOLS,ok,139,2025-10-20,2026-05-08
SOLV,ok,532,2024-03-26,2026-05-08
SOTR,empty,0,,
SOV,empty,0,,
SPLS,ok,78,2026-01-16,2026-05-08
SRCL,empty,0,,
SRR,ok,2420,2006-12-22,2018-01-24
STJ,empty,0,,
STO,empty,0,,
STR,empty,0,,
STX,ok,5889,2002-12-11,2026-05-08
SUB,ok,4393,2008-11-19,2026-05-08
SUN,ok,3427,2012-09-20,2026-05-08
SUNEQ,empty,0,,
SVU,ok,11602,1972-06-06,2018-10-22
SWN,empty,0,,
SWY,empty,0,,
SXCL,empty,0,,
SYMC,empty,0,,
TA,empty,0,,
TCOMA,empty,0,,
TDM,ok,832,2018-10-24,2022-03-02
TE,ok,1590,2020-01-10,2026-05-08
TEG,ok,1551,2015-12-22,2022-03-02
TEK,ok,387,2024-10-22,2026-05-08
TEL,ok,4756,2007-06-14,2026-05-08
TEN,ok,6085,2002-03-05,2026-05-08
TEX,ok,11629,1980-03-19,2026-05-08
THY,ok,1475,2020-06-25,2026-05-08
TIE,ok,5756,1996-06-05,2019-07-12
TIF,empty,0,,
TIN,empty,0,,
TMC,ok,1170,2021-09-10,2026-05-08
TMC.A,empty,0,,
TMK,empty,0,,
TNB,ok,3543,2007-05-02,2022-03-02
TOS,ok,70,2026-01-29,2026-05-08
TOY,empty,0,,
TRB,empty,0,,
TRW,empty,0,,
TSG,empty,0,,
TSS,empty,0,,
TUP,empty,0,,
TWC,empty,0,,
TWTR,empty,0,,
TXU,empty,0,,
UAWGQ,empty,0,,
UCC,ok,4847,2007-02-02,2026-05-08
UCL,ok,1486,2020-06-10,2026-05-08
UCM,ok,2715,2007-11-19,2019-12-09
UK,ok,1633,2019-11-07,2026-05-08
UMG,empty,0,,
UN,empty,0,,
UPC,ok,1289,2021-03-23,2026-05-08
UPR,empty,0,,
USBC,ok,5046,2006-04-18,2026-05-08
USH,empty,0,,
USHC,empty,0,,
USS,empty,0,,
UST,ok,4092,2010-02-02,2026-05-08
USW,empty,0,,
UTX,empty,0,,
UVN,ok,4326,1999-09-27,2018-01-30
VAR,empty,0,,
VAT,ok,1595,2009-12-21,2018-01-31
VIAB,empty,0,,
VIAC,empty,0,,
VLTO,ok,651,2023-10-04,2026-05-08
VO,ok,5604,2004-01-30,2026-05-08
VRTS,ok,4364,2009-01-02,2026-05-08
VSTNQ,empty,0,,
VTSS,empty,0,,
WAI,ok,768,2023-04-18,2026-05-08
WAMUQ,empty,0,,
WBA,empty,0,,
WCG,empty,0,,
WCOEQ,empty,0,,
WFM,empty,0,,
WFT,empty,0,,
WIN,empty,0,,
WLA,empty,0,,
WLL,empty,0,,
WLP,empty,0,,
WLTW,empty,0,,
WMX,ok,2551,2006-12-14,2017-02-03
WNDXQ,empty,0,,
WPX,empty,0,,
WRK,empty,0,,
WWY,empty,0,,
WYE,empty,0,,
WYND,empty,0,,
X,empty,0,,
XEC,empty,0,,
XL,empty,0,,
XLNX,empty,0,,
XRX,ok,16196,1962-01-02,2026-05-08
XTO,empty,0,,
YNR,empty,0,,
YRCW,empty,0,,
