ticker,country_iso,country
MC.PA,FR,France
ML.PA,FR,France
OR.PA,FR,France
ORA.PA,FR,France
PUB.PA,FR,France
RI.PA,FR,France
RMS.PA,FR,France
RNO.PA,FR,France
SAF.PA,FR,France
SAN.PA,FR,France
SGO.PA,FR,France
STLAP.PA,FR,France
STMPA.PA,FR,France
SU.PA,FR,France
SW.PA,FR,France
TEP.PA,FR,France
TTE.PA,FR,France
URW.AS,FR,France
VIE.PA,FR,France
VIV.PA,FR,France
WLN.PA,FR,France
0001.HK,HK,HongKong
0002.HK,HK,HongKong
0003.HK,HK,HongKong
0005.HK,HK,HongKong
0006.HK,HK,HongKong
0011.HK,HK,HongKong
0012.HK,HK,HongKong
0016.HK,HK,HongKong
0017.HK,HK,HongKong
0027.HK,HK,HongKong
0066.HK,HK,HongKong
0083.HK,HK,HongKong
0101.HK,HK,HongKong
0144.HK,HK,HongKong
0175.HK,HK,HongKong
0241.HK,HK,HongKong
0267.HK,HK,HongKong
0288.HK,HK,HongKong
0291.HK,HK,HongKong
0386.HK,HK,HongKong
0388.HK,HK,HongKong
0688.HK,HK,HongKong
0700.HK,HK,HongKong
0762.HK,HK,HongKong
0788.HK,HK,HongKong
0823.HK,HK,HongKong
0857.HK,HK,HongKong
0883.HK,HK,HongKong
0939.HK,HK,HongKong
0941.HK,HK,HongKong
0992.HK,HK,HongKong
1024.HK,HK,HongKong
1038.HK,HK,HongKong
1093.HK,HK,HongKong
1109.HK,HK,HongKong
1113.HK,HK,HongKong
1177.HK,HK,HongKong
1211.HK,HK,HongKong
1299.HK,HK,HongKong
1398.HK,HK,HongKong
1810.HK,HK,HongKong
1876.HK,HK,HongKong
1929.HK,HK,HongKong
1997.HK,HK,HongKong
2007.HK,HK,HongKong
2018.HK,HK,HongKong
2020.HK,HK,HongKong
2269.HK,HK,HongKong
2313.HK,HK,HongKong
2318.HK,HK,HongKong
2319.HK,HK,HongKong
2331.HK,HK,HongKong
2382.HK,HK,HongKong
2388.HK,HK,HongKong
2628.HK,HK,HongKong
2688.HK,HK,HongKong
2899.HK,HK,HongKong
3690.HK,HK,HongKong
3968.HK,HK,HongKong
3988.HK,HK,HongKong
9618.HK,HK,HongKong
9633.HK,HK,HongKong
9888.HK,HK,HongKong
9988.HK,HK,HongKong
9999.HK,HK,HongKong
ABBN.SW,CH,Switzerland
ALC.SW,CH,Switzerland
CSGN.SW,CH,Switzerland
GEBN.SW,CH,Switzerland
GIVN.SW,CH,Switzerland
HOLN.SW,CH,Switzerland
KNIN.SW,CH,Switzerland
LOGN.SW,CH,Switzerland
LONN.SW,CH,Switzerland
NESN.SW,CH,Switzerland
NOVN.SW,CH,Switzerland
PGHN.SW,CH,Switzerland
RIGN.SW,CH,Switzerland
ROG.SW,CH,Switzerland
SCMN.SW,CH,Switzerland
SGSN.SW,CH,Switzerland
SIKA.SW,CH,Switzerland
SLHN.SW,CH,Switzerland
SOON.SW,CH,Switzerland
SREN.SW,CH,Switzerland
UBSG.SW,CH,Switzerland
UHR.SW,CH,Switzerland
ZURN.SW,CH,Switzerland
BHP.AX,AU,Australia
RIO.AX,AU,Australia
CBA.AX,AU,Australia
WBC.AX,AU,Australia
NAB.AX,AU,Australia
ANZ.AX,AU,Australia
MQG.AX,AU,Australia
WES.AX,AU,Australia
WOW.AX,AU,Australia
TLS.AX,AU,Australia
CSL.AX,AU,Australia
FMG.AX,AU,Australia
WDS.AX,AU,Australia
STO.AX,AU,Australia
QAN.AX,AU,Australia
SUN.AX,AU,Australia
QBE.AX,AU,Australia
ALL.AX,AU,Australia
GMG.AX,AU,Australia
WPL.AX,AU,Australia
S32.AX,AU,Australia
NCM.AX,AU,Australia
AMC.AX,AU,Australia
ORG.AX,AU,Australia
TCL.AX,AU,Australia
SCG.AX,AU,Australia
REA.AX,AU,Australia
XRO.AX,AU,Australia
WTC.AX,AU,Australia
JBH.AX,AU,Australia
RY.TO,CA,Canada
TD.TO,CA,Canada
BNS.TO,CA,Canada
BMO.TO,CA,Canada
CM.TO,CA,Canada
MFC.TO,CA,Canada
SLF.TO,CA,Canada
ENB.TO,CA,Canada
TRP.TO,CA,Canada
SU.TO,CA,Canada
CNQ.TO,CA,Canada
CVE.TO,CA,Canada
IMO.TO,CA,Canada
BCE.TO,CA,Canada
T.TO,CA,Canada
RCI-B.TO,CA,Canada
CNR.TO,CA,Canada
CP.TO,CA,Canada
L.TO,CA,Canada
ATD.TO,CA,Canada
MG.TO,CA,Canada
DOL.TO,CA,Canada
GIB-A.TO,CA,Canada
CSU.TO,CA,Canada
OTEX.TO,CA,Canada
SHOP.TO,CA,Canada
NTR.TO,CA,Canada
POU.TO,CA,Canada
BAM.TO,CA,Canada
BN.TO,CA,Canada
BIP-UN.TO,CA,Canada
FTS.TO,CA,Canada
EMA.TO,CA,Canada
H.TO,CA,Canada
WCN.TO,CA,Canada
ABX.TO,CA,Canada
AEM.TO,CA,Canada
GIL.TO,CA,Canada
MFI.TO,CA,Canada
WN.TO,CA,Canada
QSR.TO,CA,Canada
IFC.TO,CA,Canada
MRU.TO,CA,Canada
DOO.TO,CA,Canada
NA.TO,CA,Canada
005930.KS,KR,Korea
000660.KS,KR,Korea
035720.KS,KR,Korea
035420.KS,KR,Korea
207940.KS,KR,Korea
005380.KS,KR,Korea
051910.KS,KR,Korea
005490.KS,KR,Korea
006400.KS,KR,Korea
068270.KS,KR,Korea
012330.KS,KR,Korea
028260.KS,KR,Korea
066570.KS,KR,Korea
096770.KS,KR,Korea
017670.KS,KR,Korea
030200.KS,KR,Korea
086790.KS,KR,Korea
055550.KS,KR,Korea
105560.KS,KR,Korea
316140.KS,KR,Korea
003550.KS,KR,Korea
003670.KS,KR,Korea
010130.KS,KR,Korea
010950.KS,KR,Korea
032830.KS,KR,Korea
036570.KS,KR,Korea
041510.KS,KR,Korea
047810.KS,KR,Korea
086280.KS,KR,Korea
090430.KS,KR,Korea
ASML.AS,NL,Netherlands
ABN.AS,NL,Netherlands
ADYEN.AS,NL,Netherlands
AD.AS,NL,Netherlands
AGN.AS,NL,Netherlands
AKZA.AS,NL,Netherlands
ASRNL.AS,NL,Netherlands
DSFIR.AS,NL,Netherlands
EXO.AS,NL,Netherlands
GLPG.AS,NL,Netherlands
HEIA.AS,NL,Netherlands
IMCD.AS,NL,Netherlands
INGA.AS,NL,Netherlands
KPN.AS,NL,Netherlands
MT.AS,NL,Netherlands
NN.AS,NL,Netherlands
PHIA.AS,NL,Netherlands
PRX.AS,NL,Netherlands
RAND.AS,NL,Netherlands
REN.AS,NL,Netherlands
RDSA.AS,NL,Netherlands
UNA.AS,NL,Netherlands
WKL.AS,NL,Netherlands
