date,ret_m,regime
2010-06-30,0.1217906080109088,normal
2010-07-30,0.01924349361749378,normal
2010-08-31,0.09548357606872926,normal
2010-09-30,0.017391242622032954,normal
2010-10-29,0.029432772642930982,normal
2010-11-30,0.04403240253928631,bull
2010-12-31,0.049073177262104695,normal
2011-01-31,-0.011848049436804176,bull
2011-02-28,0.04641509402847144,bull
2011-03-31,0.08538642508923511,bull
2011-04-29,-0.0025945287731912736,bull
2011-05-31,-0.029624173037935762,bull
2011-06-30,0.0012681482990138963,bull
2011-07-29,-0.044613185028581845,bull
2011-08-31,-0.06367731161703556,normal
2011-09-30,0.0,crash
2011-10-31,0.027343848578607943,normal
2011-11-30,0.03181421444784305,normal
2011-12-30,0.024338013135002057,recovery
2012-01-31,0.019652297219762582,recovery
2012-02-29,0.051568612851521145,recovery
2012-03-30,-0.04237756071119775,recovery
2012-04-30,0.05905628594460066,normal
2012-05-31,0.017199083840149242,bull
2012-06-29,-0.0020456543981939995,recovery
2012-07-31,0.0774021261966261,recovery
2012-08-31,0.09304812697870468,bull
2012-09-28,0.18556845214535622,bull
2012-10-31,0.016756507326375875,bull
2012-11-30,-0.015049794434007002,bull
2012-12-31,0.030886596691784285,bull
2013-01-31,0.00212359146652219,bull
2013-02-28,0.05581335556137501,bull
2013-03-28,0.03024236190893248,bull
2013-04-30,-0.008695722765529268,bull
2013-05-31,-0.007297867176490108,bull
2013-06-28,-0.003016098312822839,bull
2013-07-31,-0.02678580653941348,bull
2013-08-30,0.04696655419454726,bull
2013-09-30,-0.03274498298999905,bull
2013-10-31,0.059254995987940005,bull
2013-11-29,-0.018969289808679943,bull
2013-12-31,-0.0482355573263582,bull
2014-01-31,0.055337488784648614,bull
2014-02-28,0.009140962896569422,bull
2014-03-31,-0.022922299399512194,bull
2014-04-30,0.032878596131184754,bull
2014-05-30,0.011517387520632992,bull
2014-06-30,0.03829690334878699,bull
2014-07-31,0.023825834265994716,bull
2014-08-29,-0.02376007775078459,bull
2014-09-30,0.08076784301572959,bull
2014-10-31,0.052719889179612234,normal
2014-11-30,0.024498293914792413,bull
2014-12-31,-0.02724332784305389,bull
2015-01-31,0.06218107811879713,bull
2015-02-28,0.053111717951314884,bull
2015-03-31,-0.018005039485025746,normal
2015-04-30,0.025969437083673483,normal
2015-05-29,0.017315948544107004,normal
2015-06-30,0.03726473209123784,normal
2015-07-31,-0.06693058192815829,bull
2015-08-31,0.02881775888792775,normal
2015-09-30,0.04817311706389323,normal
2015-10-30,-0.029364471666026293,recovery
2015-11-30,0.013048015201702734,normal
2015-12-31,-0.004377174097035308,normal
2016-01-29,-0.0023912812237193437,normal
2016-02-29,0.056173504477796454,normal
2016-03-31,-0.018278476084505557,recovery
2016-04-29,0.06136196732833521,normal
2016-05-31,0.013811737904250276,recovery
2016-06-30,-0.03152060642420301,normal
2016-07-29,-0.005466399811852984,recovery
2016-08-31,0.012249820205005646,recovery
2016-09-30,-0.03116380856455575,bull
2016-10-31,0.05232550914773815,normal
2016-11-30,0.042606724758666184,recovery
2016-12-30,-0.007158702084775976,bull
2017-01-31,0.024365836014356143,bull
2017-02-28,0.0024113789497309094,bull
2017-03-31,0.0150021481658165,bull
2017-04-28,0.0071567542716927685,bull
2017-05-31,0.049570509732270056,bull
2017-06-30,0.006625396231817383,bull
2017-07-31,0.03223184903624296,bull
2017-08-31,0.03879438832062711,bull
2017-09-29,0.07506328131839625,bull
2017-10-31,0.10855922108423834,bull
2017-11-30,0.02728126148804917,bull
2017-12-29,0.058705164082998404,bull
2018-01-31,-0.027713437735080938,bull
2018-02-28,-0.019408329216389755,bull
2018-03-29,0.07812265100213253,bull
2018-04-30,0.03661775455207543,normal
2018-05-31,0.020819567689279537,normal
2018-06-29,0.0953510284862695,bull
2018-07-31,0.04841539508841263,bull
2018-08-31,0.015767430028759355,bull
2018-09-28,-0.05869898322393602,bull
2018-10-31,0.025530946810123467,normal
2018-11-30,-0.10152582018546369,normal
2018-12-31,0.0,crash
2019-01-31,0.06753439447186893,normal
2019-02-28,-0.021869221422278595,recovery
2019-03-29,-0.007937650235314564,recovery
2019-04-30,-0.06962446327329364,recovery
2019-05-31,0.09419592894914752,normal
2019-06-28,0.012991469557165514,recovery
2019-07-31,-0.0024414128489087528,normal
2019-08-30,0.010890095218015261,normal
2019-09-30,0.05929064792713473,recovery
2019-10-31,0.1118481329846358,recovery
2019-11-29,0.057402740861541846,bull
2019-12-31,-0.07335485826196148,bull
2020-01-31,-0.005520003910300608,bull
2020-02-28,0.058735176384976884,normal
2020-03-31,0.0,crash
2020-04-30,0.032993524459096785,normal
2020-05-29,-0.03167079662433732,recovery
2020-06-30,0.05574834034436986,recovery
2020-07-31,0.056801734426015146,recovery
2020-08-31,0.004883852835254403,recovery
2020-09-30,-0.014218837864773222,bull
2020-10-30,0.10167303421600016,bull
2020-11-30,-0.007645625995197348,recovery
2020-12-31,-0.036068683649216664,recovery
2021-01-29,-0.042724774141393015,bull
2021-02-26,0.07396937788961855,recovery
2021-03-31,-0.008331959143317136,bull
2021-04-30,0.09573889205826602,bull
2021-05-31,-0.019226070509478,bull
2021-06-30,-0.05363805950574391,bull
2021-07-30,-0.03603844246785337,bull
2021-08-31,-0.019529122373921903,bull
2021-09-30,0.1290716504248124,bull
2021-10-29,-0.008601597213953649,bull
2021-11-30,0.14586781928113646,bull
2021-12-31,-0.04199910215605063,bull
2022-01-31,-0.0068292407082409246,bull
2022-02-28,0.06953729714031975,normal
2022-03-31,-0.02885939054943859,normal
2022-04-29,0.0,crash
2022-05-31,-0.011727168585594527,normal
2022-06-30,0.0,crash
2022-07-29,0.03459215783839187,normal
2022-08-31,-0.11980081501497947,normal
2022-09-30,0.0,crash
2022-10-31,0.02406859685051499,normal
2022-11-30,-0.06935647790329663,recovery
2022-12-30,0.011839713107222816,normal
2023-01-31,-0.05246487471481881,recovery
2023-02-28,-0.037819934392275045,normal
2023-03-31,0.05279343725752306,recovery
2023-04-28,-0.07867128166293064,recovery
2023-05-31,0.04261379501121587,recovery
2023-06-30,0.035639924695584524,recovery
2023-07-31,-0.09302451951482027,recovery
2023-08-31,0.034862099969446336,recovery
2023-09-29,-0.02423622240125911,bull
2023-10-31,0.039189570458127654,normal
2023-11-30,0.030043847499528598,bull
2023-12-29,-0.005900370233511698,bull
2024-01-31,-0.035163308289974604,bull
2024-02-29,0.014222626778482739,bull
2024-03-28,-0.06828482334657471,bull
2024-04-30,0.0981792890131778,bull
2024-05-31,-0.023247763807985766,bull
2024-06-28,0.08536728113468062,bull
2024-07-31,0.09360586564049633,bull
2024-08-30,0.013874758665902431,bull
2024-09-30,-0.11968364130789183,bull
2024-10-31,0.013804013071655019,bull
2024-11-29,-0.05273609611564034,bull
2024-12-31,0.017789658204177383,bull
2025-01-31,0.012195623888423213,bull
2025-02-28,0.05731396850903492,bull
2025-03-31,-0.08088576519804042,normal
2025-04-30,-0.005849868614587028,normal
2025-05-30,0.012065026147724311,normal
2025-06-30,-0.03516855553629916,normal
2025-07-31,0.1208393523064033,bull
2025-08-29,0.026661786384129638,bull
2025-09-30,0.072372625014538,bull
2025-10-31,0.04904184037799908,bull
2025-11-28,0.028810166141336913,bull
2025-12-31,0.09947803826859303,bull
2026-01-30,-0.06210263678652428,bull
2026-02-27,-0.08437937257792383,bull
2026-03-31,0.0,normal
2026-04-30,0.0,bull
