config,full_cagr,full_vol,full_sharpe,full_mdd,wf_mean_sharpe,wf_min_sharpe,wf_max_sharpe,wf_mean_cagr,wf_n_splits,target_vol
static w=0.4 A + 0.6 XLU,0.23912208188270268,0.23240353085906837,1.0394440203090256,-0.45668952912154903,1.1569794314058408,0.6993356173539872,1.9833245754215034,0.2057219860501732,10,
static w=0.4 A + 0.6 TREND,0.23275522823264594,0.23660214987342848,1.0012075673392342,-0.41797404964943075,1.1640979221970968,0.6593724945712941,1.8502056302041958,0.21475834243686523,10,
static w=0.4 A + 0.6 6040,0.22629024213892523,0.23403936505498826,0.9871352426081417,-0.4160431184666263,1.1490379256005974,0.4505097174634853,2.0613500396554287,0.20332774062908127,10,
static w=0.5 A + 0.5 SPY,0.2743048180209271,0.2906317825180265,0.9750845937392247,-0.5269948098349715,1.167951505505577,0.6348341856509637,2.0140243783025578,0.2538745202966327,10,
static w=0.5 A + 0.5 TLT,0.24224869013853234,0.2877971986998501,0.8924452322828934,-0.46064104004346607,0.9211234857995638,0.18880774918814686,1.8826661811602328,0.21446681392362588,10,
static w=0.5 A + 0.5 XLP,0.25655762616731215,0.28583129224789494,0.9370646835301036,-0.4806347284869482,1.0786600699349251,0.5223223327347567,2.033737359687981,0.23464672439674478,10,
static w=0.5 A + 0.5 XLU,0.27416554738938625,0.2828097720363223,0.9955688581757978,-0.5120869974589788,1.1356253530836136,0.6587101293789456,2.0628274815873473,0.24121955668398232,10,
static w=0.5 A + 0.5 TREND,0.26838975893846384,0.28702866950816325,0.9673404321577722,-0.48592432099047655,1.134107674463952,0.6344667753989874,1.9099572144887877,0.24889157816340016,10,
static w=0.5 A + 0.5 6040,0.2625653620267141,0.28608208359351067,0.953473338357589,-0.4826412455834629,1.1067384906809814,0.46570595493371353,2.0433419085297495,0.2389141575969731,10,
static w=0.6 A + 0.4 SPY,0.30637011749799914,0.34166963144256285,0.9453866860981635,-0.5820806675420104,1.121419336150673,0.5912804430555629,2.009287352839152,0.28502925067249685,10,
static w=0.6 A + 0.4 TLT,0.2799538800895178,0.33971992035084997,0.8882966053507028,-0.5299094293324627,0.9483571501305557,0.28153859119185887,1.9319348237539617,0.2535754515819291,10,
static w=0.6 A + 0.4 XLP,0.2917474540524647,0.3384937064703748,0.9175100846379513,-0.5503696253175995,1.055843770310515,0.5118282722111307,2.029751400683279,0.26950906385236617,10,
static w=0.6 A + 0.4 XLU,0.30651478387410847,0.3353763963231758,0.9587518582980719,-0.5715332677204876,1.1002270203553446,0.6107415681844951,2.0724729698106823,0.27511209760966376,10,
static w=0.6 A + 0.4 TREND,0.3015212242187091,0.3391328457031247,0.9389270769252765,-0.5479397148610317,1.0957649924842119,0.5898916723591372,1.9334986380734427,0.2813027030569759,10,
static w=0.6 A + 0.4 6040,0.2965115280078805,0.33903862800770707,0.9276664875066627,-0.5514503019371653,1.0692674951584673,0.47197134783339284,2.016949984686682,0.27297596197775004,10,
static w=0.7 A + 0.3 SPY,0.33555319031746333,0.39395331774089154,0.920487913935885,-0.639847177200057,1.076297236102446,0.5533328248028643,1.99138109198039,0.31401951747822865,10,
static w=0.7 A + 0.3 TLT,0.3151821863244546,0.39267061344944965,0.8829305130467088,-0.5923893096605543,0.9619713478789764,0.34960958638724676,1.948834715297038,0.2904538381856934,10,
static w=0.7 A + 0.3 XLP,0.3242831867163196,0.3919430802972435,0.9014073392107935,-0.6199955654209021,1.0313965363314446,0.5002981729495594,2.0080143613108157,0.30227304580889136,10,
static w=0.7 A + 0.3 XLU,0.3358516604415924,0.3892290858995662,0.9288331670938843,-0.6330478726679828,1.0627443643262369,0.5663848173324032,2.0479700895521065,0.3067616369365476,10,
static w=0.7 A + 0.3 TREND,0.3318298796575163,0.3922466915984725,0.9157185860340169,-0.6043878497986266,1.0583366153997433,0.5516254655150209,1.9402181684524284,0.31138397227991976,10,
static w=0.7 A + 0.3 6040,0.32781087308226775,0.39253932615697745,0.9075725241228634,-0.6204951200612724,1.0376035656095246,0.473851763487181,1.9907240302954685,0.30489770309407943,10,
riskparity A/TLT,0.11784440041622579,0.1459784310990303,0.8379338607835553,-0.3433731731218118,0.7005069677959272,-0.2628083243091206,1.5844447584990116,0.08659250894582773,10,
riskparity A/XLP,0.12461538821998719,0.13848575692140674,0.9191619831386931,-0.2990582126030474,0.9389435697254802,0.20315153385054546,1.7681722380372302,0.11105365414442656,10,
riskparity A/TREND,0.1460803581039647,0.14646349793078217,1.007124179187506,-0.2886066686973617,1.0398494782261438,0.5505569006577128,1.5183491855367006,0.13357373817138532,10,
riskparity A/6040,0.12900983156920942,0.12535063103165134,1.0336064593658496,-0.3149933501618974,1.1597237089134405,0.33811259455918036,1.9382475429234685,0.1103605691092501,10,
voltgt 6% on A_only,0.07647585694320602,0.15304249267085399,0.5518464465416373,-0.2499999928667485,0.7938660115392654,0.16304643617965436,1.8323020757302655,0.054060772912380074,10,0.06
voltgt 6% on (0.5A+0.5TLT),0.06785474024880944,0.10295730390021747,0.6896273933972691,-0.18489645274216415,0.7490119928189243,-0.0703964343121493,1.7834370387659788,0.05058486006500111,10,0.06
voltgt 6% on (0.5A+0.5TREND),0.08233834056037992,0.09649748662750857,0.8689817014968629,-0.18566779413965054,0.9655672480735602,0.18984234728571442,1.80717456558964,0.06437769029851755,10,0.06
voltgt 6% on (0.5A+0.56040),0.08184856991249378,0.10060032249809099,0.8329309478291219,-0.1943239701558153,0.9256753719457234,0.09414374948710802,1.9085838306925056,0.0642002637225556,10,0.06
voltgt 8% on A_only,0.09470498256909399,0.16665034156093686,0.6212688502618523,-0.2499999928667485,0.7938660115392657,0.16304643617965425,1.8323020757302653,0.07177401176224993,10,0.08
voltgt 8% on (0.5A+0.5TLT),0.08755119223154728,0.1205954197487034,0.7573802873335582,-0.2398923023649373,0.7453107723879888,-0.07039643431214912,1.7834370387659793,0.06651697548395757,10,0.08
voltgt 8% on (0.5A+0.5TREND),0.1039486875623119,0.11509803994873309,0.9184515821385238,-0.2411266698982243,0.9655992834858905,0.18984234728571442,1.8175618317378217,0.08462787800342149,10,0.08
voltgt 8% on (0.5A+0.56040),0.10446711983134938,0.11939404979665065,0.8933973383470626,-0.2517395349959714,0.9225730012190925,0.09414374948710784,1.9085838306925056,0.08493238191059668,10,0.08
voltgt 10% on A_only,0.11252263632390602,0.18273051230273799,0.6710065817644724,-0.25973762941919515,0.7938660115392655,0.1630464361796544,1.8323020757302655,0.08931015347706514,10,0.1
voltgt 10% on (0.5A+0.5TLT),0.107158946408763,0.13785728724900026,0.8089395604972384,-0.29120667837100395,0.7436420099639263,-0.06851392720522885,1.7834370387659788,0.08159356228882629,10,0.1
voltgt 10% on (0.5A+0.5TREND),0.12482160375727136,0.13293713736152898,0.9536681043970497,-0.29203172056234333,0.9660902393386666,0.20919699352792281,1.8255529831865638,0.10273867096602615,10,0.1
voltgt 10% on (0.5A+0.56040),0.12533391191571663,0.13690159543054853,0.9330296727032634,-0.3039172917708707,0.9145254115676904,0.10020427453959056,1.922690468693776,0.10171620065966273,10,0.1
voltgt 12% on A_only,0.12966546266519852,0.20053629320366184,0.7053893452189682,-0.3079665674835696,0.7928316599592276,0.16304643617965436,1.8323020757302655,0.10634016688190864,10,0.12
voltgt 12% on (0.5A+0.5TLT),0.1250444922738725,0.15331821822820382,0.8470182902393324,-0.3349391954145361,0.7474366063036044,-0.06498281470089255,1.7857330342780187,0.09502982822999649,10,0.12
voltgt 12% on (0.5A+0.5TREND),0.14292942404022435,0.14860281746938628,0.9761635238567579,-0.32777819242571077,0.9681204400638365,0.24978031569186065,1.8361055062043328,0.1179321982851665,10,0.12
voltgt 12% on (0.5A+0.56040),0.1433200087495452,0.15147046844948012,0.9625501752956543,-0.3450137620844246,0.9206476024956783,0.1221999761618789,1.9438951767406292,0.11586146380478164,10,0.12
STACK 0.5A+0.5TREND -> vt8,0.1039486875623119,0.11509803994873309,0.9184515821385238,-0.2411266698982243,0.9655992834858905,0.18984234728571442,1.8175618317378217,0.08462787800342149,10,0.08
STACK 0.6A+0.4TLT -> vt8,0.08896197111263038,0.1297839741527524,0.7219351275848487,-0.23186193095184843,0.7669531873655739,0.0023337094011786938,1.8237719402202544,0.06909183939612354,10,0.08
STACK 0.5A+0.5_6040 -> vt8,0.10446711983134938,0.11939404979665065,0.8933973383470626,-0.2517395349959714,0.9225730012190925,0.09414374948710784,1.9085838306925056,0.08493238191059668,10,0.08
STACK 0.5A+0.5TREND -> vt10,0.12482160375727136,0.13293713736152898,0.9536681043970497,-0.29203172056234333,0.9660902393386666,0.20919699352792281,1.8255529831865638,0.10273867096602615,10,0.1
STACK 0.6A+0.4TLT -> vt10,0.10867875264053795,0.14757885911427157,0.7738679518284679,-0.28241551765312045,0.7606538720846705,0.0023337094011786487,1.823771940220254,0.08464804794919807,10,0.1
STACK 0.5A+0.5_6040 -> vt10,0.12533391191571663,0.13690159543054853,0.9330296727032634,-0.3039172917708707,0.9145254115676904,0.10020427453959056,1.922690468693776,0.10171620065966273,10,0.1
