start,end,v5_moic,v5_term,v5_irr,v5_vs_spy,mn_moic,mn_term,mn_irr,mn_vs_spy,blend60_40_moic,blend60_40_term,blend60_40_irr,blend60_40_vs_spy,SPY_moic,SPY_term,SPY_irr,v5_shield_moic,v5_shield_term,v5_shield_vs_spy,v5_shield_irr
2005-11,2015-10,23.194500679037237,2783.3400814844686,0.6040892142016709,13.316138671916772,2.956201414405755,354.7441697286906,0.20844344946668492,1.6971776422814338,10.06047022059908,1207.2564264718897,0.4395370397525664,5.775792219716246,1.7418338191350886,209.02005829621064,0.10857039138393731,18.199458549991228,2183.9350259989474,10.448447119386055,0.5554400092535849
2005-12,2015-11,24.54453027700422,2945.3436332405063,0.615553624878745,14.11689459643084,2.811734127330962,337.40809527971544,0.19905138435545355,1.6171812563024268,10.327179563630851,1239.261547635702,0.4445744467514936,5.939722770526186,1.7386635643797885,208.63962772557463,0.10822232202061777,19.15205193537214,2298.2462322446568,11.015386948770626,0.5656090737643862
2006-01,2015-12,21.811200219373642,2617.344026324837,0.5916790499491626,12.830471849181595,2.7489395434361867,329.8727452123424,0.1948149186838024,1.6170678858759735,9.469721400692151,1136.3665680830582,0.4279108656797692,5.570578080487784,1.6999530863523846,203.99437036228616,0.10391694058430234,16.941798309573745,2033.0157971488495,9.966038736943043,0.5412229083278144
2006-02,2016-01,22.244869827897467,2669.3843793476963,0.5956467243980039,13.840814226243735,2.7350771989598335,328.20926387518,0.19386640432553448,1.7017719455369884,9.305303779548007,1116.6364535457608,0.4245519970087086,5.789783528873131,1.6071937289439737,192.86324747327686,0.09315965334502496,17.177653881356058,2061.318465762727,10.687979657961238,0.5439628126636789
2006-03,2016-02,25.06490556120957,3007.7886673451485,0.6198166167039147,15.679878310335086,2.8144876500618805,337.7385180074257,0.19923494029864486,1.760661884448034,9.91790284580195,1190.1483414962338,0.4367919742038189,6.204352509373508,1.5985395463616914,191.82474556340296,0.09212232721408387,19.23645151381692,2308.3741816580305,12.033766419854597,0.5664871052458655
2006-04,2016-03,23.854049510490007,2862.4859412588007,0.6097654811967177,14.045427172709914,2.851508408653474,342.1810090384169,0.2016852377358911,1.6789876145976692,9.792605376704495,1175.1126452045394,0.4343482352397994,5.765952887332846,1.6983498769505652,203.8019852340678,0.10373638747063008,18.210866430029213,2185.3039716035055,10.722682456177601,0.5555647073661025
2006-05,2016-04,27.83780025490029,3340.536030588035,0.6412330306010157,16.40408999023448,2.796566525135327,335.58798301623926,0.19803698699025052,1.647943749934833,10.687984663711976,1282.5581596454372,0.45119571990290575,6.298150738649491,1.6970036296723814,203.64043556068577,0.10358463306781851,21.105164393442784,2532.619727213134,12.436723189282326,0.5850593935947559
2006-06,2016-05,27.45167820794023,3294.2013849528275,0.6383728076006767,15.98006834935183,2.823454599235376,338.8145519082451,0.1998314329731774,1.643578841894726,10.559188309047375,1267.102597085685,0.44885684525676606,6.146675245648472,1.717869886899057,206.14438642788684,0.10592247735606941,20.66596824462299,2479.916189354759,12.029996219287202,0.5808365967913283
2006-07,2016-06,30.20922960991002,3625.1075531892025,0.658032600095245,17.613107121319267,2.757055713347879,330.84668560174543,0.1953679969457056,1.6074662692726023,11.092119134495283,1331.054296139434,0.4583646706769773,6.467118991151343,1.7151561846429781,205.81874215715737,0.10562015088581655,22.534714456402263,2704.1657347682717,13.138578665996546,0.598258553588183
2006-08,2016-07,31.9037250911133,3828.447010933596,0.669303885688691,18.037691384442763,2.6933776267792147,323.20531521350574,0.19098331082931552,1.522778743700334,11.496361100905881,1379.5633321087057,0.46529182277320724,6.499799411825257,1.7687255209738084,212.247062516857,0.11149610849104263,23.588320753369207,2830.598490404305,13.336337647450335,0.6074963243064844
2006-09,2016-08,32.750481156881314,3930.057738825758,0.6747301532860057,18.591092143332716,2.6634489028825694,319.6138683459083,0.1888858132512201,1.5119296640362248,11.553791725227828,1386.4550070273394,0.46625717733139527,6.558609186218132,1.7616222276982554,211.39466732379066,0.11072790961806622,24.02133419402617,2882.5601032831405,13.63591683638811,0.6111819564475733
