date,regime,action,ret_m,equity,picks,n_picks,months_held,year
2005-08-31,bull,hold_min,0.004152495574054724,2.4798975481809387,"EXC,PEG,ADM",3,4,2005
2005-09-30,bull,hold_min,0.019906596687618867,2.5292638684991915,"EXC,PEG,ADM",3,5,2005
2005-10-31,normal,hold_min,-0.021813557783603298,2.4740916249537044,"EXC,PEG,ADM",3,6,2005
2005-11-30,normal,hold,-0.0043163213840884136,2.4634126503667226,"EXC,PEG,ADM",3,7,2005
2005-12-30,normal,hold,0.03569240563051643,2.551337773918957,"EXC,PEG,ADM",3,8,2005
2006-01-31,normal,hold,0.12055899389098865,2.858924489018701,"EXC,PEG,ADM",3,9,2006
2006-02-28,normal,hold,0.001687961722155895,2.863750244122699,"EXC,PEG,ADM",3,10,2006
2006-03-31,normal,hold,-0.0424224379276664,2.7422629771510643,"EXC,PEG,ADM",3,11,2006
2006-04-28,bull,hold,0.018013839614193963,2.7916616626014057,"EXC,PEG,ADM",3,12,2006
2006-05-31,bull,max_hold,0.05994137532872329,2.9589977021102043,"NVDA,CSX,MCO",3,1,2006
2006-06-30,normal,hold_min,0.01929206035999964,3.016082864384415,"NVDA,CSX,MCO",3,2,2006
2006-07-31,normal,hold_min,-0.043354606670426836,2.8853217781136147,"NVDA,CSX,MCO",3,3,2006
2006-08-31,normal,hold_min,0.11529926350288253,3.2179972540989414,"NVDA,CSX,MCO",3,4,2006
2006-09-29,bull,hold_min,0.06368787273548389,3.4229446536811317,"NVDA,CSX,MCO",3,5,2006
2006-10-31,bull,hold_min,0.08101263048246729,3.7002464040717378,"NVDA,CSX,MCO",3,6,2006
2006-11-30,bull,hold,0.03537375877841099,3.8311380277900544,"NVDA,CSX,MCO",3,7,2006
2006-12-29,bull,hold,-0.01805660744049297,3.761960672371905,"NVDA,CSX,MCO",3,8,2006
2007-01-31,bull,tactical_reb,8.12465494467755e-05,3.76226631869569,"NVDA,CFC,CAG",3,1,2007
2007-02-28,bull,hold_min,-0.004458895944751585,3.7454907646641824,"NVDA,CFC,CAG",3,2,2007
2007-03-30,normal,hold_min,-0.025579661966478043,3.649682377005507,"NVDA,CFC,CAG",3,3,2007
2007-04-30,normal,hold_min,0.03910173962537663,3.792391307026502,"NVDA,CFC,CAG",3,4,2007
2007-05-31,bull,hold_min,0.0304398105006281,3.9078309797566178,"NVDA,CFC,CAG",3,5,2007
