variant,year,n_months,strat_ret_pct,spy_ret_pct,edge_pp
concentration_overlay,2011,12,29.979595072229337,1.8949508746777477,28.08464419755159
concentration_overlay,2012,12,9.261520614018902,15.990369360273803,-6.728848746254901
concentration_overlay,2013,12,95.19240605787517,32.307782990064624,62.88462306781055
concentration_overlay,2014,12,14.019982680694287,14.34687013535565,-0.32688745466136204
concentration_overlay,2015,12,6.498165375654419,1.2342672077436,5.263898167910819
concentration_overlay,2016,12,37.51563134117013,11.997907724709055,25.517723616461076
concentration_overlay,2017,12,18.099062315378788,21.705424517878,-3.6063622024992137
concentration_overlay,2018,12,16.678445547756795,-4.569001297783625,21.24744684554042
concentration_overlay,2019,12,82.84763687124148,31.223845466663256,51.62379140457822
concentration_overlay,2020,12,106.32812642602292,18.331634381392135,87.99649204463078
concentration_overlay,2021,12,100.67695229128701,28.728770997528088,71.94818129375892
concentration_overlay,2022,12,-18.877615479751253,-18.175373553165997,-0.7022419265852564
concentration_overlay,2023,12,158.61292318504687,26.17579280754527,132.4371303775016
concentration_overlay,2024,12,-10.528558366126273,24.886459603923306,-35.415017970049576
concentration_overlay,2025,12,23.285112320128132,17.719061307023452,5.566051013104678
concentration_overlay,2026,4,0.0,5.67553940227683,-5.67553940227683
sector_diversification,2003,4,11.209817724562487,10.641753408477195,0.5680643160852927
sector_diversification,2004,12,41.99233916140541,10.697901694583356,31.294437466822057
sector_diversification,2005,12,49.609178042537664,4.828270027745751,44.78090801479191
sector_diversification,2006,12,32.09066378675214,15.845248842761016,16.245414943991122
sector_diversification,2007,12,20.481425953850163,5.14622542062535,15.335200533224814
sector_diversification,2008,12,-6.879351965496916,-36.79497208112278,29.915620115625863
sector_diversification,2009,12,212.49822355408895,26.351693261924545,186.1465302921644
sector_diversification,2010,12,43.84710834600825,15.056170358074228,28.79093798793402
sector_diversification,2011,12,33.64530136292983,1.8949508746777477,31.750350488252078
sector_diversification,2012,12,6.927362818667904,15.990369360273803,-9.063006541605901
sector_diversification,2013,12,96.36360849994794,32.307782990064624,64.0558255098833
sector_diversification,2014,12,13.515666225921352,14.34687013535565,-0.8312039094342971
sector_diversification,2015,12,10.101315789378717,1.2342672077436,8.867048581635117
sector_diversification,2016,12,38.30236246657213,11.997907724709055,26.30445474186307
sector_diversification,2017,12,16.197445130034225,21.705424517878,-5.5079793878437755
sector_diversification,2018,12,19.267046404317178,-4.569001297783625,23.836047702100803
sector_diversification,2019,12,80.81244207822726,31.223845466663256,49.58859661156401
sector_diversification,2020,12,73.77558901460688,18.331634381392135,55.443954633214744
sector_diversification,2021,12,107.8543874165458,28.728770997528088,79.12561641901772
sector_diversification,2022,12,-21.148841780930194,-18.175373553165997,-2.9734682277641977
sector_diversification,2023,12,157.61432640409626,26.17579280754527,131.43853359655097
sector_diversification,2024,12,-10.485022573076952,24.886459603923306,-35.37148217700026
sector_diversification,2025,12,23.285112320128132,17.719061307023452,5.566051013104678
sector_diversification,2026,4,0.0,5.67553940227683,-5.67553940227683
cap_loose_bull,2003,4,11.209817724562487,10.641753408477195,0.5680643160852927
cap_loose_bull,2004,12,41.99233916140541,10.697901694583356,31.294437466822057
cap_loose_bull,2005,12,49.609178042537664,4.828270027745751,44.78090801479191
cap_loose_bull,2006,12,32.09066378675214,15.845248842761016,16.245414943991122
cap_loose_bull,2007,12,20.481425953850163,5.14622542062535,15.335200533224814
cap_loose_bull,2008,12,1.0005101771942249,-36.79497208112278,37.795482258317
cap_loose_bull,2009,12,383.94779585012355,26.351693261924545,357.59610258819896
cap_loose_bull,2010,12,43.84710834600825,15.056170358074228,28.79093798793402
cap_loose_bull,2011,12,33.64530136292983,1.8949508746777477,31.750350488252078
cap_loose_bull,2012,12,6.927362818667904,15.990369360273803,-9.063006541605901
cap_loose_bull,2013,12,96.36360849994794,32.307782990064624,64.0558255098833
cap_loose_bull,2014,12,13.515666225921352,14.34687013535565,-0.8312039094342971
cap_loose_bull,2015,12,10.101315789378717,1.2342672077436,8.867048581635117
cap_loose_bull,2016,12,38.30236246657213,11.997907724709055,26.30445474186307
cap_loose_bull,2017,12,16.197445130034225,21.705424517878,-5.5079793878437755
