date,ret_m,equity,regime,cash,picks,weights,n_picks
2005-10-31,-0.022292774469557904,2.998520298104571,recovery,False,"CL,PEG,HUM","0.374,0.400,0.226",3
2005-11-30,0.017266528138177376,3.0502943332046897,recovery,False,"CL,PEG,HUM","0.374,0.400,0.226",3
2005-12-30,0.06211964882927518,3.2397775460092935,recovery,False,"CL,PEG,HUM","0.374,0.400,0.226",3
2006-01-31,0.03691294495178715,3.3593672762211706,recovery,False,"CL,PEG,HUM","0.374,0.400,0.226",3
2006-02-28,-0.02072239721289175,3.2897531331393255,recovery,False,"CL,PEG,HUM","0.374,0.400,0.226",3
2006-03-31,-0.00651283653201713,3.2683275087524977,recovery,False,"NVDA,PEG,GLW","0.269,0.400,0.331",3
2006-04-28,0.005900828691822242,3.2876133494904165,recovery,False,"NVDA,PEG,GLW","0.269,0.400,0.331",3
2006-05-31,-0.09140567198820249,2.9871068420428597,recovery,False,"NVDA,PEG,GLW","0.269,0.400,0.331",3
2006-06-30,-0.0020513556694734454,2.980979223487112,recovery,False,"NVDA,PEG,GLW","0.269,0.400,0.331",3
2006-07-31,-0.05128419218122239,2.828102112101568,recovery,False,"NVDA,PEG,GLW","0.269,0.400,0.331",3
2006-08-31,0.15496270268134626,3.2663524588516504,recovery,False,"NVDA,PEG,GLW","0.269,0.400,0.331",3
2006-09-29,-0.011677572983680343,3.2282093896229864,recovery,False,"NVDA,HPQ,T","0.200,0.400,0.400",3
2006-10-31,0.08454385591996327,3.5011346591387453,recovery,False,"NVDA,HPQ,T","0.200,0.400,0.400",3
2006-11-30,0.015621433211977249,3.5558274003826202,recovery,False,"NVDA,HPQ,T","0.200,0.400,0.400",3
2006-12-29,0.040194362758939846,3.6987516168217773,recovery,False,"NVDA,HPQ,T","0.200,0.400,0.400",3
2007-01-31,0.012875802999549806,3.7463760139842406,recovery,False,"NVDA,HPQ,T","0.200,0.400,0.400",3
2007-02-28,-0.042860906912851236,3.5858029403883234,recovery,False,"NVDA,HPQ,T","0.200,0.400,0.400",3
2007-03-30,0.022112888824070316,3.6650954021541544,recovery,False,"NVDA,T,CNP","0.200,0.400,0.400",3
2007-04-30,0.045965755422286356,3.8335642810089183,recovery,False,"NVDA,T,CNP","0.200,0.400,0.400",3
2007-05-31,0.04330196121477296,3.999565132819505,recovery,False,"NVDA,T,CNP","0.200,0.400,0.400",3
2007-06-29,0.00772881707917733,4.030477040127323,recovery,False,"NVDA,T,CNP","0.200,0.400,0.400",3
2007-07-31,-0.01777744621319744,3.9588254513329324,recovery,False,"NVDA,T,CNP","0.200,0.400,0.400",3
2007-08-31,0.02873902429210555,4.072598232146995,recovery,False,"NVDA,T,CNP","0.200,0.400,0.400",3
2007-09-28,0.031303729617651016,4.200085746047448,recovery,False,"NVDA,AMZN,NOV","0.360,0.240,0.400",3
2007-10-31,-0.013370126683507046,4.143930067541202,recovery,False,"NVDA,AMZN,NOV","0.360,0.240,0.400",3
2007-11-30,-0.06306242787775927,3.8826037765264068,recovery,False,"NVDA,AMZN,NOV","0.360,0.240,0.400",3
2007-12-31,0.06497966587875467,4.134894072664684,normal,False,"NVDA,AMZN,NOV","0.360,0.240,0.400",3
2008-01-31,-0.21068276999245258,3.263743135810315,normal,False,"NVDA,AMZN,NOV","0.360,0.240,0.400",3
2008-02-29,-0.07376404484767282,3.0229962407691184,normal,False,"NVDA,AMZN,NOV","0.360,0.240,0.400",3
2008-03-31,-0.027651445643889005,2.9394060245358102,normal,False,"MBI,MTG,RRC","0.318,0.282,0.400",3
2008-04-30,0.0382181494907865,3.051744683395638,normal,False,"MBI,MTG,RRC","0.318,0.282,0.400",3
2008-05-30,-0.13012568441628905,2.6546343178050096,normal,False,"MBI,MTG,RRC","0.318,0.282,0.400",3
2008-06-30,-0.25722278235800666,1.971801892436156,normal,False,"MBI,MTG,RRC","0.318,0.282,0.400",3
2008-07-31,0.021183414745857082,2.013571389720297,normal,False,"MBI,MTG,RRC","0.318,0.282,0.400",3
2008-08-29,0.6233296561187266,3.2686901516451563,normal,False,"MBI,MTG,RRC","0.318,0.282,0.400",3
2008-09-30,-0.16216880695853647,2.7386105694357434,crash,True,,,0
2008-10-31,-0.001,2.7358719588663076,crash,True,,,0
2008-11-28,-0.001,2.7331360869074413,crash,True,,,0
2008-12-31,-0.001,2.7304029508205336,normal,False,"MBI,GNW,BBT","0.200,0.400,0.400",3
2009-01-30,-0.17754666477417086,2.2456290134127936,crash,False,"MBI,GNW,BBT","0.200,0.400,0.400",3
2009-02-27,-0.2889433747351751,1.5967693878740794,crash,False,"MBI,GNW,BBT","0.200,0.400,0.400",3
2009-03-31,0.3977231844839962,2.2318415937059193,normal,False,"MBI,GNW,BBT","0.200,0.400,0.400",3
2009-04-30,0.0971091003235362,2.4485737229353486,normal,False,"MBI,GNW,BBT","0.200,0.400,0.400",3
2009-05-29,0.658457070143653,4.060854402570095,recovery,False,"MBI,GNW,BBT","0.200,0.400,0.400",3
2009-06-30,-0.00620415277640208,4.035660241453825,recovery,False,"MTW,F,ORLY","0.346,0.254,0.400",3
2009-07-31,0.16832865087321477,4.71497748528042,recovery,False,"MTW,F,ORLY","0.346,0.254,0.400",3
2009-08-31,-0.009214778953792245,4.671530009981454,recovery,False,"MTW,F,ORLY","0.346,0.254,0.400",3
2009-09-30,0.11223992680252498,5.19586219635757,recovery,False,"MTW,F,ORLY","0.346,0.254,0.400",3
2009-10-30,-0.006839439669075718,5.1603254103367515,recovery,False,"MTW,F,ORLY","0.346,0.254,0.400",3
2009-11-30,0.11107032893148926,5.733484451056376,recovery,False,"MTW,F,ORLY","0.346,0.254,0.400",3
2009-12-31,0.029153002247837435,5.900632736145964,recovery,False,"FITB,HBAN,BKNG","0.296,0.304,0.400",3
2010-01-29,0.13438678232368115,6.693599783230398,recovery,False,"FITB,HBAN,BKNG","0.296,0.304,0.400",3
2010-02-26,0.06001325815358557,7.095304514998188,recovery,False,"FITB,HBAN,BKNG","0.296,0.304,0.400",3
2010-03-31,0.12017998750820631,7.94801812297759,recovery,False,"FITB,HBAN,BKNG","0.296,0.304,0.400",3
2010-04-30,0.11804005232507879,8.88620259809454,recovery,False,"FITB,HBAN,BKNG","0.296,0.304,0.400",3
2010-05-31,-0.17327550410305248,7.346441363347854,crash,False,"FITB,HBAN,BKNG","0.296,0.304,0.400",3
