crisis,freq,universe,cagr,spy_cagr,edge,sharpe,mdd
2023-24 AI rally,D,unleveraged_12,26.66176938003748,23.055727501948198,3.6060418780892824,1.571662489155576,-12.782743299228535
2023-24 AI rally,D,pure_3x_leveraged,92.88298009012448,23.055727501948198,69.82725258817628,1.4732562713458128,-43.32383211813244
2023-24 AI rally,W,unleveraged_12,14.367385914955634,22.49549860332094,-8.128112688365306,0.9235852987223933,-13.030662984646609
2023-24 AI rally,W,pure_3x_leveraged,33.29473803039305,22.49549860332094,10.79923942707211,0.798121411489045,-49.407813818622245
2023-24 AI rally,2W,unleveraged_12,18.28412999822877,22.286852759418597,-4.002722761189826,1.129453891452672,-10.68974842649986
2023-24 AI rally,2W,pure_3x_leveraged,44.39737411195293,22.286852759418597,22.11052135253433,0.9292848298871342,-49.74317505284828
2023-24 AI rally,ME,unleveraged_12,11.283310455746332,23.055727501948198,-11.772417046201866,0.7768416749635652,-11.513795884210053
2023-24 AI rally,ME,pure_3x_leveraged,40.72435762361663,23.055727501948198,17.668630121668436,0.88827130048525,-50.39407250579778
2023-24 AI rally,2ME,unleveraged_12,19.08521614187062,25.80463586954249,-6.71941972767187,1.234508594133457,-10.689748426499861
2023-24 AI rally,2ME,pure_3x_leveraged,69.29040887512936,25.80463586954249,43.485773005586864,1.225934273834173,-40.601345167527356
2023-24 AI rally,QE,unleveraged_12,15.372332833780632,24.699826210768737,-9.327493376988105,1.0419017891052822,-11.075666678463074
2023-24 AI rally,QE,pure_3x_leveraged,47.096155726201715,24.699826210768737,22.396329515432978,0.9367940763353588,-50.49091182216357
