entry_idx,entry_date,regime,picks,weights,initial_capital,nav,status,exit_date,exit_nav,return_pct
46,2007-07-31,recovery,"NVDA,AMZN,AAPL","0.361,0.239,0.400",12.24650359947106,11.479561123407496,exited,2008-01-31,11.479561123407496,-6.262542364309509
47,2007-08-31,recovery,"NVDA,AMZN,CMI","0.329,0.271,0.400",13.883953448819131,10.635750530192913,exited,2008-02-29,10.635750530192913,-23.39537459989457
48,2007-09-28,recovery,"NVDA,AMZN,NOV","0.360,0.240,0.400",17.90856091197415,12.586580993379037,exited,2008-03-31,12.586580993379037,-29.71751859210916
49,2007-10-31,recovery,"AMZN,JCI,BBBY","0.333,0.299,0.369",15.535795221586039,12.66853471803925,exited,2008-04-30,12.66853471803925,-18.455833529286647
50,2007-11-30,recovery,"NVDA,AMZN,NOV","0.371,0.229,0.400",18.237733340092472,17.964348892952472,exited,2008-05-30,17.964348892952472,-1.4990045201451196
51,2007-12-31,normal,"AMZN,NVDA,NOV","0.240,0.360,0.400",31.570174216471173,27.474135881666797,exited,2008-06-30,27.474135881666797,-12.97439256026449
52,2008-01-31,normal,"MBI,MTG,AMZN","0.345,0.313,0.342",12.479561123407496,7.192745768690715,exited,2008-07-31,7.192745768690715,-42.36379230356489
53,2008-02-29,normal,"MBI,MTG,CNX","0.317,0.283,0.400",11.635750530192913,10.638215656964892,exited,2008-08-29,10.638215656964892,-8.573017018881401
54,2008-03-31,normal,"MBI,MTG,CNX","0.318,0.282,0.400",13.586580993379037,10.3813751689948,exited,2008-09-30,10.3813751689948,-23.590966895543374
55,2008-04-30,normal,"MBI,FHN,RRC","0.257,0.343,0.400",13.66853471803925,12.240922686371562,exited,2008-10-31,12.240922686371562,-10.44451406911654
56,2008-05-30,normal,"MBI,MTG,CNX","0.352,0.248,0.400",18.964348892952472,8.927256929345528,exited,2008-11-28,8.927256929345528,-52.92610898619845
57,2008-06-30,normal,"MTG,MBI,CNX","0.260,0.340,0.400",28.474135881666797,16.100514775815075,exited,2008-12-31,16.100514775815075,-43.4556509713734
58,2008-07-31,normal,"FMCC,MTG,CNX","0.380,0.220,0.400",8.192745768690715,2.2100859220110967,exited,2009-01-30,2.2100859220110967,-73.02386788984553
59,2008-08-29,normal,"FMCC,FNMA,CF","0.286,0.314,0.400",11.638215656964892,2.5039943211414726,exited,2009-02-27,2.5039943211414726,-78.48472313156564
63,2008-12-31,normal,"MBI,GNW,HAS","0.200,0.400,0.400",51.65006956052696,79.36963416692339,exited,2009-06-30,79.36963416692339,53.668010212286
66,2009-03-31,normal,"GNW,TGNA,MCK","0.200,0.400,0.400",7.714080243152569,32.72754849652821,exited,2009-09-30,32.72754849652821,324.2572991845519
67,2009-04-30,normal,"GNW,FITB,ORLY","0.240,0.360,0.400",1.0,2.249342660245291,exited,2009-10-30,2.249342660245291,124.93426602452908
