variant,universe_label,n_assets,top_n,lookback_months,cagr,spy_cagr,edge,sharpe,mdd,edge_std,edge_min,n_years_positive,n_years_total,n_rotations
REFERENCE_unleveraged_top2_lb12m,REFERENCE_unleveraged,12,2,12,30.04434551152768,14.35112237667977,15.69322313484791,1.9391396033631585,-15.704496153382742,11.584957602107673,-3.3568272675141166,16,17,94
mixed_lev_plus_safety_top3_lb6m,mixed_lev_plus_safety,9,3,6,97.34218451609044,14.35112237667977,82.99106213941067,1.9277142264002416,-35.90274635232404,29.65842404060847,33.5524562215501,17,17,115
REFERENCE_unleveraged_top3_lb12m,REFERENCE_unleveraged,12,3,12,26.883956633105143,14.35112237667977,12.532834256425373,1.8978801221260841,-14.795245577829997,10.123390655771193,-4.253864987833666,15,17,118
mixed_lev_plus_safety_top2_lb6m,mixed_lev_plus_safety,9,2,6,116.50293997046184,14.35112237667977,102.15181759378207,1.8845247860549272,-37.940284691683594,33.75187290785351,46.46160764621419,17,17,104
2x_only_SSO_top2_lb12m,2x_only_SSO,13,2,12,32.91766911478295,14.35112237667977,18.566546738103185,1.8687464433775942,-19.48102739643214,9.567816926574471,-0.8959775081660553,16,17,97
2x_only_SSO_top3_lb12m,2x_only_SSO,13,3,12,30.012612458464073,14.35112237667977,15.661490081784303,1.8409822726896623,-18.93733410721312,7.960974907335371,0.4912989393612861,17,17,115
mixed_lev_plus_TLT_top3_lb6m,mixed_lev_plus_TLT,6,3,6,97.09949254941792,14.35112237667977,82.74837017273815,1.8207754078278886,-35.90274635232403,33.95283557189027,21.080628566192487,17,17,93
mixed_lev_plus_TLT_top2_lb6m,mixed_lev_plus_TLT,6,2,6,113.635732271142,14.35112237667977,99.28460989446224,1.8189890461495068,-37.9402846916836,36.13120246402481,26.156210486079793,17,17,92
pure_leveraged_8_top3_lb6m,pure_leveraged_8,8,3,6,104.37059285073369,14.35112237667977,90.01947047405392,1.7618741458668123,-33.53964687775909,46.81569044350956,20.32463998080356,17,17,105
pure_leveraged_8_top2_lb6m,pure_leveraged_8,8,2,6,119.0346162639543,14.35112237667977,104.68349388727454,1.7518050394109999,-37.9402846916836,50.708964049053286,20.496862411433227,17,17,93
pure_leveraged_5_top2_lb6m,pure_leveraged_5,5,2,6,106.18293715907532,14.35112237667977,91.83181478239555,1.6755966962127815,-37.94028469168359,40.65893243341673,21.69722333985267,17,17,75
mixed_swap_3_top3_lb12m,mixed_swap_3,13,3,12,50.65859828846824,14.35112237667977,36.30747591178847,1.662250875802075,-27.434341273076058,27.49023994847862,9.967287492491518,17,17,78
mixed_swap_3_top2_lb12m,mixed_swap_3,13,2,12,58.06450914019958,14.35112237667977,43.713386763519814,1.6416068620678843,-33.12901131333566,23.11594037273549,5.783510675627945,17,17,86
pure_leveraged_5_top3_lb6m,pure_leveraged_5,5,3,6,89.68478251979644,14.35112237667977,75.33366014311667,1.6369243524563601,-35.90274635232404,38.1158675628539,15.715096342787405,17,17,72
pure_leveraged_full_top2_lb12m,pure_leveraged_full,10,2,12,90.30771486154275,14.35112237667977,75.95659248486298,1.5067476823174282,-39.96914367131892,62.415675931144534,4.774464167428372,17,17,84
mixed_swap_5_top3_lb12m,mixed_swap_5,15,3,12,65.67114989492404,14.35112237667977,51.320027518244274,1.4753142995177773,-36.3434265114436,33.861102625758384,7.052084111414469,17,17,100
mixed_lev_plus_TLT_top2_lb12m,mixed_lev_plus_TLT,6,2,12,81.52559473136256,14.35112237667977,67.17447235468279,1.467693809705893,-39.96914367131892,51.31758228965434,5.283048434822735,17,17,81
mixed_lev_plus_TLT_top3_lb12m,mixed_lev_plus_TLT,6,3,12,70.80705102316118,14.35112237667977,56.45592864648141,1.4659918805156085,-41.06722491648812,46.590170231858224,1.711421268977599,17,17,73
mixed_swap_5_top2_lb12m,mixed_swap_5,15,2,12,77.47771205629552,14.35112237667977,63.12658967961575,1.4581239414513998,-41.30691858930167,41.07995419899379,-1.0704577752602917,16,17,95
mixed_lev_plus_safety_top3_lb12m,mixed_lev_plus_safety,9,3,12,64.14521575274708,14.35112237667977,49.79409337606731,1.4454287147886082,-41.06722491648812,34.0960107284905,7.6672255803991956,17,17,95
pure_leveraged_8_top2_lb12m,pure_leveraged_8,8,2,12,82.90482789732773,14.35112237667977,68.55370552064797,1.441665958760023,-39.96914367131892,65.0389727724781,-6.578222352938667,16,17,77
pure_leveraged_full_top3_lb12m,pure_leveraged_full,10,3,12,72.3793179794467,14.35112237667977,58.02819560276693,1.4201080572162892,-40.014812380178135,49.39959415756444,4.323470315901612,17,17,93
pure_leveraged_5_top2_lb12m,pure_leveraged_5,5,2,12,81.87786301082023,14.35112237667977,67.52674063414047,1.4050337728750468,-39.96914367131892,68.61350016510683,5.283048434822735,17,17,59
mixed_lev_plus_safety_top2_lb12m,mixed_lev_plus_safety,9,2,12,72.7786820545349,14.35112237667977,58.42755967785513,1.387096580683828,-39.96914367131892,46.22643679151221,-7.5018228971186485,16,17,88
pure_leveraged_8_top3_lb12m,pure_leveraged_8,8,3,12,68.26717346416191,14.35112237667977,53.916051087482145,1.3660483015836262,-41.06722491648812,51.03487404980079,-9.20090390813759,16,17,78
pure_leveraged_5_top3_lb12m,pure_leveraged_5,5,3,12,71.14259742993332,14.35112237667977,56.79147505325355,1.3558447691716173,-41.06722491648812,59.87026013371849,1.711421268977599,17,17,57
