date,regime,action,ret_m,equity,picks,n_picks,months_held,year
2005-08-31,bull,hold_min,-0.016259217771232844,2.0193650112234454,"CSX,CMS,SLM",3,2,2005
2005-09-30,bull,hold_min,0.052044362143582434,2.1244615751676377,"CSX,CMS,SLM",3,3,2005
2005-10-31,normal,tactical_reb,-0.026912528101291504,2.0672869433258247,"NEE,PEG,UNM",3,1,2005
2005-11-30,normal,hold_min,0.01837943805836384,2.105282515649546,"NEE,PEG,UNM",3,2,2005
2005-12-30,normal,hold_min,0.016257425341928346,2.1395089889713854,"NEE,PEG,UNM",3,3,2005
2006-01-31,normal,tactical_reb,-0.002002246643789985,2.135225164278859,"NVDA,CSX,WMB",3,1,2006
2006-02-28,normal,hold_min,-0.009285263235202734,2.115399036562101,"NVDA,CSX,WMB",3,2,2006
2006-03-31,normal,hold_min,0.07974132022709539,2.2840837485446883,"NVDA,CSX,WMB",3,3,2006
2006-04-28,bull,hold,0.07220655333515497,2.4490095635559412,"NVDA,CSX,WMB",3,4,2006
2006-05-31,bull,hold,-0.0462749999895272,2.335681646028038,"NVDA,CSX,WMB",3,5,2006
2006-06-30,normal,hold,0.018094873620995745,2.3779455102317946,"NVDA,CSX,WMB",3,6,2006
2006-07-31,normal,hold,-0.032142971342741786,2.3015112758418126,"NVDA,CSX,WMB",3,7,2006
2006-08-31,normal,hold,0.07935908680515039,2.4841571089643755,"NVDA,CSX,WMB",3,8,2006
2006-09-29,bull,hold,0.026933012614943342,2.551062943717614,"NVDA,CSX,WMB",3,9,2006
2006-10-31,bull,hold,0.0843596115547557,2.766269622701364,"NVDA,CSX,WMB",3,10,2006
2006-11-30,bull,hold,0.06763673604381726,2.9533710709980463,"NVDA,CSX,WMB",3,11,2006
2006-12-29,bull,tactical_reb,-0.03754376989005109,2.842490387108562,"CSX,T,NVDA",3,1,2006
2007-01-31,bull,hold_min,0.01999322176997092,2.8993209277970338,"CSX,T,NVDA",3,2,2007
2007-02-28,bull,hold_min,0.0037330226024996278,2.9101441583524004,"CSX,T,NVDA",3,3,2007
2007-03-30,normal,hold,0.04010180958166184,3.026846205245834,"CSX,T,NVDA",3,4,2007
2007-04-30,normal,hold,0.0572830250700037,3.2002331123039762,"CSX,T,NVDA",3,5,2007
2007-05-31,bull,hold,0.05987242314116348,3.391838823354202,"CSX,T,NVDA",3,6,2007
2007-06-29,bull,hold,0.03688928318346952,3.516961326221601,"CSX,T,NVDA",3,7,2007
2007-07-31,bull,tactical_reb,0.02304613576828533,3.598013694437513,"NVDA,AMZN,NI",3,1,2007
2007-08-31,bull,hold_min,0.04196953471890843,3.7490206551053165,"NVDA,AMZN,NI",3,2,2007
2007-09-28,bull,hold_min,0.06852320851289502,4.005915579174249,"NVDA,AMZN,NI",3,3,2007
2007-10-31,bull,tactical_reb,0.012529189089494581,4.0561064529422755,"AMZN,JCI,NVDA",3,1,2007
2007-11-30,normal,hold_min,-0.04558399363807417,3.871212922196003,"AMZN,JCI,NVDA",3,2,2007
2007-12-31,normal,hold_min,0.03637172887819266,4.012015629031872,"AMZN,JCI,NVDA",3,3,2007
2008-01-31,normal,hold,-0.16472660376291245,3.3511299202177267,"AMZN,JCI,NVDA",3,4,2008
2008-02-29,normal,hold,-0.10002874425028005,3.0159206024788063,"AMZN,JCI,NVDA",3,5,2008
2008-03-31,normal,hold,0.03289300488225176,3.1151232935806252,"AMZN,JCI,NVDA",3,6,2008
2008-04-30,normal,hold,0.0655197571818578,3.3192254153675766,"AMZN,JCI,NVDA",3,7,2008
2008-05-30,normal,tactical_reb,0.08209493254444301,3.591717001941979,"MBI,MTG,FHN",3,1,2008
2008-06-30,normal,hold_min,-0.33502301104277676,2.3884091571378425,"MBI,MTG,FHN",3,2,2008
2008-07-31,normal,hold_min,0.24116309218877513,2.9644052948851907,"MBI,MTG,FHN",3,3,2008
2008-08-29,normal,tactical_reb,0.7659089083495967,5.234869718196471,"FMCC,FNMA,SLM",3,1,2008
2008-09-30,crash,hold,-0.5637691141656389,2.2836118543963186,,0,0,2008
2008-10-31,crash,hold,0.0,2.2836118543963186,,0,0,2008
2008-11-28,crash,hold,0.0,2.2836118543963186,,0,0,2008
2008-12-31,normal,init,-0.001,2.2813282425419223,"MBI,GNW,THC",3,1,2008
2009-01-30,crash,hold,-0.11023030095807258,2.0298567437823754,,0,0,2009
2009-02-27,crash,hold,0.0,2.0298567437823754,,0,0,2009
2009-03-31,normal,init,-0.001,2.027826887038593,"GNW,TGNA,MTW",3,1,2009
2009-04-30,normal,hold_min,0.6871592913407757,3.421266973697804,"GNW,TGNA,MTW",3,2,2009
2009-05-29,recovery,hold_min,0.4294238198082795,4.890440506127027,"GNW,TGNA,MTW",3,3,2009
2009-06-30,recovery,hold,-0.1391889318103238,4.209745315997267,"GNW,TGNA,MTW",3,4,2009
2009-07-31,recovery,tactical_reb,0.4507003257913738,6.107078901415945,"KIM,HBAN,MBI",3,1,2009
2009-08-31,recovery,hold_min,0.28658719110918685,7.857289489654919,"KIM,HBAN,MBI",3,2,2009
2009-09-30,recovery,hold_min,0.06310926358057642,8.353157243086443,"KIM,HBAN,MBI",3,3,2009
2009-10-30,recovery,hold,-0.18793753845557984,6.78328543248838,"KIM,HBAN,MBI",3,4,2009
2009-11-30,recovery,hold,-0.04161583695710243,6.500993331896455,"KIM,HBAN,MBI",3,5,2009
2009-12-31,recovery,tactical_reb,0.060515648058231994,6.894405156398414,"FITB,HBAN,SLM",3,1,2009
2010-01-29,recovery,hold_min,0.15663349930172643,7.974299961648964,"FITB,HBAN,SLM",3,2,2010
2010-02-26,recovery,hold_min,0.01929307993095437,8.128148768202463,"FITB,HBAN,SLM",3,3,2010
2010-03-31,bull,hold,0.11816089789035784,9.088578124839673,"FITB,HBAN,SLM",3,4,2010
2010-04-30,bull,hold,0.10153493937851187,10.011386353782138,"FITB,HBAN,SLM",3,5,2010
2010-05-31,crash,hold,-0.10227647064853307,8.987457091218415,,0,0,2010
2010-06-30,normal,init,-0.001,8.978469634127197,"NVDA,HBAN,NDAQ",3,1,2010
2010-07-30,normal,hold_min,0.04287819076396253,9.363450167867748,"NVDA,HBAN,NDAQ",3,2,2010
2010-08-31,normal,hold_min,-0.06994413025203736,8.708531789717945,"NVDA,HBAN,NDAQ",3,3,2010
2010-09-30,normal,hold,0.12604063580263697,9.80616067340147,"NVDA,HBAN,NDAQ",3,4,2010
2010-10-29,normal,tactical_reb,0.03955362494245425,10.194029874802636,"HST,AMZN,CSX",3,1,2010
2010-11-30,bull,hold_min,0.026790867767211866,10.467136781193481,"HST,AMZN,CSX",3,2,2010
2010-12-31,normal,hold_min,0.05911208503447991,11.085871060670923,"HST,AMZN,CSX",3,3,2010
2011-01-31,bull,hold,0.03177341181884438,11.43810700725223,"HST,AMZN,CSX",3,4,2011
2011-02-28,bull,hold,0.028861474454253033,11.768227640447051,"HST,AMZN,CSX",3,5,2011
2011-03-31,bull,tactical_reb,0.018349274760577627,11.984166082866638,"BBY,ZION,NDAQ",3,1,2011
2011-04-29,bull,hold_min,0.06605618214482357,12.775794340490293,"BBY,ZION,NDAQ",3,2,2011
2011-05-31,bull,hold_min,-0.025050503484615995,12.455754259845104,"BBY,ZION,NDAQ",3,3,2011
2011-06-30,bull,tactical_reb,-0.004316513424545325,12.401988829369646,"NVDA,CMG,ORLY",3,1,2011
2011-07-29,bull,hold_min,-0.04424087925008713,11.853313939108574,"NVDA,CMG,ORLY",3,2,2011
2011-08-31,normal,hold_min,0.014794668138124287,12.028679785174688,"NVDA,CMG,ORLY",3,3,2011
2011-09-30,crash,hold,-0.014871460175405105,11.849795752786763,,0,0,2011
2011-10-31,normal,init,-0.001,11.837945957033977,"MU,GNW,NFLX",3,1,2011
2011-11-30,normal,hold_min,-0.020315655751552628,11.597450322165392,"MU,GNW,NFLX",3,2,2011
2011-12-30,recovery,hold_min,0.0339632834782493,11.991337815082009,"MU,GNW,NFLX",3,3,2011
2012-01-31,recovery,hold,0.3367760271962946,16.029732925214024,"MU,GNW,NFLX",3,4,2012
2012-02-29,recovery,hold,0.09202655311478497,17.50489399367205,"MU,GNW,NFLX",3,5,2012
2012-03-30,recovery,tactical_reb,-0.041946001359011637,16.770633686424127,"NI,BBBY,NFLX",3,1,2012
2012-04-30,recovery,hold_min,0.008397535578903562,16.911465679486632,"NI,BBBY,NFLX",3,2,2012
2012-05-31,recovery,hold_min,0.006602513194893599,17.023123854780433,"NI,BBBY,NFLX",3,3,2012
2012-06-29,recovery,tactical_reb,0.02513431171088935,17.45098835603956,"NFLX,ORLY,FAST",3,1,2012
2012-07-31,recovery,hold_min,0.0052061581009549,17.54184096043902,"NFLX,ORLY,FAST",3,2,2012
2012-08-31,bull,hold_min,0.006132999360789441,17.649425059836464,"NFLX,ORLY,FAST",3,3,2012
2012-09-28,bull,tactical_reb,-0.02587327570619234,17.192776619207535,"LYB,DHI,NFLX",3,1,2012
2012-10-31,bull,hold_min,0.11653141362353626,19.19627518275747,"LYB,DHI,NFLX",3,2,2012
2012-11-30,bull,hold_min,-0.02314316740936313,18.752012572566713,"LYB,DHI,NFLX",3,3,2012
2012-12-31,bull,hold,0.09540973963247439,20.54113720970019,"LYB,DHI,NFLX",3,4,2012
2013-01-31,bull,hold,0.2887261578820194,26.47190083478431,"LYB,DHI,NFLX",3,5,2013
2013-02-28,bull,hold,-0.020381515503496633,25.932363377513127,"LYB,DHI,NFLX",3,6,2013
2013-03-28,bull,hold,0.06803952668936547,27.696789107655754,"LYB,DHI,NFLX",3,7,2013
