date,regime,cum_deposits,active_tranches,cash_pool,total_nav,current_picks,current_weights
2008-07-31,normal,59.0,6,0.0,78.595107552967,"FMCC,MTG,CNX","0.380,0.220,0.400"
2008-08-29,normal,60.0,6,0.0,124.01463432412633,"FMCC,FNMA,CF","0.286,0.314,0.400"
2008-09-30,crash,61.0,5,11.3813751689948,89.86461768087253,,
2008-10-31,crash,62.0,4,24.622297855366362,73.6353241282588,,
2008-11-28,crash,63.0,3,34.54955478471189,59.28594039478681,,
2008-12-31,normal,64.0,3,0.0,56.57018366863595,"MBI,GNW,HAS","0.200,0.400,0.400"
2009-01-30,crash,65.0,2,3.2100859220110967,49.31724725180374,,
2009-02-27,crash,66.0,1,6.714080243152569,38.81015742162508,,
2009-03-31,normal,67.0,2,0.0,51.054387875700854,"GNW,TGNA,MCK","0.200,0.400,0.400"
2009-04-30,normal,68.0,3,0.0,60.00221446789235,"GNW,FITB,ORLY","0.240,0.360,0.400"
2009-05-29,recovery,69.0,4,0.0,95.46375963744146,"RF,GNW,ORLY","0.400,0.200,0.400"
2009-06-30,recovery,70.0,4,0.0,97.65665894858053,"MTW,F,AN","0.346,0.254,0.400"
2009-07-31,recovery,71.0,5,0.0,121.8540409699876,"KIM,HBAN,AN","0.320,0.280,0.400"
2009-08-31,recovery,72.0,6,0.0,127.4971621437676,"HBAN,FITB,F","0.365,0.346,0.289"
2009-09-30,recovery,73.0,6,0.0,147.50829126933124,"HBAN,FITB,F","0.364,0.346,0.290"
2009-10-30,recovery,74.0,6,0.0,139.90003447421768,"HBAN,BAC,GNW","0.396,0.384,0.220"
2009-11-30,recovery,75.0,6,0.0,155.95268948443524,"HBAN,FITB,GNW","0.393,0.381,0.227"
2009-12-31,recovery,76.0,6,0.0,164.8091820409882,"FITB,HBAN,GNW","0.372,0.382,0.246"
2010-01-29,recovery,77.0,6,0.0,208.3538614029971,"NVDA,LNC,F","0.400,0.318,0.282"
2010-02-26,recovery,78.0,6,0.0,215.62582898727473,"NVDA,RF,GNW","0.400,0.400,0.200"
2010-03-31,recovery,79.0,6,0.0,242.54404847818677,"CAG,NVDA,GNW","0.400,0.400,0.200"
2010-04-30,recovery,80.0,6,0.0,260.25429049656515,"PFG,HBAN,GNW","0.346,0.400,0.254"
2010-05-31,crash,81.0,5,4.424572288153344,237.06866125950967,,
2010-06-30,normal,82.0,5,0.0,213.4671512664892,"NVDA,HBAN,TGNA","0.397,0.400,0.203"
2010-07-30,normal,83.0,5,0.0,213.38255016951766,"HBAN,KDP,AKAM","0.242,0.400,0.358"
2010-08-31,normal,84.0,5,0.0,199.7192096698821,"NVDA,HST,CLF","0.307,0.400,0.293"
2010-09-30,recovery,85.0,5,0.0,226.00095540831742,"HST,NVDA,AKAM","0.353,0.247,0.400"
2010-10-29,recovery,86.0,5,0.0,230.0830031244395,"HST,AMZN,AKAM","0.313,0.287,0.400"
2010-11-30,recovery,87.0,6,0.0,249.3754964743648,"AMZN,ORLY,AKAM","0.268,0.400,0.332"
2010-12-31,recovery,88.0,6,0.0,281.2799421049855,"NFLX,JBL,FFIV","0.357,0.243,0.400"
2011-01-31,recovery,89.0,6,0.0,293.6899872138955,"NVDA,ORLY,NFLX","0.296,0.400,0.304"
2011-02-28,recovery,90.0,6,0.0,296.5406522131813,"GME,NFLX,TMUS","0.315,0.285,0.400"
2011-03-31,recovery,91.0,6,0.0,295.2570308301593,"BBY,ZION,NFLX","0.353,0.315,0.332"
2011-04-29,recovery,92.0,6,0.0,293.82348326550584,"RF,NI,BKNG","0.305,0.400,0.295"
2011-05-31,recovery,93.0,6,0.0,328.7218459911196,"ORLY,KDP,BKNG","0.400,0.400,0.200"
2011-06-30,recovery,94.0,6,0.0,318.62839118209604,"NVDA,CMG,BKNG","0.216,0.394,0.389"
