date,ret_m,equity,regime,cash,picks,weights,n_picks
2005-10-31,-0.025649125198274433,2.7994748262499107,recovery,False,"CL,PEG,VLO","0.350,0.350,0.300",3
2005-11-30,-0.016145755543554408,2.754275190054945,recovery,False,"CL,PEG,VLO","0.350,0.350,0.300",3
2005-12-30,0.03966396334889407,2.8635206602460523,recovery,False,"CL,PEG,VLO","0.350,0.350,0.300",3
2006-01-31,0.09016450209235019,3.1217085748082956,recovery,False,"CL,PEG,VLO","0.350,0.350,0.300",3
2006-02-28,-0.04498284331733678,2.981285247105307,recovery,False,"CL,PEG,VLO","0.350,0.350,0.300",3
2006-03-31,0.024924312633414603,3.0555917326535464,recovery,False,"NVDA,PEG,VIAV","0.300,0.350,0.350",3
2006-04-28,-0.0582156476562595,2.877708480964008,recovery,False,"NVDA,PEG,VIAV","0.300,0.350,0.350",3
2006-05-31,-0.10444809829584505,2.5771373026774924,recovery,False,"NVDA,PEG,VIAV","0.300,0.350,0.350",3
2006-06-30,-0.06355974475124983,2.4133351135303864,recovery,False,"NVDA,PEG,VIAV","0.300,0.350,0.350",3
2006-07-31,-0.03504033154869673,2.3287710510141704,recovery,False,"NVDA,PEG,VIAV","0.300,0.350,0.350",3
2006-08-31,0.12914985846206886,2.6295315026432142,recovery,False,"NVDA,PEG,VIAV","0.300,0.350,0.350",3
2006-09-29,-0.04998334939977533,2.498098710788882,recovery,False,"NVDA,HPQ,ATI","0.300,0.400,0.300",3
2006-10-31,0.15566870798610305,2.886974509519137,recovery,False,"NVDA,HPQ,ATI","0.300,0.400,0.300",3
2006-11-30,0.06728390825687437,3.0812214375575575,recovery,False,"NVDA,HPQ,ATI","0.300,0.400,0.300",3
2006-12-29,0.022438232666787038,3.1503586010713662,recovery,False,"NVDA,HPQ,ATI","0.300,0.400,0.300",3
2007-01-31,0.011122644056158683,3.1853989184403413,recovery,False,"NVDA,HPQ,ATI","0.300,0.400,0.300",3
2007-02-28,-0.03628713275913671,3.069809924996086,recovery,False,"NVDA,HPQ,ATI","0.300,0.400,0.300",3
