entry_idx,entry_date,regime,picks,weights,initial_capital,nav,status,exit_date,exit_nav,return_pct
28,2006-01-31,recovery,"NVDA,CSX,WMB,EBAY","0.176,0.400,0.283,0.142",6.546129576931504,6.522576427747198,exited,2006-07-31,6.522576427747198,-0.3598026728237613
29,2006-02-28,recovery,"WMB,NVDA,ADM,CSX","0.270,0.158,0.172,0.400",6.206353901740239,7.255011802945603,exited,2006-08-31,7.255011802945603,16.896521175038437
30,2006-03-31,recovery,"NVDA,PEG,EXC,ADM","0.135,0.364,0.372,0.130",8.429218712365369,9.018586540999005,exited,2006-09-29,9.018586540999005,6.991962704313903
31,2006-04-28,recovery,"NVDA,CSX,BXP,PLD","0.115,0.309,0.220,0.356",8.002385967977789,9.226025620564016,exited,2006-10-31,9.226025620564016,15.290935197111487
32,2006-05-31,recovery,"NVDA,CSX,MCO,KIM","0.162,0.344,0.259,0.234",9.642412736217064,12.387273659567544,exited,2006-11-30,12.387273659567544,28.466536316587398
33,2006-06-30,recovery,"NVDA,CSX,ADM,HAS","0.143,0.343,0.201,0.313",8.553624707204282,10.41102426552277,exited,2006-12-29,10.41102426552277,21.71476563326533
34,2006-07-31,recovery,"AMZN,CSX,NVDA,WMB","0.142,0.400,0.171,0.287",7.522576427747198,9.357517024683867,exited,2007-01-31,9.357517024683867,24.39244871170001
35,2006-08-31,recovery,"CSX,MO,CNP,WMB","0.190,0.366,0.240,0.204",8.255011802945603,9.406409019037135,exited,2007-02-28,9.406409019037135,13.947856690897552
36,2006-09-29,recovery,"NVDA,HPQ,WMB,MO","0.104,0.268,0.228,0.400",10.018586540999005,11.383026679723166,exited,2007-03-30,11.383026679723166,13.619088213097431
37,2006-10-31,recovery,"NVDA,HPQ,T,MO","0.095,0.248,0.339,0.317",10.226025620564016,11.441894980748708,exited,2007-04-30,11.441894980748708,11.889950263175963
