K_normal,K_recovery,K_bull,conv,cash_crash,regime_mode,CAGR_pct,Sharpe,MaxDD_pct,Final_eq
10,7,3,True,False,trend_only,92.12,1.292,-57.33,1120847.9
10,5,3,True,False,trend_only,92.12,1.292,-57.33,1120847.9
5,5,3,True,False,default,91.86,1.136,-67.75,1089175.8
5,5,3,True,False,loose,91.86,1.136,-67.75,1089175.8
5,3,7,True,False,tight,91.78,1.104,-64.48,1079094.4
15,7,10,True,False,tight,91.19,1.308,-54.54,1010634.2
10,3,7,False,False,tight,91.12,1.3,-63.3,1002416.6
10,7,10,True,False,tight,90.69,1.28,-53.66,955356.5
7,7,10,True,False,tight,90.65,1.254,-58.29,951654.8
5,3,3,True,False,tight,90.55,1.094,-64.76,940419.1
15,7,7,True,False,tight,90.54,1.298,-54.99,939633.7
3,5,3,True,False,loose,90.43,1.048,-72.34,928571.0
5,5,3,True,False,trend_only,90.39,1.126,-67.75,924341.7
5,3,3,True,False,trend_only,90.39,1.126,-67.75,924341.7
5,7,3,True,False,trend_only,90.39,1.126,-67.75,924341.7
5,3,5,True,False,tight,90.13,1.093,-64.18,897802.6
7,7,5,True,False,loose,90.12,1.234,-58.29,896756.5
7,7,5,True,False,default,90.12,1.234,-58.29,896756.5
10,7,7,True,False,tight,90.04,1.27,-53.66,888239.5
7,3,10,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,7,10,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,7,7,True,False,trend_only,90.0,1.245,-58.29,884797.8
7,7,7,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,3,5,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,7,7,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,3,7,True,False,trend_only,90.0,1.245,-58.29,884797.8
7,3,7,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,3,7,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,5,3,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,5,5,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,5,10,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,7,10,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,7,5,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,7,7,True,False,default,90.0,1.245,-58.29,884797.8
7,7,7,True,False,tight,90.0,1.245,-58.29,884797.8
7,7,7,True,False,loose,90.0,1.245,-58.29,884797.8
7,7,3,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,7,3,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,5,7,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,3,3,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,7,5,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,5,7,True,False,trend_only,90.0,1.245,-58.29,884797.8
7,3,3,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,3,5,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,5,7,True,True,no_gate,90.0,1.245,-58.29,884797.8
7,3,10,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,5,3,True,False,no_gate,90.0,1.245,-58.29,884797.8
7,5,5,True,True,no_gate,90.0,1.245,-58.29,884797.8
15,5,10,True,False,tight,90.0,1.225,-55.76,884945.2
7,5,10,True,False,no_gate,90.0,1.245,-58.29,884797.8
3,5,3,True,False,default,89.89,1.06,-72.34,873680.2
3,3,7,False,False,tight,89.81,1.229,-62.45,865631.3
15,3,5,False,False,tight,89.58,1.292,-71.36,843393.5
10,5,10,True,False,tight,89.5,1.204,-53.66,836542.2
10,7,3,True,True,loose,89.48,1.282,-54.78,834482.5
7,5,10,True,False,tight,89.47,1.185,-58.29,833300.8
15,5,7,True,False,tight,89.36,1.217,-58.27,822774.8
15,5,7,False,False,tight,89.36,1.405,-53.39,823592.8
7,5,5,True,False,trend_only,89.33,1.227,-58.29,820536.0
7,3,5,True,False,trend_only,89.33,1.227,-58.29,820536.0
7,7,5,True,False,trend_only,89.33,1.227,-58.29,820536.0
15,7,3,True,False,tight,89.31,1.278,-58.74,818880.6
15,7,7,False,False,tight,89.28,1.511,-53.39,815897.0
5,7,5,True,False,loose,89.08,1.163,-63.4,797228.4
7,5,3,True,True,loose,89.07,1.18,-63.11,797071.8
5,7,7,True,False,loose,88.96,1.17,-62.22,786596.9
15,7,5,True,False,tight,88.9,1.28,-57.53,781771.8
10,5,7,True,False,tight,88.86,1.196,-56.37,777772.2
7,7,10,True,False,trend_only,88.85,1.248,-58.29,777054.6
3,5,3,True,True,loose,88.85,1.042,-72.34,777047.2
7,3,10,True,False,trend_only,88.85,1.248,-58.29,777054.6
7,5,10,True,False,trend_only,88.85,1.248,-58.29,777054.6
10,7,3,True,False,tight,88.82,1.252,-56.32,774091.1
7,5,7,True,False,tight,88.82,1.178,-59.93,774758.6
7,7,3,True,False,tight,88.78,1.228,-60.39,771091.7
5,7,5,True,False,default,88.74,1.193,-63.4,767736.1
15,7,3,True,False,loose,88.74,1.301,-56.82,767534.7
7,3,3,True,False,default,88.62,1.083,-70.11,757159.7
5,7,7,True,False,default,88.62,1.202,-62.22,757498.0
7,7,10,True,False,loose,88.51,1.245,-58.29,747939.2
7,7,10,True,False,default,88.51,1.245,-58.29,747939.2
10,7,5,True,False,tight,88.41,1.253,-55.03,739012.0
5,5,3,True,True,loose,88.38,1.125,-67.75,736953.3
10,5,3,True,False,default,88.37,1.152,-59.17,735983.6
7,7,5,True,False,tight,88.37,1.229,-59.22,736148.5
15,7,3,True,False,default,88.34,1.249,-56.82,733730.0
10,5,3,True,False,loose,88.33,1.207,-59.17,732784.0
15,5,3,True,False,trend_only,88.24,1.316,-57.28,724940.4
15,3,3,True,False,trend_only,88.24,1.316,-57.28,724940.4
15,7,3,True,False,trend_only,88.24,1.316,-57.28,724940.4
10,3,5,False,False,tight,88.17,1.268,-64.14,719972.0
15,5,3,True,False,tight,88.14,1.201,-62.39,717039.3
5,7,10,True,False,tight,88.06,1.173,-62.64,711026.0
10,5,7,False,False,tight,87.97,1.374,-47.2,703068.8
7,7,3,True,True,default,87.95,1.232,-61.84,701710.9
15,3,10,True,True,tight,87.94,1.15,-61.55,701040.2
15,3,10,False,False,tight,87.91,1.278,-70.69,698643.3
10,7,7,False,False,tight,87.88,1.472,-47.2,696499.2
7,3,3,True,False,loose,87.75,1.12,-70.11,686047.4
15,5,5,True,False,tight,87.73,1.201,-60.75,684545.6
3,7,5,True,False,loose,87.67,1.054,-68.61,679672.8
10,5,3,True,False,tight,87.64,1.181,-60.18,677820.1
7,5,3,True,False,tight,87.61,1.164,-63.89,675193.7
3,7,7,True,False,loose,87.55,1.056,-67.6,670609.0
5,7,10,True,False,loose,87.47,1.167,-61.63,664927.8
5,7,7,True,False,tight,87.42,1.167,-62.64,661074.0
15,3,7,True,True,tight,87.3,1.143,-62.1,651789.7
5,3,3,True,False,default,87.25,1.061,-70.35,648223.7
10,5,5,True,False,tight,87.24,1.181,-58.44,647103.6
7,5,5,True,False,tight,87.2,1.164,-62.31,644596.3
3,3,10,True,False,tight,87.16,1.015,-76.24,641730.8
5,7,10,True,False,default,87.14,1.2,-61.63,640329.8
5,3,7,False,False,tight,87.1,1.269,-60.51,636889.6
10,5,7,True,False,trend_only,87.0,1.31,-53.66,629730.0
10,7,7,True,False,trend_only,87.0,1.31,-53.66,629730.0
10,3,7,True,False,trend_only,87.0,1.31,-53.66,629730.0
5,5,10,True,False,tight,86.9,1.12,-62.64,622598.2
10,3,10,True,True,tight,86.89,1.139,-60.56,622143.4
3,3,5,False,False,tight,86.89,1.202,-63.31,621727.8
3,7,5,True,False,default,86.8,1.088,-68.61,615838.1
5,3,3,True,False,loose,86.72,1.076,-70.35,609905.2
3,7,7,True,False,default,86.68,1.092,-67.6,607625.5
3,5,7,False,False,tight,86.68,1.278,-46.91,607131.2
3,7,7,False,False,tight,86.6,1.348,-46.91,601458.1
10,3,10,False,False,tight,86.52,1.255,-63.3,596404.4
3,3,7,True,False,tight,86.52,1.012,-76.36,596647.0
15,5,5,False,False,tight,86.45,1.366,-53.39,591534.2
15,7,5,False,False,tight,86.37,1.464,-53.39,586006.8
10,7,5,True,False,trend_only,86.34,1.285,-53.8,583993.5
10,5,5,True,False,trend_only,86.34,1.285,-53.8,583993.5
10,3,5,True,False,trend_only,86.34,1.285,-53.8,583993.5
7,7,5,True,True,loose,86.33,1.227,-58.29,583421.2
5,5,7,True,False,tight,86.26,1.114,-62.64,578858.5
10,3,7,True,True,tight,86.25,1.133,-60.91,578435.7
5,7,3,True,False,tight,86.22,1.153,-62.8,576118.8
7,7,7,True,True,loose,86.21,1.239,-58.29,575640.9
3,7,5,True,True,loose,86.11,1.049,-68.61,568764.1
15,3,3,True,True,tight,86.1,1.13,-62.55,568027.7
3,7,10,True,False,loose,86.08,1.049,-67.1,566880.6
3,7,3,False,False,loose,86.01,1.213,-61.46,562784.5
7,5,5,True,False,default,86.01,1.132,-62.35,562543.9
3,7,7,True,True,loose,85.99,1.051,-67.6,561179.3
7,5,7,True,False,default,85.89,1.138,-62.35,555042.1
10,7,10,True,False,trend_only,85.86,1.319,-53.66,553046.8
10,5,10,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,5,7,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,5,10,True,False,trend_only,85.86,1.319,-53.66,553046.8
10,5,7,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,5,10,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,5,3,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,5,3,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,3,5,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,3,10,True,False,trend_only,85.86,1.319,-53.66,553046.8
10,3,10,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,5,5,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,5,5,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,7,7,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,3,5,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,3,3,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,3,3,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,3,7,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,3,10,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,3,7,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,7,7,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,7,5,True,True,no_gate,85.86,1.319,-53.66,553046.8
7,3,10,True,True,tight,85.86,1.125,-60.97,553131.8
10,7,10,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,7,3,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,7,5,True,False,no_gate,85.86,1.319,-53.66,553046.8
10,7,10,True,True,no_gate,85.86,1.319,-53.66,553046.8
10,7,3,True,False,no_gate,85.86,1.319,-53.66,553046.8
5,7,3,True,True,default,85.85,1.198,-66.64,552069.7
5,7,5,True,False,tight,85.81,1.153,-62.64,550011.1
3,7,5,False,False,loose,85.71,1.223,-48.44,543484.6
15,3,5,True,True,tight,85.69,1.13,-61.08,542286.7
7,5,5,True,False,loose,85.68,1.16,-62.35,541733.5
5,7,5,True,True,loose,85.65,1.155,-63.4,539417.2
3,7,3,False,False,default,85.61,1.285,-61.46,537269.5
10,7,5,True,False,loose,85.6,1.268,-54.78,536365.4
3,7,7,False,False,loose,85.6,1.226,-48.44,536821.0
7,5,7,True,False,loose,85.57,1.167,-62.35,534509.1
5,7,7,True,True,loose,85.53,1.163,-62.22,532223.7
15,7,3,True,True,loose,85.51,1.293,-56.82,531356.9
10,7,7,True,False,loose,85.48,1.283,-54.78,529212.7
3,7,10,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,3,3,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,3,5,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,7,10,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,5,10,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,7,3,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,5,10,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,7,5,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,7,5,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,7,7,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,7,3,True,False,trend_only,85.33,1.005,-75.9,519971.4
3,7,7,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,3,5,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,3,10,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,3,3,True,False,loose,85.33,1.005,-75.9,519971.4
3,3,3,True,False,default,85.33,1.005,-75.9,519971.4
3,7,3,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,5,3,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,5,3,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,3,10,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,5,7,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,5,7,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,5,5,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,5,3,True,False,trend_only,85.33,1.005,-75.9,519971.4
3,3,3,True,False,trend_only,85.33,1.005,-75.9,519971.4
3,3,3,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,3,7,True,True,no_gate,85.33,1.005,-75.9,519971.4
3,3,7,True,False,no_gate,85.33,1.005,-75.9,519971.4
3,3,3,True,False,tight,85.33,1.005,-75.9,519971.4
3,5,5,True,False,no_gate,85.33,1.005,-75.9,519971.4
5,3,7,True,False,trend_only,85.32,1.113,-63.47,519326.2
5,5,7,True,False,trend_only,85.32,1.113,-63.47,519326.2
5,7,7,True,False,trend_only,85.32,1.113,-63.47,519326.2
3,7,5,False,False,default,85.31,1.301,-48.44,518844.5
10,7,5,True,False,default,85.31,1.232,-54.78,518778.7
3,3,10,False,False,tight,85.24,1.189,-62.45,515021.7
7,3,7,True,True,tight,85.23,1.119,-61.16,514272.4
3,7,10,True,False,default,85.22,1.086,-67.1,513639.3
3,7,7,False,False,default,85.2,1.307,-48.44,512483.1
10,7,7,True,False,default,85.19,1.245,-54.78,511860.5
10,5,5,False,False,tight,85.07,1.336,-47.2,504969.6
10,3,3,True,True,tight,85.06,1.12,-61.38,504100.5
5,5,3,True,False,tight,85.06,1.103,-66.09,504469.0
10,5,3,True,True,loose,85.06,1.197,-59.17,504113.5
15,3,3,False,False,tight,85.02,1.25,-71.87,502007.1
10,7,5,False,False,tight,84.99,1.428,-47.2,500251.0
3,3,5,True,False,tight,84.92,1.003,-75.76,496408.1
15,5,10,False,False,tight,84.81,1.352,-53.39,490010.2
7,7,10,True,True,loose,84.75,1.24,-58.29,486602.1
15,7,10,False,False,tight,84.73,1.451,-53.39,485431.4
5,7,10,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,7,5,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,7,5,True,False,trend_only,84.66,1.102,-64.61,481608.2
5,5,7,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,5,10,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,5,5,True,False,trend_only,84.66,1.102,-64.61,481608.2
5,3,5,True,False,trend_only,84.66,1.102,-64.61,481608.2
5,3,5,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,3,7,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,3,7,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,3,10,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,7,5,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,7,7,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,7,7,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,5,3,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,5,5,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,7,3,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,7,3,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,5,7,True,True,no_gate,84.66,1.102,-64.61,481608.2
10,3,5,True,True,tight,84.66,1.12,-60.26,481256.4
5,3,10,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,3,5,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,5,10,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,5,5,True,False,tight,84.66,1.102,-64.61,481608.2
5,3,3,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,7,10,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,3,3,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,5,5,True,False,loose,84.66,1.102,-64.61,481608.2
5,5,5,True,True,no_gate,84.66,1.102,-64.61,481608.2
5,5,5,True,False,default,84.66,1.102,-64.61,481608.2
5,5,3,True,False,no_gate,84.66,1.102,-64.61,481608.2
5,5,7,True,False,default,84.55,1.107,-63.47,475185.7
5,5,7,True,False,loose,84.55,1.107,-63.47,475185.7
3,7,10,True,True,loose,84.53,1.044,-67.1,474377.3
7,5,10,True,False,default,84.44,1.134,-62.35,469189.4
10,7,3,True,True,default,84.4,1.229,-54.46,467231.5
15,5,3,True,False,loose,84.33,1.21,-60.59,463670.1
15,5,3,True,False,default,84.27,1.138,-60.59,460275.8
5,3,5,False,False,tight,84.22,1.238,-60.51,457437.2
5,7,10,True,False,trend_only,84.19,1.11,-62.9,456087.1
3,7,3,True,True,default,84.19,1.137,-71.39,456277.7
5,5,10,True,False,trend_only,84.19,1.11,-62.9,456087.1
5,3,10,True,False,trend_only,84.19,1.11,-62.9,456087.1
7,5,10,True,False,loose,84.11,1.165,-62.35,451832.4
3,5,3,False,False,default,84.08,1.228,-61.46,450107.4
5,7,10,True,True,loose,84.07,1.16,-61.63,449900.5
7,3,3,True,True,tight,84.04,1.107,-62.46,448182.8
10,7,10,True,False,loose,84.02,1.287,-54.78,447355.2
5,5,7,False,False,tight,84.01,1.341,-50.35,446697.7
7,3,3,True,True,loose,84.0,1.106,-70.11,446335.9
7,3,7,False,False,tight,83.96,1.254,-60.6,443822.7
5,7,7,False,False,tight,83.93,1.436,-50.54,442523.7
5,7,3,False,False,loose,83.9,1.314,-56.82,441091.8
15,3,7,False,True,tight,83.9,1.271,-70.69,441053.4
7,5,3,True,True,default,83.88,1.127,-63.11,440189.9
10,3,3,True,False,default,83.84,1.065,-67.6,438021.1
3,5,5,False,False,tight,83.8,1.246,-46.91,436063.7
3,3,3,True,True,loose,83.78,0.998,-75.9,435122.7
3,5,5,False,False,default,83.78,1.24,-52.61,434671.5
10,7,10,True,False,default,83.74,1.247,-54.78,432687.0
3,7,5,False,False,tight,83.72,1.311,-46.91,431989.0
3,5,7,False,False,default,83.67,1.244,-52.61,429342.1
15,7,10,True,True,tight,83.67,1.28,-51.89,429470.7
10,3,3,False,False,tight,83.65,1.227,-64.77,428543.8
7,3,5,True,True,tight,83.64,1.106,-60.83,427872.7
5,7,5,False,False,loose,83.6,1.336,-47.4,425965.1
10,3,7,False,True,tight,83.59,1.259,-63.3,425597.5
3,5,3,False,False,loose,83.56,1.188,-61.46,423886.1
5,7,7,False,False,loose,83.5,1.343,-47.4,420742.5
10,5,10,False,False,tight,83.45,1.322,-47.2,418302.5
10,7,10,False,False,tight,83.36,1.414,-47.2,414393.8
5,3,3,True,True,loose,83.33,1.063,-70.35,412671.4
3,5,5,True,False,loose,83.29,1.011,-69.66,410592.5
10,3,3,True,False,loose,83.28,1.126,-67.6,410336.7
3,5,5,False,False,loose,83.26,1.198,-52.61,409349.5
15,5,7,True,False,trend_only,83.22,1.35,-54.54,407295.9
15,3,7,True,False,trend_only,83.22,1.35,-54.54,407295.9
15,7,7,True,False,trend_only,83.22,1.35,-54.54,407295.9
3,5,7,True,False,loose,83.17,1.012,-68.68,405117.0
3,5,7,False,False,loose,83.15,1.2,-52.61,404330.6
5,3,10,True,True,tight,83.11,1.076,-63.38,402189.9
5,5,10,True,False,default,83.1,1.102,-62.9,401685.0
5,5,10,True,False,loose,83.1,1.102,-62.9,401685.0
15,7,7,True,True,tight,83.05,1.268,-54.99,399298.9
5,7,3,False,False,default,82.99,1.358,-56.82,396562.9
3,7,10,True,False,tight,82.91,1.038,-71.66,393136.6
3,5,5,True,False,default,82.76,1.024,-69.66,386321.1
3,5,7,False,False,trend_only,82.72,1.182,-67.63,384351.6
3,7,7,False,False,trend_only,82.72,1.182,-67.63,384351.6
3,3,7,False,False,trend_only,82.72,1.182,-67.63,384351.6
5,7,5,False,False,default,82.69,1.385,-47.4,382963.3
3,5,7,True,False,default,82.65,1.026,-68.68,381169.3
10,7,10,True,True,tight,82.65,1.263,-49.06,381137.0
5,3,10,False,False,tight,82.6,1.225,-60.51,378928.0
5,7,7,False,False,default,82.58,1.395,-47.4,378267.9
15,3,5,True,False,trend_only,82.57,1.318,-54.54,377714.5
15,5,5,True,False,trend_only,82.57,1.318,-54.54,377714.5
15,7,5,True,False,trend_only,82.57,1.318,-54.54,377714.5
15,5,10,True,True,tight,82.53,1.19,-55.76,376058.9
5,3,7,True,True,tight,82.48,1.072,-63.56,373934.7
3,3,3,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,3,7,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,3,5,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,3,7,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,3,5,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,3,3,False,False,trend_only,82.4,1.165,-63.96,370066.6
3,3,3,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,3,3,False,False,default,82.4,1.165,-63.96,370066.6
3,7,5,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,7,10,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,7,7,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,7,10,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,5,10,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,5,7,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,7,3,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,7,5,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,7,7,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,3,3,False,False,tight,82.4,1.165,-63.96,370066.6
3,3,3,False,False,loose,82.4,1.165,-63.96,370066.6
3,5,3,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,5,5,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,5,3,False,False,trend_only,82.4,1.165,-63.96,370066.6
3,5,10,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,7,3,False,False,trend_only,82.4,1.165,-63.96,370066.6
3,5,7,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,7,3,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,3,10,False,False,no_gate,82.4,1.165,-63.96,370066.6
3,5,3,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,3,10,False,True,no_gate,82.4,1.165,-63.96,370066.6
3,5,5,False,True,no_gate,82.4,1.165,-63.96,370066.6
10,7,5,True,True,loose,82.37,1.262,-54.78,368988.7
3,7,7,True,False,tight,82.29,1.034,-71.66,365517.4
10,7,7,True,True,loose,82.26,1.278,-54.78,364068.1
3,5,10,False,False,tight,82.19,1.233,-46.91,361222.8
3,7,10,False,False,loose,82.15,1.203,-48.44,359510.0
3,7,10,False,False,tight,82.11,1.297,-46.91,357847.5
3,7,3,False,True,loose,82.11,1.21,-61.46,357863.4
15,5,10,True,False,trend_only,82.1,1.365,-54.54,357698.9
3,3,5,False,False,default,82.1,1.173,-67.5,357375.7
3,3,5,False,False,loose,82.1,1.173,-67.5,357375.7
15,7,10,True,False,trend_only,82.1,1.365,-54.54,357698.9
15,3,10,True,False,trend_only,82.1,1.365,-54.54,357698.9
3,7,5,False,False,trend_only,82.08,1.173,-67.5,356838.2
3,5,5,False,False,trend_only,82.08,1.173,-67.5,356838.2
3,3,5,False,False,trend_only,82.08,1.173,-67.5,356838.2
10,7,7,True,True,tight,82.02,1.252,-52.34,354360.8
3,3,7,False,False,default,81.99,1.175,-67.63,352994.0
3,3,7,False,False,loose,81.99,1.175,-67.63,352994.0
7,5,5,True,True,loose,81.98,1.149,-62.35,352446.6
15,5,3,False,False,tight,81.97,1.316,-53.75,352094.7
15,5,7,True,True,tight,81.91,1.181,-58.27,349639.5
15,7,3,False,False,tight,81.89,1.407,-53.39,348804.7
15,7,3,True,True,tight,81.87,1.247,-58.74,347984.7
7,5,7,True,True,loose,81.86,1.157,-62.35,347746.5
5,5,3,True,True,default,81.83,1.101,-67.75,346318.6
15,7,3,True,True,default,81.83,1.218,-56.82,346302.0
3,7,5,False,True,loose,81.81,1.222,-48.44,345590.9
5,7,7,False,False,trend_only,81.81,1.318,-50.35,345571.9
5,3,7,False,False,trend_only,81.81,1.318,-50.35,345571.9
5,5,7,False,False,trend_only,81.81,1.318,-50.35,345571.9
3,5,10,True,False,tight,81.78,1.007,-71.66,344243.6
3,5,5,True,True,loose,81.76,1.005,-69.66,343592.2
3,7,10,False,False,default,81.75,1.283,-48.44,343210.8
3,5,10,True,False,loose,81.73,1.005,-68.19,342454.4
3,7,7,False,True,loose,81.71,1.226,-48.44,341353.7
15,7,5,True,False,loose,81.66,1.284,-56.35,339386.0
3,5,7,True,True,loose,81.65,1.006,-68.68,339010.2
7,7,10,True,True,tight,81.64,1.238,-53.81,338859.2
15,7,7,True,False,loose,81.54,1.302,-56.35,334860.1
7,3,5,True,False,default,81.54,1.047,-70.11,334798.4
10,5,10,True,True,tight,81.51,1.176,-53.15,333736.3
