key,n_splits_in_train_top20,n_splits_with_test_data,mean_test_cagr,median_test_cagr,min_test_cagr,max_test_cagr,mean_test_edge,min_test_edge,mean_test_win
quality_pullback::3::hold_forever,6,8,0.3850202271455362,0.48741774965996765,-0.0005819095155646536,0.6433275905126414,0.24399512155407915,-0.10542969438220788,0.39985627552116915
pullback_in_winner::3::fixed_5y,1,8,0.3683599540486693,0.44612489028537866,-0.07485278286636715,0.5980832591858116,0.22733484845721222,-0.17970056773301038,0.4055828676839315
pullback_in_winner::3::hold_forever,6,8,0.36650582276430743,0.44612489028537866,-0.08851143076276095,0.5980832591858116,0.22548071717285045,-0.19335921562940417,0.4009084640733577
dual_momentum::1::fixed_2y,1,8,0.3443358822344702,0.28860442549644216,0.015402424912958885,0.6515557857223042,0.20331077664301317,-0.1313736563717301,0.7047402213625618
quality_pullback::3::stop_30,4,8,0.32416190954586666,0.34763521942953207,-0.021422248635000207,0.6309682509029164,0.1831368039544096,-0.12627003350164342,0.24650091338921126
dual_momentum::1::fixed_5y,5,8,0.31393947199264227,0.2683662971073968,0.08626273644460095,0.5570406394771493,0.1729143664011853,-0.060513344840088024,0.6839068880292285
blended_pullback_momentum::3::stop_30,4,8,0.31143093668368704,0.32896687442458294,-0.046136924057253705,0.6195265947110911,0.17040583109223,-0.15098470892389693,0.229202485851422
dual_momentum::1::fixed_3y,6,8,0.3033793830140443,0.2539312188822693,-0.006527490445114214,0.5540445949032756,0.1623542774225873,-0.1533035717298032,0.6673584246722545
pullback_in_winner::3::stop_30,6,8,0.2913174432967994,0.3177921412882488,-0.05718918269048746,0.612212171050391,0.15029233770534237,-0.16203696755713068,0.21411141557418154
quality_pullback::5::hold_forever,6,8,0.27686620866775086,0.3446515227825671,-0.022713004816406143,0.4572900979416174,0.13584110307629382,-0.12756078968304949,0.4087389856006878
blended_pullback_momentum::5::hold_forever,6,8,0.2766880173626789,0.31432254070654786,-0.012367633204772783,0.43515681792865735,0.13566291177122186,-0.11721541807141612,0.4475338491295938
dual_momentum::3::fixed_5y,3,8,0.2756611768797925,0.2744745878972974,0.06484598699643489,0.44798963977588413,0.13463607128833546,-0.08193009428825405,0.565029729923347
pullback_in_winner::5::hold_forever,6,8,0.27365465042468684,0.32586692425164443,-0.028912324103196347,0.4586876507429632,0.1326295448332298,-0.1337601089698397,0.4057355469589512
dual_momentum::3::fixed_3y,3,8,0.26608422619551264,0.26605220308007443,-0.014974349567117537,0.46575236026920364,0.12505912060405555,-0.1617504308518065,0.5537422093273158
quality_pullback::5::stop_30,2,8,0.21997132326175733,0.23443352861214867,-0.03280015346944714,0.44720059449331173,0.07894621767030034,-0.1376479383360905,0.2481315817751988
blended_pullback_momentum::5::stop_30,1,8,0.20640504827383077,0.2216095871295691,-0.059858844701963364,0.4307109224401814,0.06537994268237377,-0.1647066295686067,0.24456936385127875
pullback_in_winner::5::stop_30,3,8,0.20568409484575928,0.2135293285379759,-0.033834934950851145,0.45112695437981415,0.06465898925430226,-0.13868271981749447,0.2464821083172147
low_vol_trend::1::hold_forever,2,8,0.10024464851549078,0.09449294546030837,0.052000276184334594,0.15597002382361194,-0.040780457075966246,-0.11983259819572398,0.7392408123791103
low_vol_trend::1::fixed_5y,2,8,0.09887218384788476,0.09273382730485838,0.052000276184334594,0.15377724436404322,-0.042152921743572255,-0.11983259819572398,0.7392408123791103
low_vol_trend::1::trail_50,2,8,0.09768051606014225,0.09114529541565992,0.052000276184334594,0.15377724436404322,-0.04334458953131477,-0.11983259819572398,0.7225580270793037
low_vol_trend::1::trail50_or_5y,2,8,0.09626400385475974,0.09114529541565992,0.052000276184334594,0.15377724436404322,-0.04476110173669729,-0.11983259819572398,0.7225580270793037
low_vol_trend::1::stop_30,1,8,0.07904121971013518,0.07177617832267409,0.0363015736784657,0.14671742784678285,-0.06198388588132184,-0.12528568618436534,0.6611460348162477
