strategy,exit,n_picks,win_rate,win_rate_bias_corr,beat_spy_rate,median_ret,mean_ret,p10_ret,p90_ret,per_pick_cagr_median,cagr_dca_portfolio,cagr_spy_dca,edge_vs_spy_dca,mean_ret_bias_corr,top_k
low_vol_trend,trail_50,36,0.6666666666666666,0.5,0.2777777777777778,0.8418409652805974,1.685310190179108,-0.3914688215816191,6.701794485122447,0.08026955275243164,0.1580144708423321,0.1422747794018214,0.01573969144051071,1.136300501187892,1
low_vol_trend,stop_30,36,0.5,0.3888888888888889,0.2777777777777778,0.05808566996416614,1.536876066591213,-0.35354393345740587,6.701794485122447,-0.12287065734630859,0.14834981929400373,0.1422747794018214,0.006075039892182332,1.1049842245004604,1
low_vol_trend,trail35_or_3y,36,0.4166666666666667,0.3333333333333333,0.1388888888888889,-0.137225705582934,0.2461773436919198,-0.35407912296522626,1.5665249640934777,-0.08900044784576966,0.03344153184059333,0.1422747794018214,-0.10883324756122807,-0.02627253508920968,1
low_vol_trend,trail50_or_5y,36,0.6388888888888888,0.5138888888888888,0.3055555555555556,0.4479355218275288,1.651086067874662,-0.3914688215816191,6.9876818153040805,0.07683471882268622,0.15582805959300924,0.1422747794018214,0.013553280191187844,1.1188331929208235,1
low_vol_trend,tp100,36,0.8611111111111112,0.6666666666666666,0.05555555555555555,1.0051975879426285,0.6219296341027353,-0.0333916315754233,1.0615803988303991,0.13094588797241857,0.07479016964123889,0.1422747794018214,-0.06748460976058251,0.23617018160989656,1
low_vol_trend,tp200,36,0.8611111111111112,0.6666666666666666,0.3888888888888889,1.1289006013823093,1.0472726056919606,-0.0333916315754233,2.0880548634651497,0.10546649787580265,0.11254774243884318,0.1422747794018214,-0.029727036962978223,0.6133040912995935,1
pullback_in_winner,hold_forever,36,0.6111111111111112,0.4722222222222222,0.5,2.477703709766809,4.1203460950811355,-0.2922696177636017,9.317563474678344,0.19934155002238074,0.2729075667796394,0.1422747794018214,0.130632787377818,2.999207961987655,1
pullback_in_winner,fixed_1y,36,0.7777777777777778,0.6111111111111112,0.3333333333333333,0.5850919165819023,1.0615377717919152,-0.3406054422748229,3.3867626741146135,0.5850919165819023,0.11369137471134393,0.1422747794018214,-0.028583404690477474,0.5781017179845106,1
pullback_in_winner,fixed_2y,36,0.8333333333333334,0.6388888888888888,0.5,1.3808347493117383,2.1067538129594294,-0.09610730761269709,4.709581452425372,0.5427383499172955,0.1831239972768977,0.1422747794018214,0.04084921787507631,1.4658745736509116,1
pullback_in_winner,fixed_3y,36,0.7777777777777778,0.5833333333333334,0.5555555555555556,1.8093706728412766,2.7447072512755386,-0.499625261965937,7.139266393968448,0.410963303847513,0.21600083336497697,0.1422747794018214,0.07372605396315557,1.8315641280642079,1
pullback_in_winner,fixed_5y,36,0.6388888888888888,0.4722222222222222,0.3888888888888889,0.7416791685437776,2.330421990188924,-0.37967111344059357,8.522424406537898,0.11733125899709418,0.19526816113797985,0.1422747794018214,0.052993381736158446,1.5805096649789867,1
pullback_in_winner,trail_25,36,0.4166666666666667,0.3333333333333333,0.1388888888888889,-0.11158386159896239,0.23433802121672784,-0.28729343881428415,1.617676414546136,-0.3498840647996211,0.03197067461362406,0.1422747794018214,-0.11030410478819734,-0.030721953119633567,1
pullback_in_winner,trail_35,36,0.3888888888888889,0.3055555555555556,0.1388888888888889,-0.22477454535499342,0.16878164873143028,-0.3731274524113427,1.3375014553704707,-0.29723479838938716,0.02359759575815145,0.1422747794018214,-0.11867718364366994,-0.07348426799092743,1
