asof,ticker,score,entry_px
2006-05-31,ACAD,1.0,10.359999656677246
2006-06-30,ACAD,1.0,8.4399995803833
2006-07-31,ACAD,1.0,6.429999828338623
2006-08-31,MED,1.0,8.993042945861816
2006-09-29,MED,1.0,6.570674419403076
2006-10-31,NBIX,1.0,11.038727147775244
2006-11-30,MNST,1.0,2.351326286139239
2006-12-29,SNEX,1.0,8.506667137145996
2007-01-31,CFC,1.0,11.25
2007-02-28,MED,1.0,6.449555397033691
2007-03-30,CFC,1.0,112.0
2007-04-30,SNEX,1.0,6.758519172668457
2007-05-31,CFC,1.0,114.0
2007-06-29,GIII,1.0,7.840322971343994
2007-07-31,UVE,1.0,2.0531606674194336
2007-08-31,CFC,1.0,133.0
2007-09-28,CFC,1.0,138.0
2007-10-31,RDN,1.0,10.077518463134766
2007-11-30,MNST,1.0,3.6285482299272145
2007-12-31,CFC,1.0,54.0
2008-01-31,MOS,1.0,66.67403551747987
2008-02-29,BIDU,1.0,25.132999420166016
2008-03-31,BIDU,1.0,23.96299934387207
2008-04-30,ISRG,1.0,32.088225338731725
2008-05-30,CFC,1.0,115.0
2008-06-30,MA,1.0,24.125022269208777
2008-07-31,MOS,1.0,93.27619525156116
2008-08-29,MOS,1.0,78.30247269847683
2008-09-30,CFC,1.0,88.0
2008-10-31,CLF,1.0,24.864380728317652
2008-11-28,ICL,1.0,3.8471107482910156
2008-12-31,CLF,1.0,23.689661199354823
2009-01-30,CLF,1.0,21.432622740351995
2009-02-27,SITC,1.0,0.07155213505029678
2009-03-31,AVAV,1.0,20.899999618530273
2009-04-30,SDS,1.0,20599.466796875
2009-05-29,CLF,1.0,25.334356869652378
2009-06-30,CLF,1.0,22.749781458025616
2009-07-31,HWKN,1.0,6.987159252166748
2009-08-31,CLF,1.0,23.56624491033914
2009-09-30,SDS,1.0,13065.5224609375
2009-10-30,HURN,1.0,23.200000762939453
2009-11-30,HURN,1.0,22.799999237060547
2009-12-31,SWBI,1.0,2.5947961807250977
2010-01-29,SITC,1.0,0.8147088885307312
2010-02-26,CENX,1.0,12.180000305175781
2010-03-31,SWBI,1.0,2.4044692516326904
2010-04-30,TIE,1.0,15.420000076293945
2010-05-31,VHI,1.0,51.3991584777832
2010-06-30,TIE,1.0,26300.0
2010-07-30,TIE,1.0,25100.0
2010-08-31,TIE,1.0,21500.0
2010-09-30,VHI,1.0,58.879188537597656
2010-10-29,TIE,1.0,20000.0
2010-11-30,TIE,1.0,18800.0
2010-12-31,TIE,1.0,18800.0
2011-01-31,STRA,1.0,88.08068084716797
2011-02-28,NFLX,1.0,2.9296813426792445
2011-03-31,NOG,1.0,216.76014709472656
2011-04-29,TROO,1.0,14.119999885559082
2011-05-31,NOG,1.0,163.17897033691406
2011-06-30,OLED,1.0,34.84051930293617
2011-07-29,TNA,1.0,16.892929077148438
2011-08-31,TNA,1.0,11.36340618133545
2011-09-30,TNA,1.0,7.66698694229126
2011-10-31,CROX,1.0,17.860157530482446
2011-11-30,TNA,1.0,10.417810440063477
2011-12-30,BIDU,1.0,116.47000122070312
2012-01-31,CTRA,1.0,11.338851882163791
2012-02-29,GNRC,1.0,16.74941086338937
2012-03-30,DECK,1.0,10.519998564344771
2012-04-30,MITK,1.0,5.659999847412109
2012-05-31,TRNS,1.0,7.949999809265137
2012-06-29,SGI,1.0,5.475514311689399
2012-07-31,DECK,1.0,6.959383915342863
2012-08-31,MNST,1.0,9.853334108328253
2012-09-28,DECK,1.0,6.113446086262353
2012-10-31,HCI,1.0,14.991098403930664
2012-11-30,MITK,1.0,2.380000114440918
2012-12-31,RGR,1.0,27.89407730102539
2013-01-31,AAPL,1.0,13.912322806602374
2013-02-28,GNRC,1.0,30.216873321283312
2013-03-28,MNST,1.0,7.980967306629839
2013-04-30,RGLD,1.0,47.80325282369597
2013-05-31,RGLD,1.0,47.09797294308003
2013-06-28,RGLD,1.0,36.19216630422482
2013-07-31,AGNC,1.0,4.609149936184884
2013-08-30,ABEV,1.0,4.321983814239502
2013-09-30,RGLD,1.0,42.04281215391928
2013-10-31,ACAD,1.0,22.729999542236328
2013-11-29,TSLA,1.0,8.55173291056839
2013-12-31,OSIS,1.0,53.11000061035156
2014-01-31,NUS,1.0,57.496559143066406
2014-02-28,KOF,1.0,65.3723373413086
2014-03-31,TSLA,1.0,14.005410781681162
2014-04-30,VIPS,1.0,12.650064468383789
2014-05-30,CORT,1.0,2.28017863912546
2014-06-30,VHI,1.0,58.70938491821289
2014-07-31,VHI,1.0,60.17251968383789
2014-08-29,MITK,1.0,2.4700000286102295
2014-09-30,VIPS,1.0,17.055341720581055
2014-10-31,TVTX,1.0,9.680000305175781
2014-11-30,TVTX,1.0,10.100000381469727
2014-12-31,WLDN,1.0,13.489999771118164
2015-01-31,OSPN,1.0,20.57080841064453
2015-02-28,CHRD,1.0,8.139219963609152
2015-03-31,ACAD,1.0,32.59000015258789
