window,strategy,top_k,exit,n_picks,win_rate,median_ret,mean_ret,cagr_dca,cagr_spy_dca,edge
2018-2024 (RECENT),grand_ensemble,2,hold_forever,168,0.5714285714285714,0.2610874034903061,0.6281363223935783,0.10223481005031687,0.16316813736147104,-0.06093332731115417
2018-2024 (RECENT),grand_ensemble,2,fixed_3y,168,0.6130952380952381,0.251982166422853,0.5894213221201853,0.09714027977513216,0.16316813736147104,-0.06602785758633888
2018-2024 (RECENT),grand_ensemble,3,hold_forever,252,0.5674603174603174,0.18248170417564757,0.5773942624350761,0.095533469548477,0.16316813736147107,-0.06763466781299407
2018-2024 (RECENT),grand_ensemble,3,fixed_3y,252,0.6150793650793651,0.23450291890088504,0.5769034418640582,0.09546764765394392,0.16316813736147107,-0.06770048970752715
2018-2024 (RECENT),strategy_rotation,5,hold_forever,415,0.4891566265060241,-0.0834316560036833,1.8082143135083169,0.21856444678188147,0.1626649897218973,0.05589945705998417
2018-2024 (RECENT),strategy_rotation,5,fixed_3y,415,0.5253012048192771,0.08010131432295275,1.5705889067168952,0.1994086916540968,0.1626649897218973,0.0367437019321995
2018-2024 (RECENT),strategy_rotation,3,hold_forever,249,0.4457831325301205,-0.16568046790883384,1.9166445445417428,0.22680359523407642,0.1626649897218975,0.06413860551217893
2018-2024 (RECENT),strategy_rotation,3,fixed_3y,249,0.4578313253012048,-0.17632893420033457,1.6686235665356492,0.2075056467724906,0.1626649897218975,0.04484065705059309
2018-2024 (RECENT),diamond_ensemble,1,hold_forever,84,0.40476190476190477,-0.23346329371162278,0.3067591222579962,0.05588030749258209,0.163168137361471,-0.10728782986888892
2018-2024 (RECENT),diamond_ensemble,1,fixed_3y,84,0.5357142857142857,0.04726926084504535,0.426221698897542,0.0742712014888922,0.163168137361471,-0.08889693587257881
