ticker,name,sector,asset_class,weight_pct
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Equity,0.14
GD,GENERAL DYNAMICS CORP,Industrials,Equity,0.14
FCX,FREEPORT MCMORAN INC,Materials,Equity,0.14
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity,0.14
WMB,WILLIAMS INC,Energy,Equity,0.14
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Equity,0.14
USB,US BANCORP,Financials,Equity,0.14
EMR,EMERSON ELECTRIC,Industrials,Equity,0.13
WM,WASTE MANAGEMENT INC,Industrials,Equity,0.13
SLB,SLB NV,Energy,Equity,0.13
MRSH,MARSH INC,Financials,Equity,0.13
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,0.13
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,0.13
FDX,FEDEX CORP,Industrials,Equity,0.13
CSX,CSX CORP,Industrials,Equity,0.13
ELV,ELEVANCE HEALTH INC,Health Care,Equity,0.13
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,0.13
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,0.12
ROST,ROSS STORES INC,Consumer Discretionary,Equity,0.12
NXPI,NXP SEMICONDUCTORS NV,Information Technology,Equity,0.12
SHW,SHERWIN WILLIAMS,Materials,Equity,0.12
MMM,3M,Industrials,Equity,0.12
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,Equity,0.12
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,0.12
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,0.12
CI,CIGNA,Health Care,Equity,0.12
CRH,CRH PUBLIC LIMITED PLC,Materials,Equity,0.12
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,0.12
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,0.12
CIEN,CIENA CORP,Information Technology,Equity,0.12
TDG,TRANSDIGM GROUP INC,Industrials,Equity,0.11
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,0.11
NSC,NORFOLK SOUTHERN CORP,Industrials,Equity,0.11
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,0.11
MCO,MOODYS CORP,Financials,Equity,0.11
GM,GENERAL MOTORS,Consumer Discretionary,Equity,0.11
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,0.11
KKR,KKR AND CO INC,Financials,Equity,0.11
FIX,COMFORT SYSTEMS USA INC,Industrials,Equity,0.11
PSX,PHILLIPS 66,Energy,Equity,0.11
FTNT,FORTINET INC,Information Technology,Equity,0.11
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,0.11
HCA,HCA HEALTHCARE INC,Health Care,Equity,0.11
ITW,ILLINOIS TOOL INC,Industrials,Equity,0.11
AON,AON PLC CLASS A,Financials,Equity,0.11
MPC,MARATHON PETROLEUM CORP,Energy,Equity,0.11
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,Equity,0.11
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,0.11
VLO,VALERO ENERGY CORP,Energy,Equity,0.11
EOG,EOG RESOURCES INC,Energy,Equity,0.11
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,0.11
LITE,LUMENTUM HOLDINGS INC,Information Technology,Equity,0.1
DDOG,DATADOG INC CLASS A,Information Technology,Equity,0.1
TFC,TRUIST FINANCIAL CORP,Financials,Equity,0.1
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,0.1
TEL,TE CONNECTIVITY PLC,Information Technology,Equity,0.1
KMI,KINDER MORGAN INC,Energy,Equity,0.1
HOOD,ROBINHOOD MARKETS INC CLASS A,Financials,Equity,0.1
PCAR,PACCAR INC,Industrials,Equity,0.1
COHR,COHERENT CORP,Information Technology,Equity,0.1
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,Equity,0.1
BKR,BAKER HUGHES CLASS A,Energy,Equity,0.1
ECL,ECOLAB INC,Materials,Equity,0.1
TRV,TRAVELERS COMPANIES INC,Financials,Equity,0.1
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,0.1
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,0.1
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,Equity,0.1
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,Equity,0.09
GWW,WW GRAINGER INC,Industrials,Equity,0.09
CVNA,CARVANA CLASS A,Consumer Discretionary,Equity,0.09
ALL,ALLSTATE CORP,Financials,Equity,0.09
TER,TERADYNE INC,Information Technology,Equity,0.09
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,0.09
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity,0.09
TRGP,TARGA RESOURCES CORP,Energy,Equity,0.09
OKE,ONEOK INC,Energy,Equity,0.09
AME,AMETEK INC,Industrials,Equity,0.09
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,0.09
URI,UNITED RENTALS INC,Industrials,Equity,0.09
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,Equity,0.09
AZO,AUTOZONE INC,Consumer Discretionary,Equity,0.09
CTAS,CINTAS CORP,Industrials,Equity,0.09
TGT,TARGET CORP,Consumer Staples,Equity,0.09
O,REALTY INCOME REIT CORP,Real Estate,Equity,0.09
SRE,SEMPRA,Utilities,Equity,0.09
EBAY,EBAY INC,Consumer Discretionary,Equity,0.08
ADSK,AUTODESK INC,Information Technology,Equity,0.08
CTVA,CORTEVA INC,Materials,Equity,0.08
AFL,AFLAC INC,Financials,Equity,0.08
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,0.08
AJG,ARTHUR J GALLAGHER,Financials,Equity,0.08
DVN,DEVON ENERGY CORP,Energy,Equity,0.08
D,DOMINION ENERGY INC,Utilities,Equity,0.08
CARR,CARRIER GLOBAL CORP,Industrials,Equity,0.08
NUE,NUCOR CORP,Materials,Equity,0.08
FAST,FASTENAL,Industrials,Equity,0.08
ETR,ENTERGY CORP,Utilities,Equity,0.08
ROK,ROCKWELL AUTOMATION INC,Industrials,Equity,0.08
COR,CENCORA INC,Health Care,Equity,0.08
VST,VISTRA CORP,Utilities,Equity,0.08
PSA,PUBLIC STORAGE REIT,Real Estate,Equity,0.08
DAL,DELTA AIR LINES INC,Industrials,Equity,0.08
EW,EDWARDS LIFESCIENCES CORP,Health Care,Equity,0.08
F,FORD MOTOR CO,Consumer Discretionary,Equity,0.08
XEL,XCEL ENERGY INC,Utilities,Equity,0.08
EA,ELECTRONIC ARTS INC,Communication,Equity,0.07
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,0.07
EXC,EXELON CORP,Utilities,Equity,0.07
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials,Equity,0.07
CAH,CARDINAL HEALTH INC,Health Care,Equity,0.07
EME,EMCOR GROUP INC,Industrials,Equity,0.07
CBRE,CBRE GROUP INC CLASS A,Real Estate,Equity,0.07
AMP,AMERIPRISE FINANCE INC,Financials,Equity,0.07
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,0.07
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Equity,0.07
VTR,VENTAS REIT INC,Real Estate,Equity,0.07
STT,STATE STREET CORP,Financials,Equity,0.07
COIN,COINBASE GLOBAL INC CLASS A,Financials,Equity,0.07
MET,METLIFE INC,Financials,Equity,0.07
BDX,BECTON DICKINSON,Health Care,Equity,0.07
YUM,YUM BRANDS INC,Consumer Discretionary,Equity,0.07
FITB,FIFTH THIRD BANCORP,Financials,Equity,0.07
MSCI,MSCI INC,Financials,Equity,0.07
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,0.07
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Equity,0.06
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Financials,Equity,0.06
IRM,IRON MOUNTAIN INC,Real Estate,Equity,0.06
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,0.06
VMC,VULCAN MATERIALS,Materials,Equity,0.06
ED,CONSOLIDATED EDISON INC,Utilities,Equity,0.06
XYZ,BLOCK INC CLASS A,Financials,Equity,0.06
KR,KROGER,Consumer Staples,Equity,0.06
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,0.06
NDAQ,NASDAQ INC,Financials,Equity,0.06
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,Equity,0.06
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,0.06
HIG,HARTFORD INSURANCE GROUP INC,Financials,Equity,0.06
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,0.06
JBL,JABIL INC,Information Technology,Equity,0.06
ZTS,ZOETIS INC CLASS A,Health Care,Equity,0.06
WEC,WEC ENERGY GROUP INC,Utilities,Equity,0.06
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,0.06
SYY,SYSCO CORP,Consumer Staples,Equity,0.06
CCL,CARNIVAL CORP,Consumer Discretionary,Equity,0.06
MLM,MARTIN MARIETTA MATERIALS INC,Materials,Equity,0.06
PCG,PG&E CORP,Utilities,Equity,0.06
CBOE,CBOE GLOBAL MARKETS INC,Financials,Equity,0.06
EQT,EQT CORP,Energy,Equity,0.06
CCI,CROWN CASTLE INC,Real Estate,Equity,0.06
RSG,REPUBLIC SERVICES INC,Industrials,Equity,0.06
GRMN,GARMIN LTD,Consumer Discretionary,Equity,0.06
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,0.06
DHI,D R HORTON INC,Consumer Discretionary,Equity,0.06
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,Equity,0.06
ON,ON SEMICONDUCTOR CORP,Information Technology,Equity,0.06
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,Equity,0.05
CPRT,COPART INC,Industrials,Equity,0.05
RMD,RESMED INC,Health Care,Equity,0.05
IQV,IQVIA HOLDINGS INC,Health Care,Equity,0.05
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,Equity,0.05
PAYX,PAYCHEX INC,Industrials,Equity,0.05
FISV,FISERV INC,Financials,Equity,0.05
VICI,VICI PPTYS INC,Real Estate,Equity,0.05
CASY,CASEYS GENERAL STORES INC,Consumer Staples,Equity,0.05
KVUE,KENVUE INC,Consumer Staples,Equity,0.05
ACGL,ARCH CAPITAL GROUP LTD,Financials,Equity,0.05
MTB,M&T BANK CORP,Financials,Equity,0.05
STLD,STEEL DYNAMICS INC,Materials,Equity,0.05
NRG,NRG ENERGY INC,Utilities,Equity,0.05
OTIS,OTIS WORLDWIDE CORP,Industrials,Equity,0.05
ATO,ATMOS ENERGY CORP,Utilities,Equity,0.05
Q,QNITY ELECTRONICS INC,Information Technology,Equity,0.05
AEE,AMEREN CORP,Utilities,Equity,0.05
NTRS,NORTHERN TRUST CORP,Financials,Equity,0.05
DTE,DTE ENERGY,Utilities,Equity,0.05
DOV,DOVER CORP,Industrials,Equity,0.05
TDY,TELEDYNE TECHNOLOGIES INC,Information Technology,Equity,0.05
HUM,HUMANA INC,Health Care,Equity,0.05
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,Equity,0.05
AXON,AXON ENTERPRISE INC,Industrials,Equity,0.05
PRU,PRUDENTIAL FINANCIAL INC,Financials,Equity,0.05
WAT,WATERS CORP,Health Care,Equity,0.05
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,0.05
HAL,HALLIBURTON,Energy,Equity,0.05
HBAN,HUNTINGTON BANCSHARES INC,Financials,Equity,0.05
KMB,KIMBERLY CLARK CORP,Consumer Staples,Equity,0.05
VRSN,VERISIGN INC,Information Technology,Equity,0.04
PPG,PPG INDUSTRIES INC,Materials,Equity,0.04
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,Equity,0.04
WTW,WILLIS TOWERS WATSON PLC,Financials,Equity,0.04
CHD,CHURCH AND DWIGHT INC,Consumer Staples,Equity,0.04
NTAP,NETAPP INC,Information Technology,Equity,0.04
PHM,PULTEGROUP INC,Consumer Discretionary,Equity,0.04
DRI,DARDEN RESTAURANTS INC,Consumer Discretionary,Equity,0.04
NI,NISOURCE INC,Utilities,Equity,0.04
TROW,T ROWE PRICE GROUP INC,Financials,Equity,0.04
EQR,EQUITY RESIDENTIAL REIT,Real Estate,Equity,0.04
CMS,CMS ENERGY CORP,Utilities,Equity,0.04
VLTO,VERALTO CORP,Industrials,Equity,0.04
FSLR,FIRST SOLAR INC,Information Technology,Equity,0.04
TPL,TEXAS PACIFIC LAND CORP,Energy,Equity,0.04
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,Equity,0.04
EXE,EXPAND ENERGY CORP,Energy,Equity,0.04
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,Equity,0.04
ULTA,ULTA BEAUTY INC,Consumer Discretionary,Equity,0.04
ALB,ALBEMARLE CORP,Materials,Equity,0.04
DXCM,DEXCOM INC,Health Care,Equity,0.04
FE,FIRSTENERGY CORP,Utilities,Equity,0.04
OMC,OMNICOM GROUP INC,Communication,Equity,0.04
RF,REGIONS FINANCIAL CORP,Financials,Equity,0.04
VRSK,VERISK ANALYTICS INC,Industrials,Equity,0.04
CNC,CENTENE CORP,Health Care,Equity,0.04
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,Equity,0.04
DG,DOLLAR GENERAL CORP,Consumer Staples,Equity,0.04
DOW,DOW INC,Materials,Equity,0.04
FICO,FAIR ISAAC CORP,Information Technology,Equity,0.04
TPR,TAPESTRY INC,Consumer Discretionary,Equity,0.04
ARES,ARES MANAGEMENT CORP CLASS A,Financials,Equity,0.04
CINF,CINCINNATI FINANCIAL CORP,Financials,Equity,0.04
ES,EVERSOURCE ENERGY,Utilities,Equity,0.04
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,Equity,0.04
AWK,AMERICAN WATER WORKS INC,Utilities,Equity,0.04
SYF,SYNCHRONY FINANCIAL,Financials,Equity,0.04
LYV,LIVE NATION ENTERTAINMENT INC,Communication,Equity,0.04
HUBB,HUBBELL INC,Industrials,Equity,0.04
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,Equity,0.04
EIX,EDISON INTERNATIONAL,Utilities,Equity,0.04
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,0.04
IR,INGERSOLL RAND INC,Industrials,Equity,0.04
HSY,HERSHEY FOODS,Consumer Staples,Equity,0.04
MTD,METTLER TOLEDO INC,Health Care,Equity,0.04
RJF,RAYMOND JAMES INC,Financials,Equity,0.04
PPL,PPL CORP,Utilities,Equity,0.04
CFG,CITIZENS FINANCIAL GROUP INC,Financials,Equity,0.04
CNP,CENTERPOINT ENERGY INC,Utilities,Equity,0.04
XYL,XYLEM INC,Industrials,Equity,0.04
BIIB,BIOGEN INC,Health Care,Equity,0.04
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity,0.04
STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples,Equity,0.03
STE,STERIS,Health Care,Equity,0.03
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,Equity,0.03
DGX,QUEST DIAGNOSTICS INC,Health Care,Equity,0.03
KEY,KEYCORP,Financials,Equity,0.03
SW,SMURFIT WESTROCK PLC,Materials,Equity,0.03
LH,LABCORP HOLDINGS INC,Health Care,Equity,0.03
CPAY,CORPAY INC,Financials,Equity,0.03
EFX,EQUIFAX INC,Industrials,Equity,0.03
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,Equity,0.03
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,Equity,0.03
LUV,SOUTHWEST AIRLINES,Industrials,Equity,0.03
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Equity,0.03
LII,LENNOX INTERNATIONAL INC,Industrials,Equity,0.03
MRNA,MODERNA INC,Health Care,Equity,0.03
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Equity,0.03
BRO,BROWN & BROWN INC,Financials,Equity,0.03
NVR,NVR INC,Consumer Discretionary,Equity,0.03
WY,WEYERHAEUSER REIT,Real Estate,Equity,0.03
ESS,ESSEX PROPERTY TRUST REIT INC,Real Estate,Equity,0.03
IP,INTERNATIONAL PAPER,Materials,Equity,0.03
PTC,PTC INC,Information Technology,Equity,0.03
L,LOEWS CORP,Financials,Equity,0.03
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,Equity,0.03
DLTR,DOLLAR TREE INC,Consumer Staples,Equity,0.03
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,Equity,0.03
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,Equity,0.03
LNT,ALLIANT ENERGY CORP,Utilities,Equity,0.03
CF,CF INDUSTRIES HOLDINGS INC,Materials,Equity,0.03
AMCR,AMCOR PLC,Materials,Equity,0.03
LEN,LENNAR A CORP CLASS A,Consumer Discretionary,Equity,0.03
KIM,KIMCO REALTY REIT CORP,Real Estate,Equity,0.03
TXT,TEXTRON INC,Industrials,Equity,0.03
ROL,ROLLINS INC,Industrials,Equity,0.03
IEX,IDEX CORP,Industrials,Equity,0.03
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,Equity,0.03
INVH,INVITATION HOMES INC,Real Estate,Equity,0.03
INCY,INCYTE CORP,Health Care,Equity,0.03
SATS,ECHOSTAR CORP CLASS A,Communication,Equity,0.03
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,Equity,0.03
GPN,GLOBAL PAYMENTS INC,Financials,Equity,0.03
BG,BUNGE GLOBAL SA,Consumer Staples,Equity,0.03
LDOS,LEIDOS HOLDINGS INC,Industrials,Equity,0.03
TSCO,TRACTOR SUPPLY,Consumer Discretionary,Equity,0.03
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Equity,0.03
FFIV,F5 INC,Information Technology,Equity,0.03
DD,DUPONT DE NEMOURS INC,Materials,Equity,0.03
EVRG,EVERGY INC,Utilities,Equity,0.03
GIS,GENERAL MILLS INC,Consumer Staples,Equity,0.03
FTV,FORTIVE CORP,Industrials,Equity,0.03
TSN,TYSON FOODS INC CLASS A,Consumer Staples,Equity,0.03
SNA,SNAP ON INC,Industrials,Equity,0.03
HPQ,HP INC,Information Technology,Equity,0.03
PKG,PACKAGING CORP OF AMERICA,Materials,Equity,0.03
WRB,WR BERKLEY CORP,Financials,Equity,0.03
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,Equity,0.03
KHC,KRAFT HEINZ,Consumer Staples,Equity,0.03
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,Equity,0.03
VTRS,VIATRIS INC,Health Care,Equity,0.03
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples,Equity,0.02
APTV,APTIV PLC,Consumer Discretionary,Equity,0.02
ALGN,ALIGN TECHNOLOGY INC,Health Care,Equity,0.02
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,Equity,0.02
PODD,INSULET CORP,Health Care,Equity,0.02
BBY,BEST BUY INC,Consumer Discretionary,Equity,0.02
AIZ,ASSURANT INC,Financials,Equity,0.02
ALLE,ALLEGION PLC,Industrials,Equity,0.02
PNW,PINNACLE WEST CORP,Utilities,Equity,0.02
IVZ,INVESCO LTD,Financials,Equity,0.02
COO,COOPER INC,Health Care,Equity,0.02
GDDY,GODADDY INC CLASS A,Information Technology,Equity,0.02
GL,GLOBE LIFE INC,Financials,Equity,0.02
AVY,AVERY DENNISON CORP,Materials,Equity,0.02
REG,REGENCY CENTERS REIT CORP,Real Estate,Equity,0.02
RVTY,REVVITY INC,Health Care,Equity,0.02
GEN,GEN DIGITAL INC,Information Technology,Equity,0.02
CLX,CLOROX,Consumer Staples,Equity,0.02
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,Equity,0.02
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,Equity,0.02
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,Equity,0.02
NWSA,NEWS CORP CLASS A,Communication,Equity,0.02
AES,AES CORP,Utilities,Equity,0.02
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,Equity,0.02
TTD,TRADE DESK INC CLASS A,Communication,Equity,0.02
