date,equity,ret_m,regime,n_picks,gross,picks,weights_csv
2014-07-31,4.256762414536382,0.11753923313210926,bull,3,1.0000000000000002,"LUV,KDP,AVGO","0.3117,0.4480,0.2403"
2014-08-29,4.449815823137006,0.04535216904315989,recovery,3,1.0000000000000002,"LUV,KDP,AVGO","0.3117,0.4480,0.2403"
2014-09-30,4.622888065814719,0.03889424856143852,bull,3,1.0000000000000002,"LUV,KDP,AVGO","0.3117,0.4480,0.2403"
2014-10-31,5.163796566459684,0.11700661857786912,recovery,3,1.0000000000000002,"LUV,KDP,AVGO","0.3117,0.4480,0.2403"
2014-11-30,5.2261545966863405,0.012076004432802365,recovery,3,1.0000000000000002,"LUV,KDP,AVGO","0.3117,0.4480,0.2403"
2014-12-31,4.955834041127615,-0.050775336973577806,recovery,3,1.0,"CSX,AVGO,KEY","0.3818,0.2332,0.3850"
2015-01-31,5.447465289708767,0.09920252464089563,bull,3,1.0,"CSX,AVGO,KEY","0.3818,0.2332,0.3850"
2015-02-28,5.498110148700954,0.009296958548384686,recovery,3,1.0,"CSX,AVGO,KEY","0.3818,0.2332,0.3850"
2015-03-31,5.627737803206645,0.023576765652161144,normal,3,1.0,"CSX,AVGO,KEY","0.3818,0.2332,0.3850"
2015-04-30,5.899387473825262,0.04826978088137534,recovery,3,1.0,"CSX,AVGO,KEY","0.3818,0.2332,0.3850"
2015-05-29,5.736254546000915,-0.02765251961295037,recovery,3,1.0,"CSX,AVGO,KEY","0.3818,0.2332,0.3850"
2015-06-30,5.856344614704869,0.021957232635934684,normal,3,1.0,"O,CSX,WU","0.3821,0.2807,0.3372"
2015-07-31,5.327355073634595,-0.09032759782305474,recovery,3,1.0,"O,CSX,WU","0.3821,0.2807,0.3372"
2015-08-31,5.4404741577678335,0.021233629553447913,normal,3,1.0,"O,CSX,WU","0.3821,0.2807,0.3372"
2015-09-30,5.633533248211223,0.0354857104077486,normal,3,1.0,"O,CSX,WU","0.3821,0.2807,0.3372"
2015-10-30,5.7051251948221005,0.012708178589983406,recovery,3,1.0,"O,CSX,WU","0.3821,0.2807,0.3372"
2015-11-30,5.580907169298022,-0.021773058659048744,normal,3,1.0,"O,CSX,WU","0.3821,0.2807,0.3372"
2015-12-31,5.115581257619949,-0.08246064586958153,normal,3,1.0,"NVDA,NFLX,WU","0.3205,0.2284,0.4511"
2016-01-29,5.31214320302408,0.038424166386046676,normal,3,1.0,"NVDA,NFLX,WU","0.3205,0.2284,0.4511"
2016-02-29,5.815076161306835,0.0946760919390213,normal,3,1.0,"NVDA,NFLX,WU","0.3205,0.2284,0.4511"
2016-03-31,5.747880854872671,-0.011555361369345037,recovery,3,1.0,"NVDA,NFLX,WU","0.3205,0.2284,0.4511"
2016-04-29,6.445895733140082,0.12143864771930354,normal,3,1.0,"NVDA,NFLX,WU","0.3205,0.2284,0.4511"
2016-05-31,6.283432353903073,-0.02520415873339998,recovery,3,1.0,"NVDA,NFLX,WU","0.3205,0.2284,0.4511"
2016-06-30,6.653218535452695,0.05991089563169263,normal,3,1.0000000000000002,"NVDA,MNST,KDP","0.2364,0.2847,0.4789"
2016-07-29,6.538052593917432,-0.017309808917531158,recovery,3,1.0000000000000002,"NVDA,MNST,KDP","0.2364,0.2847,0.4789"
2016-08-31,6.570933029540523,0.005029087048593094,recovery,3,1.0000000000000002,"NVDA,MNST,KDP","0.2364,0.2847,0.4789"
2016-09-30,6.477993848927012,-0.014143985366414475,bull,3,1.0000000000000002,"NVDA,MNST,KDP","0.2364,0.2847,0.4789"
2016-10-31,6.767671887729586,0.04471724511602533,normal,3,1.0000000000000002,"NVDA,MNST,KDP","0.2364,0.2847,0.4789"
2016-11-30,7.169726109712902,0.05940805474217469,recovery,3,1.0000000000000002,"NVDA,MNST,KDP","0.2364,0.2847,0.4789"
2016-12-30,7.338159092826821,0.0245167646603981,recovery,3,1.0,"NVDA,RF,LKQ","0.2368,0.3261,0.4371"
2017-01-31,7.327285835625997,-0.001481741818796626,recovery,3,1.0,"NVDA,RF,LKQ","0.2368,0.3261,0.4371"
2017-02-28,7.114351078749488,-0.029060522771091918,recovery,3,1.0,"NVDA,RF,LKQ","0.2368,0.3261,0.4371"
2017-03-31,7.127479392202443,0.0018453283100083387,bull,3,1.0,"NVDA,RF,LKQ","0.2368,0.3261,0.4371"
2017-04-28,7.8182246105225905,0.09691297305970922,recovery,3,1.0,"NVDA,RF,LKQ","0.2368,0.3261,0.4371"
2017-05-31,8.140781502568093,0.04125705107159124,recovery,3,1.0,"NVDA,RF,LKQ","0.2368,0.3261,0.4371"
2017-06-30,9.103494165357613,0.11937739260721811,bull,3,1.0,"NVDA,EXC,NFLX","0.1968,0.5129,0.2903"
2017-07-31,9.063605886016184,-0.004381644961471988,recovery,3,1.0,"NVDA,EXC,NFLX","0.1968,0.5129,0.2903"
2017-08-31,9.23726435301299,0.019159975530791185,recovery,3,1.0,"NVDA,EXC,NFLX","0.1968,0.5129,0.2903"
2017-09-29,10.064819799044681,0.08958880187961282,recovery,3,1.0,"NVDA,EXC,NFLX","0.1968,0.5129,0.2903"
2017-10-31,10.110724109659914,0.004560867609332629,recovery,3,1.0,"NVDA,EXC,NFLX","0.1968,0.5129,0.2903"
2017-11-30,9.82183475541077,-0.02857256820736861,recovery,3,1.0,"NVDA,EXC,NFLX","0.1968,0.5129,0.2903"
