date,equity,ret_m,regime,n_picks,gross,picks
2017-05-31,7799.2701814269385,0.23888123148181323,normal,3,3.0,NVDA|COL|NAVI
2017-06-30,7543.619264390151,-0.032778825593911466,normal,3,3.0,NVDA|COL|NAVI
2017-07-31,6893.0881257475,-0.08623594535231911,normal,3,3.0,NVDA|COL|NAVI
2017-08-31,8703.63345310406,0.26266098653137687,normal,3,3.0,NVDA|COL|NAVI
2017-09-29,7879.984421934237,-0.09463278016103456,normal,3,3.0,NVDA|COL|NAVI
2017-10-31,8209.449112774093,0.041810322609620684,normal,3,3.0,NVDA|COL|NAVI
2017-11-30,8800.286571697034,0.07197041492145737,normal,3,3.0,NVDA|COL|NAVI
2017-12-29,11797.092316450708,0.3405350178472397,normal,3,3.0,HPE|APH|NVDA
2018-01-31,12672.359771848078,0.07419349038888458,normal,3,3.0,HPE|APH|NVDA
2018-02-28,10604.719756739752,-0.16316140421625594,normal,3,3.0,HPE|APH|NVDA
2018-03-29,9655.814069990029,-0.08947956273400373,normal,3,3.0,HPE|APH|NVDA
2018-04-30,9956.190053347753,0.031108302332714124,normal,3,3.0,HPE|APH|NVDA
2018-05-31,9407.072200956269,-0.05515341204307796,normal,3,3.0,HPE|APH|NVDA
2018-06-29,11110.674155618628,0.18109799927858333,normal,3,3.0,HPE|APH|NVDA
2018-07-31,12727.708234391916,0.14553879054724672,normal,3,3.0,HPE|APH|NVDA
2018-08-31,12528.13923723577,-0.015679884664301542,normal,3,3.0,HPE|APH|NVDA
2018-09-28,9236.361524925887,-0.2627507285779644,normal,3,3.0,HPE|APH|NVDA
2018-10-31,8764.240958979317,-0.051115427289465956,normal,3,1.0,HPE|APH|NVDA
2018-11-30,5990.559994913934,-0.31647703173012776,normal,3,3.0,HPE|APH|NVDA
2018-12-31,6005.334331948562,0.0024662697723036864,cash,0,0.0,
2019-01-31,7133.494912963229,0.1878597457951372,normal,3,1.0,COTY|IVZ|WDC
2019-02-28,7142.682050929883,0.001287887364993922,normal,3,3.0,COTY|IVZ|WDC
2019-03-29,8434.389887849855,0.18084353016270804,normal,3,3.0,COTY|IVZ|WDC
2019-04-30,6342.539795735846,-0.2480143934450338,normal,3,3.0,COTY|IVZ|WDC
2019-05-31,7171.0876498098505,0.1306334498099713,normal,3,1.0,COTY|IVZ|WDC
2019-06-28,6258.239653992083,-0.12729561265953473,normal,3,3.0,COTY|IVZ|WDC
2019-07-31,4551.160491606615,-0.2727730570842768,normal,3,3.0,COTY|IVZ|WDC
2019-08-30,5595.903284531467,0.22955525186413375,normal,3,3.0,COTY|IVZ|WDC
2019-09-30,5436.10222446089,-0.028556794487908328,normal,3,3.0,COTY|IVZ|WDC
2019-10-31,5721.4094696523825,0.05248378956298731,normal,3,3.0,COTY|IVZ|WDC
2019-11-29,7029.605672625053,0.22864928824123337,normal,3,3.0,COTY|IVZ|WDC
2019-12-31,6371.927054986051,-0.09355839406471364,normal,3,3.0,COTY|IVZ|WDC
2020-01-31,6099.876326652013,-0.04269520444700604,normal,3,3.0,NVDA|AMD|KIM
2020-02-28,4689.196324328356,-0.2312637054885872,crash,3,1.0,NVDA|AMD|KIM
2020-03-31,5368.81375034968,0.14493260230870522,crash,3,1.0,NVDA|AMD|KIM
2020-04-30,5771.398192739448,0.07498573448623483,normal,3,1.0,NVDA|AMD|KIM
2020-05-29,7370.349129824128,0.27704741272161704,normal,3,3.0,NVDA|AMD|KIM
2020-06-30,8809.930750704109,0.19532068230726168,normal,3,3.0,NVDA|AMD|KIM
2020-07-31,12670.906332019958,0.4382526594783133,normal,3,3.0,NVDA|AMD|KIM
2020-08-31,10921.440743240773,-0.13806949107959282,normal,3,3.0,NVDA|AMD|KIM
2020-09-30,8146.081496421611,-0.25412024952264833,normal,3,3.0,NVDA|AMD|KIM
2020-10-30,14832.724393262773,0.8208416402141882,normal,3,3.0,NVDA|AMD|KIM
2020-11-30,15486.96219683207,0.044107730058441486,normal,3,3.0,NVDA|AMD|KIM
2020-12-31,17045.007771361084,0.10060369197825779,normal,3,3.0,NVDA|AMD|KIM
2021-01-29,29979.55503089812,0.7588466624972491,normal,3,3.0,APA|DVN|FTNT
2021-02-26,32717.974946455495,0.09134291395369448,normal,3,3.0,APA|DVN|FTNT
2021-03-31,42330.179145106915,0.2937897047229312,normal,3,3.0,APA|DVN|FTNT
2021-04-30,52497.02979384954,0.2401797217510205,normal,3,3.0,APA|DVN|FTNT
2021-05-31,65584.03456201186,0.24929038499042033,normal,3,3.0,APA|DVN|FTNT
2021-06-30,66970.09639871896,0.021134134945549055,normal,3,3.0,APA|DVN|FTNT
2021-07-30,92118.44250984146,0.3755160506473985,normal,3,3.0,APA|DVN|FTNT
2021-08-31,105128.8666446802,0.1412358240148139,normal,3,3.0,APA|DVN|FTNT
2021-09-30,155717.51373291007,0.48120605408229045,normal,3,3.0,APA|DVN|FTNT
2021-10-29,156725.10298276678,0.006470622511896507,normal,3,3.0,APA|DVN|FTNT
2021-11-30,188510.0809428235,0.20280719141433112,normal,3,3.0,APA|DVN|FTNT
2021-12-31,193350.29312297888,0.025676145041937742,normal,3,3.0,APA|DVN|FTNT
2022-01-31,163521.02107282114,-0.15427580464636315,normal,3,3.0,F|APA|PHM
2022-02-28,157709.12463630902,-0.03554219756201193,normal,3,1.0,F|APA|PHM
2022-03-31,131239.5565374353,-0.1678378987894,normal,3,3.0,F|APA|PHM
2022-04-29,139377.2949928555,0.062006750633136584,crash,3,1.0,F|APA|PHM
2022-05-31,114659.51245213437,-0.17734439846883357,crash,3,1.0,F|APA|PHM
2022-06-30,133455.92173205025,0.16393240192576794,crash,3,1.0,F|APA|PHM
2022-07-29,133516.32876965252,0.000452636622026676,normal,3,1.0,F|APA|PHM
2022-08-31,113547.97875375113,-0.14955736275786577,crash,3,1.0,F|APA|PHM
2022-09-30,133659.03758009663,0.17711507546919797,crash,3,1.0,F|APA|PHM
2022-10-31,143609.47726238563,0.07444644120174873,normal,3,1.0,F|APA|PHM
2022-11-30,123270.68896893482,-0.14162566900992374,normal,3,3.0,F|APA|PHM
2022-12-30,141229.9637085493,0.14568974092568238,crash,3,1.0,F|APA|PHM
2023-01-31,174327.23479486138,0.23435020598471318,normal,3,3.0,WBD|NVDA|CCL
2023-02-28,196386.7040269376,0.12654057903249938,crash,3,3.0,WBD|NVDA|CCL
2023-03-31,158389.6288782183,-0.1934808944270861,normal,3,3.0,WBD|NVDA|CCL
2023-04-28,218112.4521481628,0.37706271359385435,normal,3,3.0,WBD|NVDA|CCL
2023-05-31,397587.94339083525,0.8228576107188763,normal,3,3.0,WBD|NVDA|CCL
2023-06-30,457743.05834243546,0.15130014868802696,normal,3,3.0,WBD|NVDA|CCL
2023-07-31,422006.78316403105,-0.07807059992960133,normal,3,3.0,WBD|NVDA|CCL
2023-08-31,239320.65356622922,-0.432898562028073,normal,3,3.0,WBD|NVDA|CCL
2023-09-29,166418.76686235738,-0.3046201220727364,normal,3,3.0,WBD|NVDA|CCL
2023-10-31,193045.4698641646,0.15999819914438973,normal,3,1.0,WBD|NVDA|CCL
2023-11-30,261141.6701715044,0.3527469479354026,normal,3,3.0,WBD|NVDA|CCL
2023-12-29,268285.98110993835,0.027357988994027332,normal,3,3.0,WBD|NVDA|CCL
2024-01-31,219945.04990207698,-0.18018433541651294,normal,3,3.0,KEY|CCL|WBD
2024-02-29,246247.01054291392,0.11958423548312186,normal,3,3.0,KEY|CCL|WBD
2024-03-28,162475.61307951773,-0.3401925460077705,normal,3,3.0,KEY|CCL|WBD
2024-04-30,185345.89453841117,0.14076131811670983,normal,3,3.0,KEY|CCL|WBD
2024-05-31,211836.51696337538,0.14292532613650244,normal,3,3.0,KEY|CCL|WBD
2024-06-28,247336.89803798744,0.1675838594001702,normal,3,3.0,KEY|CCL|WBD
2024-07-31,236110.1618483839,-0.045390462477132215,normal,3,3.0,KEY|CCL|WBD
2024-08-30,273691.08353827766,0.15916689648464186,normal,3,3.0,KEY|CCL|WBD
2024-09-30,331267.156466242,0.21036882964406795,normal,3,3.0,KEY|CCL|WBD
2024-10-31,521292.0260560896,0.5736302735741091,normal,3,3.0,KEY|CCL|WBD
2024-11-29,459129.6052475042,-0.11924682845982548,normal,3,3.0,KEY|CCL|WBD
2024-12-31,525720.1944979605,0.14503658332936112,normal,3,3.0,KEY|CCL|WBD
2025-01-31,454879.3839108237,-0.13475002735016994,normal,3,3.0,SYF|SW|PLTR
2025-02-28,314649.6121037496,-0.30827902245524774,normal,3,3.0,SYF|SW|PLTR
2025-03-31,334861.33232417755,0.06423564321370769,crash,3,1.0,SYF|SW|PLTR
2025-04-30,364104.5327798586,0.08732928419269045,crash,3,1.0,SYF|SW|PLTR
2025-05-30,436929.2765444492,0.2000105387554216,normal,3,3.0,SYF|SW|PLTR
2025-06-30,521769.4249738784,0.19417364087022532,normal,3,3.0,SYF|SW|PLTR
2025-07-31,621828.5923139565,0.1917689357613994,normal,3,3.0,SYF|SW|PLTR
2025-08-29,571674.4627314556,-0.08065587559405522,normal,3,3.0,SYF|SW|PLTR
2025-09-30,556646.3469470228,-0.02628789068629809,normal,3,3.0,SYF|SW|PLTR
2025-10-31,498424.41386491596,-0.10459411689563808,normal,3,3.0,SYF|SW|PLTR
2025-11-28,607755.4318318387,0.21935325583099113,normal,3,3.0,SYF|SW|PLTR
2025-12-31,487697.06030825427,-0.1975438889319605,normal,3,3.0,SYF|SW|PLTR
