name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,spec_name,spec_strategy,spec_weights,spec_k_normal,spec_k_recovery,spec_k_bull,spec_weighting,spec_regime_gate,spec_hold_months,spec_cost_bps,spec_cash_yield_yr,spec_pullback_filter,spec_min_pick_mom,spec_quality_blend,spec_spy_dd_scale,spec_crash_persist,spec_monthly_exposure
lgb_k2_invvol_h12,0.15159348725491828,0.11879891000283682,3.279457725208146,0.5937040613114015,-0.5329641121421925,4,0.13737455661855608,0.13766183153792855,0.04908474305208754,0.2325882837599107,0.6164566505452018,0.317801241278012,-0.3855708825869092,-0.5329641121421926,-1.068564072087852,10,4,10,lgb_k2_invvol_h12,lgb,,2,2,2,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k3_ew_h3,0.19718919119665723,0.11879891000283682,7.839028119382041,0.6777495236262299,-0.381405210404178,5,0.19383595678600082,0.23343915241538915,-0.06270546356835915,0.39999498570241876,0.5758226017908112,-0.2689396519847791,-0.31479603975635095,-0.37430126339541353,4.5775759446566235,9,6,10,lgb_k3_ew_h3,lgb,,3,3,3,ew,tight,3,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k3_ew_h6,0.20768602387940116,0.11879891000283682,8.888711387656434,0.6965023919542994,-0.43577426921105644,4,0.16389401036176895,0.1364969326064308,0.07816197620961884,0.30187364468440125,0.5924944085453662,0.3567430511956893,-0.33994976055106657,-0.4357742692110564,1.5833813022334344,10,4,10,lgb_k3_ew_h6,lgb,,3,3,3,ew,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k3_ew_h12,0.22946409596410278,0.11879891000283682,11.066518596126595,0.8140938236199631,-0.434993118031589,4,0.20032173210648424,0.18786342130784373,0.11574407007997234,0.30321157693159884,0.7940015272718,0.45011016624193123,-0.33364859284688814,-0.434993118031589,5.226153476704963,10,6,10,lgb_k3_ew_h12,lgb,,3,3,3,ew,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k3_invvol_h3,0.1896615067201901,0.11879891000283682,7.086259671735329,0.7016439080141738,-0.3867267298727799,5,0.19593492268671528,0.23539482429766012,0.024138444316375907,0.3152927522253639,0.6539020621382499,0.2312855014771724,-0.29495293012083024,-0.3584522719439793,4.787472534728068,10,6,10,lgb_k3_invvol_h3,lgb,,3,3,3,invvol,tight,3,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k3_invvol_h6,0.1828246080034035,0.11879891000283682,6.402569800056668,0.6629263934409487,-0.41165969608537495,4,0.14394189686531594,0.14407992905767775,0.026285397227394647,0.27078435441804793,0.5822781886704015,0.23860517871027875,-0.32824180979873113,-0.411659696085375,-0.41183004741186513,10,4,10,lgb_k3_invvol_h6,lgb,,3,3,3,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k3_invvol_h12,0.20062168188160445,0.11879891000283682,8.182277187876764,0.7711640662744047,-0.42931232107713524,4,0.17567810917444265,0.1810200974705919,0.05756631440508486,0.297095594839605,0.7794278481009639,0.3263041065541582,-0.3139767983608175,-0.4293123210771352,2.7617911835008044,10,6,10,lgb_k3_invvol_h12,lgb,,3,3,3,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k4_ew_h3,0.20671070410941472,0.11879891000283682,8.79117941065779,0.7261049114739614,-0.3441371805586818,5,0.2020116082574254,0.19066232856072307,-0.031635265402584656,0.6457817139207112,0.6006754762802402,-0.14764845743813554,-0.2798390176907162,-0.3441371805586821,5.395141091799077,9,6,10,lgb_k4_ew_h3,lgb,,4,4,4,ew,tight,3,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k4_ew_h6,0.1770304345948326,0.11879891000283682,5.8231524591995765,0.6498573105267008,-0.3814452872281331,4,0.1479270450545994,0.11443634688066806,-0.0037825297271590896,0.4487005337875649,0.5460931159088522,0.15276912651581184,-0.3348006715343347,-0.38144528722813315,-0.01331522848352229,9,3,10,lgb_k4_ew_h6,lgb,,4,4,4,ew,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k4_ew_h12,0.19893225135338044,0.11879891000283682,8.013334135054361,0.7931813326994643,-0.44086543367025366,4,0.1743456809637381,0.14266460467163622,0.10238327968466754,0.30243041951690874,0.745235338230773,0.43343570470766346,-0.3330351648352813,-0.44086543367025394,2.62854836243035,10,5,10,lgb_k4_ew_h12,lgb,,4,4,4,ew,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
