name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,cfg_name,cfg_k_normal,cfg_k_bull,cfg_k_recovery,cfg_adaptive_k,cfg_weighting,cfg_hold_months,cfg_pick_replace_dd,cfg_pick_daily_stop,cfg_regime_gate,cfg_crash_persist,cfg_cost_bps,cfg_cash_yield_yr,cfg_filt_d_sma200_min,cfg_filt_pullback_min,cfg_filt_min_mom_12_1,cfg_gross_target,cfg_gross_in_recovery,cfg_gross_in_bull,cfg_gross_in_normal,cfg_dd_full_floor,cfg_gross_floor,cfg_spy_trend_only_lever,cfg_n_sleeves
k3_h3_conv_g1.0_dd0.0_to0,0.33547331797753444,0.1194382410561079,21.603507692142653,0.8122830974704429,-0.7143010987266589,5,0.26083090565965256,0.16498665461410134,0.11799065890986249,0.7763687124860448,0.7261750030634848,0.48552363790539405,-0.44200334330330815,-0.5767561979305494,11.277070832021797,10,5,10,k3_h3_conv_g1.0_dd0.0_to0,3,3,3,False,conv,3,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h6_ew_g1.0_dd0.0_to0,0.39571741357796686,0.1194382410561079,27.627917252185895,0.952141797300048,-0.49611517390005033,4,0.42613092585618206,0.3966219641717962,0.14263851968653585,1.089272869143941,1.0267401792834778,0.7206919267594886,-0.29769286400456396,-0.47128330233290533,27.807072851674747,10,9,10,k3_h6_ew_g1.0_dd0.0_to0,3,3,3,False,ew,6,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h6_invvol_g1.0_dd0.0_to0,0.3793863720931707,0.1194382410561079,25.99481310370628,0.9660380695799808,-0.4614804181665697,4,0.42220528553190795,0.3451190541482819,0.20733094921211692,1.0571712724986777,1.119726300470955,0.7989170519645878,-0.2948031699787806,-0.3974809974264691,27.414508819247327,10,9,10,k3_h6_invvol_g1.0_dd0.0_to0,3,3,3,False,invvol,6,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h6_conv_g1.0_dd0.0_to0,0.3289512150994378,0.1194382410561079,20.95129740433299,0.7315194082178329,-0.7317166874588188,4,0.32177156411472163,0.23856601442911374,0.14043018654371275,0.7229572024812672,0.7464028879645652,0.5343522427634889,-0.4191340838829726,-0.5706925067366949,17.371136677528703,10,9,10,k3_h6_conv_g1.0_dd0.0_to0,3,3,3,False,conv,6,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h9_ew_g1.0_dd0.0_to0,0.3364793377725619,0.1194382410561079,21.704109671645398,0.8464566699063527,-0.7674413922750092,1,0.3701803794699153,0.3683889473110574,0.14872068580998987,0.5880049395157212,0.9653945057657609,0.6474005928271683,-0.3419340130157152,-0.7231203270734862,22.21201821304806,10,10,10,k3_h9_ew_g1.0_dd0.0_to0,3,3,3,False,ew,9,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h9_invvol_g1.0_dd0.0_to0,0.34457782823353056,0.1194382410561079,22.513958717742266,0.9034245241633099,-0.7244896636171608,1,0.39325481120177563,0.3783762744384632,0.10868668393393577,0.6095677013390004,1.0828032302823791,0.5257667792859427,-0.30892000783727597,-0.6628770131976214,24.519461386234106,10,9,10,k3_h9_invvol_g1.0_dd0.0_to0,3,3,3,False,invvol,9,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h9_conv_g1.0_dd0.0_to0,0.25126698048304075,0.1194382410561079,13.182873942693284,0.6395684184647309,-0.8425645206427298,1,0.26692383056288754,0.22948122452911435,-0.016127984439267773,0.8301378269875346,0.6382068851458064,0.141637295039908,-0.499615849193059,-0.8146852844749858,11.886363322345293,8,6,10,k3_h9_conv_g1.0_dd0.0_to0,3,3,3,False,conv,9,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h12_ew_g1.0_dd0.0_to0,0.355016294439098,0.1194382410561079,23.55780533829901,0.9931708665264828,-0.5854428287560933,4,0.3885034340037068,0.3674879282413195,0.10648442400754465,0.6580813880255119,1.0933487984684387,0.5165688385246081,-0.3164487339869536,-0.5223154893854245,24.04432366642722,10,9,10,k3_h12_ew_g1.0_dd0.0_to0,3,3,3,False,ew,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h12_invvol_g1.0_dd0.0_to0,0.3486488517420514,0.1194382410561079,22.92106106859435,1.0232238620276586,-0.5544522533688234,4,0.3993141559614009,0.3703387754697425,0.1425122751966612,0.5847247068179213,1.2168021137925402,0.6834162816727678,-0.27364183013307153,-0.47425500527619685,25.125395862196626,10,10,10,k3_h12_invvol_g1.0_dd0.0_to0,3,3,3,False,invvol,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k3_h12_conv_g1.0_dd0.0_to0,0.2912767780805048,0.1194382410561079,17.183853702439688,0.7841379765982829,-0.747347319782268,4,0.3308929029952995,0.3412479448346072,0.0037723099227995327,0.7030902924106863,0.9577933547663899,0.24842322587273527,-0.39210144496250543,-0.6626087131387235,18.28327056558649,10,8,10,k3_h12_conv_g1.0_dd0.0_to0,3,3,3,False,conv,12,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
k4_h3_ew_g1.0_dd0.0_to0,0.2770648178577628,0.1194382410561079,15.762657680165493,0.8005017574556148,-0.4924537859434621,5,0.25842475592470204,0.16145676517757435,0.09896561774778334,1.1602788063527698,0.7357317453809628,0.46414071492211784,-0.338869838055019,-0.4924537859434623,11.03645585852674,10,6,10,k4_h3_ew_g1.0_dd0.0_to0,4,4,4,False,ew,3,0.0,0.0,tight,1,10.0,0.03,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,False,1
