universe,policy,issued,matured,wins,pending,unknown,precision,random_expected,peer_expected,nonoverlap_n
ndx,consensus@0.6,84,84,28,0,0,0.333333,0.367168,0.327638,11
ndx,consensus@0.7,40,40,13,0,0,0.325000,0.357465,0.350575,6
ndx,consensus@0.8,0,0,0,0,0,,,,0
ndx,consensus@0.85,0,0,0,0,0,,,,0
ndx,consensus@0.9,0,0,0,0,0,,,,0
ndx,consensus@0.95,0,0,0,0,0,,,,0
ndx,consensus@0.975,0,0,0,0,0,,,,0
ndx,direct@0.6,145,136,61,9,0,0.448529,0.408245,0.435836,11
ndx,direct@0.7,69,68,27,1,0,0.397059,0.359243,0.378011,7
ndx,direct@0.8,3,3,1,0,0,0.333333,0.443973,0.368254,2
ndx,direct@0.85,0,0,0,0,0,,,,0
ndx,direct@0.9,0,0,0,0,0,,,,0
ndx,direct@0.95,0,0,0,0,0,,,,0
ndx,direct@0.975,0,0,0,0,0,,,,0
ndx,persistence@0.6,35,33,17,2,0,0.515152,0.418916,0.471208,2
ndx,persistence@0.7,0,0,0,0,0,,,,0
ndx,persistence@0.8,0,0,0,0,0,,,,0
ndx,persistence@0.85,0,0,0,0,0,,,,0
ndx,persistence@0.9,0,0,0,0,0,,,,0
ndx,persistence@0.95,0,0,0,0,0,,,,0
ndx,persistence@0.975,0,0,0,0,0,,,,0
ndx,rebound@0.6,100,95,44,5,0,0.463158,0.390249,0.408862,11
ndx,rebound@0.7,49,48,22,1,0,0.458333,0.371179,0.415858,5
ndx,rebound@0.8,2,2,2,0,0,1.000000,0.456776,0.475000,2
ndx,rebound@0.85,0,0,0,0,0,,,,0
ndx,rebound@0.9,0,0,0,0,0,,,,0
ndx,rebound@0.95,0,0,0,0,0,,,,0
ndx,rebound@0.975,0,0,0,0,0,,,,0
ndx,recent@0.6,123,123,49,0,0,0.398374,0.383968,0.393422,10
ndx,recent@0.7,51,51,19,0,0,0.372549,0.380317,0.370316,5
ndx,recent@0.8,2,2,0,0,0,0.000000,0.546875,0.325000,1
ndx,recent@0.85,0,0,0,0,0,,,,0
ndx,recent@0.9,0,0,0,0,0,,,,0
ndx,recent@0.95,0,0,0,0,0,,,,0
ndx,recent@0.975,0,0,0,0,0,,,,0
ndx,residual_cdf@0.6,240,178,70,62,0,0.393258,0.382273,0.395449,18
ndx,residual_cdf@0.7,101,83,32,18,0,0.385542,0.393960,0.412962,11
